,Symbol,Sector,Final_Score_Combined
0,OPFI,Financial Services,61.017805962285976
1,DDI,Communication Services,59.42873667156556
2,EZPW,Financial Services,59.32039913793541
3,GNE,Utilities,59.18025024820513
4,CWCO,Utilities,59.01476016906761
5,PRDO,Consumer Defensive,58.569805420668445
6,UGI,Utilities,58.5056941584929
7,CALM,Consumer Defensive,58.405251689000416
8,DAVE,Technology,58.190900996212804
9,RMR,Real Estate,58.020197712455136
10,SNES,Basic Materials,57.95383190845985
11,USNA,Consumer Defensive,57.651720593665104
12,SLQT,Financial Services,57.60130338757692
13,HDSN,Basic Materials,57.400094339594354
14,ZVIA,Consumer Defensive,57.397322198497
15,NATR,Consumer Defensive,57.33600190049767
16,FRD,Basic Materials,57.3094243099241
17,ELP,Utilities,57.267112973791846
18,MED,Consumer Cyclical,57.20093524622673
19,RMAX,Real Estate,57.1794479781974
20,YELP,Communication Services,57.099767754272754
21,WILC,Consumer Defensive,57.06433713436968
22,UFPI,Basic Materials,57.022642050695964
23,AVA,Utilities,56.947457106927644
24,RELY,Technology,56.91740132064956
25,OOMA,Technology,56.897669670810664
26,RDVT,Technology,56.887931002766365
27,TGS,Energy,56.887415819133906
28,INUV,Technology,56.86810059890506
29,PYPL,Financial Services,56.83327579394794
30,ZEUS,Basic Materials,56.76133511211329
31,SIM,Basic Materials,56.6591535820109
32,TBI,Industrials,56.65433139275228
33,TRUE,Communication Services,56.62238052718918
34,EBR,Utilities,56.563525931164385
35,ZDGE,Communication Services,56.54501667946758
36,MIND,Technology,56.53941911628024
37,LAW,Technology,56.510233941532285
38,CCS,Real Estate,56.495060098272134
39,EVER,Communication Services,56.448687474237296
40,GDOT,Financial Services,56.41782613567086
41,NRDS,Communication Services,56.40229666591705
42,NCSM,Energy,56.38159592039201
43,BKTI,Technology,56.30491706193121
44,CMCL,Basic Materials,56.29249375285667
45,VICI,Real Estate,56.271235804232546
46,MAPS,Technology,56.2680691900649
47,MYPS,Communication Services,56.246540855728675
48,NTES,Communication Services,56.18858508300106
49,ACU,Consumer Defensive,56.16719082613433
50,APEI,Consumer Defensive,56.14953966243941
51,ENVA,Financial Services,56.1441789850107
52,RGP,Industrials,56.089029548733265
53,HHS,Industrials,56.04744593676615
54,IMKTA,Consumer Defensive,55.97746676462623
55,IPI,Basic Materials,55.94652037993346
56,NRDY,Technology,55.92370842527859
57,NJR,Utilities,55.90119009858113
58,FIGS,Consumer Cyclical,55.882265388942926
59,DDS,Consumer Cyclical,55.876894526995365
60,IDN,Technology,55.86392282445555
61,SEMR,Technology,55.85426893257584
62,LRN,Consumer Defensive,55.851270803848365
63,HST,Real Estate,55.84486616529577
64,SNDL,Consumer Defensive,55.77878187517117
65,CMT,Basic Materials,55.76722757584571
66,IESC,Industrials,55.75630028650974
67,GIC,Industrials,55.73678403640243
68,NWE,Utilities,55.729149336740676
69,POR,Utilities,55.71608888011917
70,ZETA,Technology,55.71593333264089
71,ARLO,Industrials,55.70920298391094
72,TLF,Consumer Cyclical,55.66025369325403
73,SONO,Technology,55.642864357265154
74,VRA,Consumer Cyclical,55.641394639249164
75,MOV,Consumer Cyclical,55.62516757711849
76,BLIN,Technology,55.62174025281516
77,USLM,Basic Materials,55.617931766803736
78,UPBD,Technology,55.60778723087531
79,MHH,Industrials,55.60107559398386
80,ZIP,Communication Services,55.59085333929782
81,FLUX,Industrials,55.58267312022328
82,SPT,Technology,55.57826506488412
83,ED,Utilities,55.565509462127345
84,DOMO,Technology,55.56089402137707
85,FORR,Industrials,55.55266719640062
86,ODC,Basic Materials,55.53895022253617
87,AEI,Real Estate,55.53575193046476
88,EQNR,Energy,55.52742734167316
89,REPX,Energy,55.51544940374003
90,PDS,Energy,55.45790552231223
91,BCC,Basic Materials,55.455041223757924
92,META,Communication Services,55.44354359721693
93,FE,Utilities,55.43523262716947
94,FAST,Industrials,55.43209198379509
95,FTS,Utilities,55.4313763715452
96,REX,Basic Materials,55.40193043306263
97,CALX,Technology,55.401640877926624
98,NUS,Consumer Defensive,55.39818538191642
99,LOPE,Consumer Defensive,55.38388384923788
