2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
CIG,CEPU,TEO,EC,KEP,KEP,KEP,LPL,HPQ
KEP,SONY,EDN,EDN,EDN,LOMA,CRESY,EC,TOL
KT,CTRM,LOMA,KT,KT,TEO,DGLY,CEPU,DKS
LOMA,DFLI,KT,LOMA,SKM,BNED,KT,TGS,LOW
CEPU,OPRA,KEP,TGS,CEPU,SONY,SKM,HMC,DG
CCU,GGB,SKM,PKX,LOMA,RDY,TGS,MDU,GEF
TGS,GPRK,TGS,TEO,PKX,BWMX,EDN,STEM,HD
SKM,BIO,SBET,HMC,TGS,GTN,PKX,TM,DY
SIM,MTDR,CCU,KEP,CCU,SSP,CCU,TAK,AMAT
ESEA,METC,PKX,CEPU,ATCH,SIM,TEO,RNW,HRL
UGP,CCEC,CEPU,TM,SONY,ASX,LOMA,PHI,ULTA
PAGS,HE,PHI,APDN,IDAI,CLW,WHLR,SONY,NTAP
LDWY,ECVT,DVLT,CCU,TKC,TSM,CETX,RDY,BJ
CPAC,NVT,RDY,TAK,RNW,FGEN,PHI,WIT,DE
AFYA,HVT,TKC,SONY,PHI,PRSU,NUKK,BWMX,MDT
SPHR,CENX,UMC,PHI,PAVM,PAGS,SONY,TKC,MOV
GSM,ITRN,AGFY,RDY,INVE,BZFD,WHWK,CYH,COO
FPAY,MAT,ASGN,WIT,RDY,HLF,LIVE,MESA,NVDA
ASTL,WLKP,SMC,SIM,WIT,IHS,TKC,STRR,BURL
ARCO,GENC,BWMX,XFOR,OMEX,INSE,SUZ,UMC,OKTA
