Symbol,Sector,DateType,Final_Score_PSR,Final_Score_GP/A,Final_Score_EV/EBIT,Final_Score_PER,Final_Score_CurrentRatio,Final_Score_PBR,Final_Score_DebtToEquityRatio,Final_Score_PCR,Final_Score_PFCR,Final_Score_ROE,Final_Score_OperatingMargin,Final_Score_FreeCashFlowMargin,Final_Score_RevenueGrowth,Final_Score_InterestCoverageRatio,Final_Score_Total
USNA,Consumer Defensive,Quarter,55.165179403444355,96.4722171698094,53.961802806781904,51.55313823755869,87.16071356055726,56.48591551955492,82.73973829138518,55.429361046523525,54.96635091932367,50.61463037610448,54.33684991731388,54.37617293236324,50.6270068131115,48.019482994080725,60.85061142770805
CALM,Consumer Defensive,Quarter,55.71746493607233,80.90689801545312,50.0,53.994535778079324,91.92400106216775,56.51182403575537,50.0,57.537437563220514,57.4309112780089,54.01196413734554,55.276408049707754,55.46657744720811,79.00754303009029,47.63049821353626,60.38686168190323
NCSM,Energy,Quarter,52.07206926287898,87.92851354839863,58.09611421449466,50.965459822574005,78.53598165366017,72.89865918297144,85.210213849826,56.0990061727551,52.60533665415159,58.294531910081986,51.076615514523894,51.70952228886506,69.48526264730805,54.73181297987797,60.25181069465683
DWSN,Energy,Quarter,52.043125343397655,92.5349083272044,59.31497422795185,51.85749374291739,42.69550845120541,57.72662836548781,81.65870289572442,56.130279279506794,52.773336639036714,64.16185967681425,51.79268943710463,51.64240061701687,69.48526264730805,54.73181297987797,59.913303593434996
EZPW,Financial Services,Quarter,79.20305955025071,75.55183941327707,47.58354377389484,64.25765332635868,49.253825900992034,57.43783034326404,65.04636595150531,69.69706551787333,72.1883577391931,53.31508543647753,44.63768214047221,49.84952452005315,48.2373721051523,57.746813953371166,59.57185854800967
TNK,Energy,Quarter,51.91824605796699,72.54603710256606,57.34533854231339,50.91924622051008,80.57755844156817,64.85233741371381,89.06035130882736,65.0930683234487,55.16946158711837,63.29933580325999,53.71671867480483,52.62833687371679,56.083702195236015,60.192135735625854,58.99423490927612
ENVA,Financial Services,Quarter,78.04323738232164,44.55159550058709,46.58511994712434,61.509354130932046,55.60174355599344,56.967441684420116,50.05373790608661,80.22776494351552,80.80229699018842,53.34403315703155,43.83544185154293,72.8868060548031,51.27937113040881,45.86566082100852,58.68240036114029
TGS,Energy,Quarter,52.10220755658737,41.144155990601064,60.09825073142883,52.33885415060828,71.41137702138339,77.16830031932105,74.23539269239159,67.24831184880905,58.161809154718185,54.65088576146985,53.31941305528242,51.57105715994499,69.48526264730805,47.86454282168927,58.45556765432943
SLQT,Financial Services,Quarter,80.91347965030303,91.28269867753379,47.61537648707606,63.0289490206337,38.963533060595516,57.33284017515561,50.38673305172393,70.60265215288476,70.96085972446281,53.332073936600665,44.50644710267838,51.840541094666364,48.2373721051523,48.06409154122733,58.36197484147816
ZVIA,Consumer Defensive,Quarter,56.87560769504683,83.79645541692074,55.41296318760993,54.675796634174624,71.00839646076972,57.44308315480353,82.12281123757263,50.0,50.0,49.33716141658772,53.833367646823845,53.98082497675105,50.18252931531067,47.63049821353626,58.30710681113626
