Symbol,Sector,DateType,Final_Score_PSR,Final_Score_GP/A,Final_Score_EV/EBIT,Final_Score_PER,Final_Score_CurrentRatio,Final_Score_PBR,Final_Score_DebtToEquityRatio,Final_Score_PCR,Final_Score_PFCR,Final_Score_ROE,Final_Score_OperatingMargin,Final_Score_FreeCashFlowMargin,Final_Score_RevenueGrowth,Final_Score_InterestCoverageRatio,Final_Score_Total
YRD,Financial Services,Year,68.73430333124242,70.21812279236562,54.766176632630305,57.17437981787524,45.7663286380444,70.65892347822312,88.67381103825682,60.879292406221154,64.49444381351331,53.00303518678592,64.3065337198687,56.19227662422364,76.39577810285617,51.46614735904939,63.052110924368286
FINV,Financial Services,Year,67.58438903937422,80.61280041475203,54.90766129235504,56.550232308811445,46.512943818744674,69.35789549407389,90.56110839182968,58.713112526375966,60.92910322206254,52.244428108708085,57.71782489308203,52.2565701957886,58.06083549117919,51.46614735904939,61.24821803972763
SBS,Utilities,Year,53.781616458201434,84.2721052853284,57.350140259338446,57.94178425627268,42.88271163674902,52.499628737285775,71.75013690328811,70.86555200381737,57.231339331653096,56.24675472421207,55.096805067799565,56.58335021429792,57.15618367627295,53.709002147796454,59.86590993157841
CWCO,Utilities,Year,53.55759820504558,86.39928045388388,51.03057487462745,48.86981844939921,70.23793718411049,52.43919646444253,90.36496550501829,50.26789622234752,49.827631020976156,54.50500733350367,54.31702837091674,56.50432040723936,46.481224314992005,53.71786797955636,59.241529529481035
CIG,Utilities,Year,53.79330515090497,74.88455403724178,57.719556560842996,58.1075620280783,44.855377022537084,52.501026941376765,78.71081221051887,71.80271677474272,57.86057306083373,56.76941972246463,54.44950448498075,56.41432400600672,46.38663684247729,53.705558352643926,59.131505502923105
QD,Financial Services,Year,64.0511478331048,15.912903199357721,54.757130789410624,56.09155459905095,62.37992919171698,70.77435721593429,88.39200968636472,53.25915417250697,63.96881111291694,48.93240959366639,53.498422053012284,51.87560624433142,80.44425269090512,51.615780728343275,58.28239065075875
GNE,Utilities,Year,53.72110391459922,88.90616216620249,51.06637843024933,45.769494011273736,67.90146654623211,52.42852152822664,86.32846895451647,63.69142281242414,53.6706749176127,54.1731988672294,54.011584648558554,56.42026100060862,44.17248015855188,53.71786797955636,58.27061532079547
GRVY,Communication Services,Year,52.35859670028103,65.73619770332202,50.0,51.74339664125101,73.46119939695357,58.01356759387533,50.0,60.69867474660951,63.92001266049392,58.32003093952237,52.04778903121831,51.8756715869324,68.7168186464166,54.00703974690562,57.921356813841555
AMR,Basic Materials,Year,52.771210869341246,92.4060675735081,47.90437038939882,48.552632452307456,47.13753556652562,53.48220047468443,65.72398525135492,55.765832551309686,58.07715689482788,71.5750566671737,56.62045163792756,56.48231568413429,46.989390348753275,56.91746779018625,57.88611958224523
EDN,Utilities,Year,53.80462930869892,49.87505709833052,58.44609893859976,58.53830061525589,38.88406516821917,52.50848093648108,87.12432153742033,72.80790913866016,58.45705897008291,55.05701574820833,53.862682837936376,55.70540481695153,57.57031662965402,53.602744894920875,57.79290514092216
OPFI,Financial Services,Year,68.58581336690415,93.57715446872058,54.82461570318566,56.99229663539967,62.37992919171698,43.42425619877386,17.98036229691183,60.97533971886268,64.68520430519013,48.72491077859834,66.48633536684659,58.206271455548496,60.29892512036902,51.73626090916571,57.77697682258526
ENVA,Financial Services,Year,66.960240965033,48.6400584208875,54.0858895815019,55.264367579878034,62.37992919171698,67.11987028454445,43.13378750017827,60.65562680969657,64.05643078328707,51.824357653083325,55.77092495218288,57.74596367966485,69.45866574761,51.509623828051154,57.75755264123687
JFIN,Communication Services,Year,52.34805916037092,84.66845266016205,51.36165188531306,51.71575346774121,44.084770570798625,56.76068197997862,54.44065190405745,58.962244501274114,60.91792008103367,61.67006462308106,52.07340113772605,51.777664351852465,74.26067419850752,53.27580478687087,57.73698537919769
RMR,Real Estate,Year,73.45033887554246,81.3017219110066,50.085375529073104,48.50264689325023,49.18098093439009,54.97390622886502,73.14026714783631,62.48065893849611,60.518560697552594,49.146044244676496,51.776293992293915,52.275289953600556,46.71786411778846,54.378443630273,57.70917093533179
EZPW,Financial Services,Year,67.70270808536296,76.56879931906442,54.45642467689416,54.284169921408605,39.94038418183536,68.74738802832451,54.87929732319134,59.63308355408449,62.68979892753201,50.38828492684049,54.29066673563376,52.28915798610849,58.41383501557249,51.77894936676464,57.57592486061555
AXR,Real Estate,Year,68.43218787148652,49.97358959888338,49.652781478561735,49.29254512683533,67.46172360502695,56.8071124499633,86.40593499285022,60.78648368841602,58.197249889892085,48.899589491393144,53.51126576185125,52.6113195534912,47.072532877995286,53.81734538904211,57.35154726969204
EHTH,Financial Services,Year,67.42987591215349,72.99362224513696,54.91213231072618,57.23502273164518,48.785891671895634,69.53506293914538,84.60173790067283,50.0,38.01503703403859,48.72491077859834,51.666843759379134,51.54066858882961,54.869420012966074,51.46614735904939,57.26974094601691
DAVE,Technology,Year,52.18909496731928,97.54012469181376,50.13610772643623,50.493301828961094,68.577415888909,52.38632890729951,51.604374348632575,54.87027852904897,52.153808016132736,50.81249236056567,52.50093409403911,52.14760735192771,48.91540353376142,52.3826708607026,57.158439411058744
EBR,Utilities,Year,53.76493281769021,66.22719807487137,55.562134440579534,56.80579357064478,61.65363944034415,52.50341501776305,75.73498701142739,69.45286775890861,57.3077980761568,52.84190693688238,54.87456488860303,56.14487536065077,45.83907852124398,53.64333863730282,57.12809054549658
BCC,Basic Materials,Year,52.790868149450354,96.63388391166774,47.505970210785556,47.57910628712465,48.24908628202391,55.68035917712629,59.32891265608167,55.4703892420242,57.66891803583676,63.17564624589919,56.244378424214645,56.256437113371476,44.60180749395252,56.6967833536844,56.99161047023167
YELP,Communication Services,Year,52.253026596642115,91.24028626536787,49.4824957815498,50.63388775174285,62.66693654370529,55.74238409895717,55.05816279904113,57.91254172425706,57.26431376933304,55.55923734848173,51.90560758022679,51.89021611707485,51.472725608354544,53.27580478687087,56.882687626543216
ZDGE,Communication Services,Year,52.25567094782052,84.42887041806246,49.12699398772784,51.65728956213236,65.03446336810435,56.86534139110125,55.968126287079656,58.19415463833618,58.33649470348665,54.602056842601144,51.92213955189588,51.89744654439737,51.24616379664748,53.27580478687087,56.772215487590266
NRDS,Communication Services,Year,52.28605042544541,91.24028626536786,48.959335210767996,51.109760307376426,60.895289744837214,56.404770014051735,55.843679973282775,55.69927501160043,54.834390315417224,54.78528730046489,51.86958665962855,51.77674907634989,55.0014771535341,53.734596351929994,56.74575241500389
APPF,Technology,Year,52.03867529049187,97.44473750098913,49.125581233696245,49.73989492251524,60.67459979612421,50.337185007551724,62.08378820559616,52.403864975551095,51.44233967566556,51.02455830682298,52.524087891073165,52.11162944689967,48.83544765882686,52.363553578864526,56.671564503817834
AEI,Real Estate,Year,71.70325190505523,32.69204826579518,49.902622994327004,52.35730775075323,67.46172360502695,58.098511969533305,85.55129731464595,62.20896113705446,61.29383840672682,48.34442564684478,50.227986060515335,52.593217628172866,46.527675651539,53.723829015503625,56.62047838224955
