Date,Symbol,Result Close,MMA_10,Avg Profit Ratio,End Balance,Balance,Restart Asset,Restart Balance
2015-12-31,"['SPY', 'EFA', 'LQD', 'HYG', 'VNQ', 'REM', 'TLT', 'GLD', 'BIL']","[203.87, 58.72, 114.01, 80.58, 79.73, 38.24, 120.58, 101.46, 91.36]","[205.22, 62.34, 116.95, 86.8, 78.51, 42.52, 122.91, 108.69, 91.41]","[-0.81, -3.48, -4.52, -10.07, -1.57, -18.36, -4.24, -10.67, -0.13]",[],10000,"['BIL', 'BIL', 'BIL', 'BIL']","[2500, 2500, 2500, 2500]"
2016-01-29,"['SPY', 'EFA', 'LQD', 'HYG', 'VNQ', 'REM', 'TLT', 'GLD', 'BIL']","[193.72, 55.48, 114.15, 79.29, 76.99, 36.24, 127.3, 106.95, 91.38]","[203.95, 61.47, 116.19, 85.67, 77.78, 41.47, 122.57, 108.02, 91.4]","[-2.87, -9.38, -7.86, -12.12, -11.05, -22.37, -7.94, -13.37, -0.09]","[2500, 2500, 2500, 2500]",10000,"['BIL', 'BIL', 'BIL', 'BIL']","[2500, 2500, 2500, 2500]"
2016-02-29,"['SPY', 'EFA', 'LQD', 'HYG', 'VNQ', 'REM', 'TLT', 'GLD', 'BIL']","[193.56, 53.63, 115.01, 80.08, 76.71, 37.16, 130.98, 118.64, 91.38]","[202.46, 60.18, 115.7, 84.58, 77.51, 40.54, 123.07, 108.53, 91.39]","[-8.12, -17.62, -5.57, -12.83, -7.99, -21.8, 1.12, 2.13, -0.09]","[2500, 2500, 2500, 2500]",10000,"['BIL', 'BIL', 'BIL', 'GLD']","[2500, 2500, 2500, 2500]"
2016-03-31,"['SPY', 'EFA', 'LQD', 'HYG', 'VNQ', 'REM', 'TLT', 'GLD', 'BIL']","[205.52, 57.16, 118.82, 81.69, 83.8, 38.68, 130.61, 117.64, 91.38]","[201.89, 59.23, 115.75, 83.66, 77.98, 39.75, 123.86, 108.89, 91.39]","[-0.44, -10.92, -2.37, -9.84, -0.6, -17.28, -0.06, 3.5, -0.09]","[2500, 2500, 2500, 2478]",9978,"['BIL', 'BIL', 'BIL', 'GLD']","[2494, 2494, 2494, 2494]"
2016-04-29,"['SPY', 'EFA', 'LQD', 'HYG', 'VNQ', 'REM', 'TLT', 'GLD', 'BIL']","[206.33, 58.43, 120.33, 83.85, 81.83, 39.32, 129.38, 123.65, 91.42]","[201.94, 58.73, 116.22, 83.16, 78.69, 39.45, 125.06, 110.02, 91.39]","[-1.02, -12.15, 0.33, -7.85, 3.09, -15.4, 2.72, 8.97, -0.02]","[2495, 2495, 2495, 2621]",10106,"['BIL', 'LQD', 'VNQ', 'GLD']","[2526, 2526, 2526, 2526]"
2016-05-31,"['SPY', 'EFA', 'LQD', 'HYG', 'VNQ', 'REM', 'TLT', 'GLD', 'BIL']","[209.84, 58.38, 119.39, 83.61, 83.67, 40.96, 130.16, 116.06, 91.42]","[201.88, 58.09, 116.52, 82.73, 79.16, 39.2, 125.82, 111.13, 91.39]","[-0.62, -12.39, 0.95, -8.03, 5.72, -12.1, 6.07, 1.72, 0.0]","[2526, 2506, 2582, 2370]",9984,"['BIL', 'LQD', 'VNQ', 'TLT']","[2496, 2496, 2496, 2496]"
2016-06-30,"['SPY', 'EFA', 'LQD', 'HYG', 'VNQ', 'REM', 'TLT', 'GLD', 'BIL']","[209.48, 55.82, 122.74, 84.7, 88.67, 41.04, 138.9, 126.47, 91.4]","[203.06, 57.67, 117.29, 82.57, 80.62, 39.12, 127.57, 112.89, 91.39]","[1.76, -12.08, 6.07, -4.62, 18.72, -3.02, 18.25, 12.55, -0.02]","[2495, 2566, 2645, 2663]",10369,"['SPY', 'LQD', 'VNQ', 'TLT']","[2592, 2592, 2592, 2592]"
2016-07-29,"['SPY', 'EFA', 'LQD', 'HYG', 'VNQ', 'REM', 'TLT', 'GLD', 'BIL']","[217.12, 58.04, 123.99, 85.41, 92.45, 42.48, 141.56, 128.98, 91.44]","[205.61, 57.74, 118.08, 82.78, 82.31, 39.39, 129.37, 115.11, 91.39]","[3.14, -10.4, 6.57, -2.91, 17.03, -2.12, 15.53, 22.92, 0.02]","[2686, 2618, 2702, 2641]",10647,"['SPY', 'LQD', 'VNQ', 'GLD']","[2661, 2661, 2661, 2661]"
2016-08-31,"['SPY', 'EFA', 'LQD', 'HYG', 'VNQ', 'REM', 'TLT', 'GLD', 'BIL']","[217.38, 58.35, 123.89, 86.7, 88.97, 42.96, 139.87, 124.78, 91.44]","[206.55, 57.47, 118.82, 82.9, 83.22, 39.71, 131.08, 116.65, 91.4]","[9.97, -2.7, 7.67, 0.53, 20.18, 2.48, 15.2, 14.67, 0.02]","[2664, 2658, 2560, 2574]",10456,"['SPY', 'LQD', 'VNQ', 'TLT']","[2614, 2614, 2614, 2614]"
2016-09-30,"['SPY', 'EFA', 'LQD', 'HYG', 'VNQ', 'REM', 'TLT', 'GLD', 'BIL']","[216.3, 59.13, 123.18, 87.26, 86.74, 42.04, 137.51, 125.64, 91.46]","[207.31, 57.31, 119.55, 83.32, 83.96, 39.91, 132.68, 119.03, 91.41]","[12.87, 3.16, 6.11, 4.77, 14.83, 5.73, 11.31, 17.57, 0.09]","[2601, 2599, 2548, 2569]",10317,"['SPY', 'LQD', 'VNQ', 'GLD']","[2579, 2579, 2579, 2579]"
