Date,Symbol,Result Close,MMA_10,Avg Profit Ratio,End Balance,End Cash,Balance,Restart Asset,Restart Balance,Cash
2014-12-31,"['SPY', 'IWM', 'MTUM', 'EFA', 'TLT', 'IEF', 'LQD', 'DBC', 'VNQ', 'GLD']","[205.54, 119.62, 68.06, 60.84, 125.92, 105.99, 119.41, 18.45, 81.0, 113.58]","[196.89, 115.0, 64.17, 65.95, 116.48, 104.05, 119.01, 23.99, 75.76, 119.81]","[4.96, 4.07, 6.19, -7.59, 11.41, 2.81, 1.29, -22.22, 11.74, -3.61]",,,10000,"['VNQ', 'TLT', 'MTUM']","[3333, 3333, 3333]",1.0
2015-01-30,"['SPY', 'IWM', 'MTUM', 'EFA', 'TLT', 'IEF', 'LQD', 'DBC', 'VNQ', 'GLD']","[199.45, 115.7, 67.59, 61.22, 138.28, 110.55, 123.89, 17.4, 86.55, 123.45]","[198.14, 114.93, 64.9, 65.35, 119.4, 104.93, 119.71, 23.12, 77.35, 119.79]","[2.79, 0.8, 6.1, -3.87, 18.7, 6.21, 4.64, -22.27, 15.14, 5.28]","[3561, 3660, 3309]",1.0,10531.0,"['TLT', 'VNQ', 'IEF']","[3510, 3510, 3510]",1.0
2015-02-27,"['SPY', 'IWM', 'MTUM', 'EFA', 'TLT', 'IEF', 'LQD', 'DBC', 'VNQ', 'GLD']","[210.66, 122.58, 71.26, 65.1, 129.53, 107.64, 121.8, 18.17, 83.37, 116.16]","[200.37, 115.99, 66.05, 65.03, 121.24, 105.46, 120.07, 22.29, 78.39, 118.99]","[6.33, 5.12, 7.91, 0.52, 6.88, 1.6, 1.14, -16.12, 6.43, -4.38]","[3287, 3381, 3417]",1.0,10086.0,"['MTUM', 'TLT', 'VNQ']","[3362, 3362, 3362]",0.0
2015-03-31,"['SPY', 'IWM', 'MTUM', 'EFA', 'TLT', 'IEF', 'LQD', 'DBC', 'VNQ', 'GLD']","[206.43, 124.37, 70.3, 64.17, 130.69, 108.39, 121.71, 17.07, 84.31, 113.66]","[201.75, 117.14, 66.86, 64.51, 122.9, 105.9, 120.29, 21.4, 79.36, 118.31]","[3.4, 6.52, 6.71, -0.1, 9.22, 3.53, 2.22, -18.67, 10.49, -3.08]","[3316, 3392, 3399]",0.0,10107.0,"['VNQ', 'TLT', 'MTUM']","[3369, 3369, 3369]",0.0
2015-04-30,"['SPY', 'IWM', 'MTUM', 'EFA', 'TLT', 'IEF', 'LQD', 'DBC', 'VNQ', 'GLD']","[208.46, 121.18, 69.57, 66.51, 125.95, 107.53, 119.94, 18.29, 79.38, 113.47]","[203.02, 117.38, 67.49, 64.32, 124.14, 106.3, 120.35, 20.57, 79.81, 116.86]","[4.89, 3.59, 5.79, 3.41, 1.61, 0.99, -0.65, -9.14, -1.2, -4.04]","[3171, 3246, 3334]",0.0,9751.0,"['MTUM', 'SPY', 'IWM']","[3250, 3250, 3250]",1.0
2015-05-29,"['SPY', 'IWM', 'MTUM', 'EFA', 'TLT', 'IEF', 'LQD', 'DBC', 'VNQ', 'GLD']","[211.14, 123.89, 71.91, 66.64, 122.71, 106.92, 118.27, 17.71, 79.14, 114.1]","[204.83, 118.65, 68.43, 64.33, 125.01, 106.67, 120.33, 19.81, 80.23, 115.93]","[3.25, 4.81, 6.1, 0.68, -0.03, 0.57, -1.73, -12.73, -0.3, -1.17]","[3359, 3291, 3322]",1.0,9973.0,"['MTUM', 'IWM', 'SPY']","[3324, 3324, 3324]",1.0
2015-06-30,"['SPY', 'IWM', 'MTUM', 'EFA', 'TLT', 'IEF', 'LQD', 'DBC', 'VNQ', 'GLD']","[205.85, 124.86, 71.44, 63.49, 117.46, 105.01, 115.72, 18.0, 74.69, 112.37]","[205.34, 119.48, 69.02, 64.0, 124.85, 106.69, 119.84, 19.1, 79.98, 114.78]","[0.63, 2.66, 4.72, -2.14, -4.41, -1.11, -3.29, -6.91, -6.25, -3.99]","[3302, 3350, 3240]",1.0,9893.0,"['MTUM', 'IWM', 'SPY']","[3297, 3297, 3297]",2.0
2015-07-31,"['SPY', 'IWM', 'MTUM', 'EFA', 'TLT', 'IEF', 'LQD', 'DBC', 'VNQ', 'GLD']","[210.5, 122.96, 74.15, 64.78, 122.53, 106.44, 116.35, 15.73, 79.0, 104.93]","[206.69, 120.84, 69.95, 64.07, 125.48, 106.97, 119.65, 18.36, 80.7, 113.65]","[4.45, 4.2, 9.63, 0.63, -0.57, -0.05, -2.6, -18.52, 0.51, -11.03]","[3422, 3246, 3371]",2.0,10041.0,"['MTUM', 'SPY', 'IWM']","[3347, 3347, 3347]",0.0
2015-08-31,"['SPY', 'IWM', 'MTUM', 'EFA', 'TLT', 'IEF', 'LQD', 'DBC', 'VNQ', 'GLD']","[197.67, 115.2, 69.7, 59.97, 121.42, 106.36, 115.06, 15.69, 74.03, 108.82]","[206.29, 120.71, 70.28, 63.67, 125.7, 107.1, 119.22, 17.69, 80.2, 113.27]","[-5.04, -5.13, -1.2, -8.85, -1.56, -0.1, -3.48, -15.66, -7.01, -4.85]","[3146, 3142, 3135]",0.0,9423.0,[],[],9423.0
2015-09-30,"['SPY', 'IWM', 'MTUM', 'EFA', 'TLT', 'IEF', 'LQD', 'DBC', 'VNQ', 'GLD']","[191.63, 109.2, 68.21, 57.32, 123.54, 107.87, 116.09, 15.15, 75.54, 106.86]","[204.73, 119.96, 70.22, 63.0, 125.8, 107.27, 118.82, 17.17, 79.7, 112.74]","[-4.97, -7.52, -1.12, -8.86, 1.93, 1.94, -1.3, -16.32, -0.52, -5.18]",[],9423.0,9423.0,['IEF'],[3141],6282.0
