Date,Symbol,Result Close,MMA_10,End Balance,Restart Balance,Balance,Can Rebalance
2014-12-31,"['VTI', 'TLT', 'BIL', 'GLD']","[106.0, 125.92, 91.48, 113.58]","[101.78, 116.48, 91.52, 119.81]","[0, 0, 0, 0]","[2500.0, 2500.0, 2500.0, 2500.0]",10000,False
2015-01-30,"['VTI', 'TLT', 'BIL', 'GLD']","[103.1, 138.28, 91.46, 123.45]","[102.35, 119.4, 91.51, 119.79]","[2431.6, 2745.39, 2499.45, 2717.25]","[2431.6, 2745.39, 2499.45, 2717.25]",10393,False
2015-02-27,"['VTI', 'TLT', 'BIL', 'GLD']","[109.02, 129.53, 91.46, 116.16]","[103.49, 121.24, 91.5, 118.99]","[2571.22, 2571.67, 2499.45, 2556.79]","[2571.22, 2571.67, 2499.45, 2556.79]",10199,False
2015-03-31,"['VTI', 'TLT', 'BIL', 'GLD']","[107.25, 130.69, 91.46, 113.66]","[104.26, 122.9, 91.49, 118.31]","[2529.47, 2594.7, 2499.45, 2501.76]","[2529.47, 2594.7, 2499.45, 2501.76]",10125,False
2015-04-30,"['VTI', 'TLT', 'BIL', 'GLD']","[107.91, 125.95, 91.44, 113.47]","[104.88, 124.14, 91.48, 116.86]","[2545.04, 2500.59, 2498.9, 2497.58]","[2545.04, 2500.59, 2498.9, 2497.58]",10042,False
2015-05-29,"['VTI', 'TLT', 'BIL', 'GLD']","[109.31, 122.71, 91.42, 114.1]","[105.83, 125.01, 91.48, 115.93]","[2578.06, 2436.26, 2498.35, 2511.45]","[2578.06, 2436.26, 2498.35, 2511.45]",10024,False
2015-06-30,"['VTI', 'TLT', 'BIL', 'GLD']","[107.02, 117.46, 91.42, 112.37]","[106.15, 124.85, 91.47, 114.78]","[2524.05, 2332.03, 2498.35, 2473.37]","[2524.05, 2332.03, 2498.35, 2473.37]",9827,False
2015-07-31,"['VTI', 'TLT', 'BIL', 'GLD']","[108.84, 122.53, 91.42, 104.93]","[106.91, 125.48, 91.46, 113.65]","[2566.97, 2432.69, 2498.35, 2309.61]","[2566.97, 2432.69, 2498.35, 2309.61]",9807,False
2015-08-31,"['VTI', 'TLT', 'BIL', 'GLD']","[102.21, 121.42, 91.42, 108.82]","[106.73, 125.7, 91.45, 113.27]","[2410.6, 2410.65, 2498.35, 2395.23]","[2410.6, 2410.65, 2498.35, 2395.23]",9714,False
2015-09-30,"['VTI', 'TLT', 'BIL', 'GLD']","[98.72, 123.54, 91.38, 106.86]","[105.94, 125.8, 91.44, 112.74]","[2328.29, 2452.74, 2497.26, 2352.09]","[2328.29, 2452.74, 2497.26, 2352.09]",9630,False
