Date,Symbol,Result Close,MMA_10,End Balance,Restart Balance,Balance,Can Rebalance
2014-12-31,"['VIG', 'SCHD', 'DGRO', 'GLD']","[81.16, 13.28, 26.52, 113.58]","[77.85, 12.85, 17.87, 119.81]","[0, 0, 0, 0]","[2500.0, 2500.0, 2500.0, 2500.0]",10000,False
2015-01-30,"['VIG', 'SCHD', 'DGRO', 'GLD']","[78.42, 12.87, 25.55, 123.45]","[78.17, 12.91, 20.42, 119.79]","[2415.6, 2422.82, 2408.56, 2717.25]","[2415.6, 2422.82, 2408.56, 2717.25]",9964,False
2015-02-27,"['VIG', 'SCHD', 'DGRO', 'GLD']","[82.8, 13.54, 26.9, 116.16]","[78.85, 13.01, 23.11, 118.99]","[2550.52, 2548.95, 2535.82, 2556.79]","[2550.52, 2548.95, 2535.82, 2556.79]",10192,False
2015-03-31,"['VIG', 'SCHD', 'DGRO', 'GLD']","[80.47, 13.14, 26.31, 113.66]","[79.18, 13.06, 25.74, 118.31]","[2478.75, 2473.65, 2480.2, 2501.76]","[2478.75, 2473.65, 2480.2, 2501.76]",9934,False
2015-04-30,"['VIG', 'SCHD', 'DGRO', 'GLD']","[80.3, 13.24, 26.34, 113.47]","[79.41, 13.1, 25.87, 116.86]","[2473.51, 2492.48, 2483.03, 2497.58]","[2473.51, 2492.48, 2483.03, 2497.58]",9946,False
2015-05-29,"['VIG', 'SCHD', 'DGRO', 'GLD']","[81.07, 13.3, 26.67, 114.1]","[79.98, 13.18, 26.1, 115.93]","[2497.23, 2503.78, 2514.14, 2511.45]","[2497.23, 2503.78, 2514.14, 2511.45]",10026,False
2015-06-30,"['VIG', 'SCHD', 'DGRO', 'GLD']","[78.58, 12.76, 25.85, 112.37]","[80.03, 13.16, 26.14, 114.78]","[2420.53, 2402.12, 2436.84, 2473.37]","[2420.53, 2402.12, 2436.84, 2473.37]",9732,False
2015-07-31,"['VIG', 'SCHD', 'DGRO', 'GLD']","[80.28, 12.85, 26.35, 104.93]","[80.36, 13.16, 26.27, 113.65]","[2472.9, 2419.06, 2483.97, 2309.61]","[2472.9, 2419.06, 2483.97, 2309.61]",9685,False
2015-08-31,"['VIG', 'SCHD', 'DGRO', 'GLD']","[75.57, 12.17, 24.82, 108.82]","[80.02, 13.07, 26.18, 113.27]","[2327.82, 2291.05, 2339.74, 2395.23]","[2327.82, 2291.05, 2339.74, 2395.23]",9353,False
2015-09-30,"['VIG', 'SCHD', 'DGRO', 'GLD']","[73.74, 11.98, 24.25, 106.86]","[79.24, 12.91, 25.96, 112.74]","[2271.45, 2255.28, 2286.01, 2352.09]","[2271.45, 2255.28, 2286.01, 2352.09]",9164,False
