Date,Symbol,Result Close,MMA_10,Avg Profit Ratio,End Balance,Balance,Restart Asset,Restart Balance
2015-12-31,"['SPY', 'EFA', 'AGG', 'BIL']","[203.87, 58.72, 108.01, 91.36]","[205.22, 62.34, 109.55, 91.41]","[-0.81, -3.48, -1.92, -0.13]",[],10000,['SPY'],[10000]
2016-01-29,"['SPY', 'EFA', 'AGG', 'BIL']","[193.72, 55.48, 109.35, 91.38]","[203.95, 61.47, 109.34, 91.4]","[-2.87, -9.38, -2.7, -0.09]",[9502],9502,['SPY'],[9502]
2016-02-29,"['SPY', 'EFA', 'AGG', 'BIL']","[193.56, 53.63, 110.09, 91.38]","[202.46, 60.18, 109.27, 91.39]","[-8.12, -17.62, -1.0, -0.09]",[9494],9494,['SPY'],[9494]
2016-03-31,"['SPY', 'EFA', 'AGG', 'BIL']","[205.52, 57.16, 110.83, 91.38]","[201.89, 59.23, 109.33, 91.39]","[-0.44, -10.92, -0.54, -0.09]",[10080],10080,['SPY'],[10080]
2016-04-29,"['SPY', 'EFA', 'AGG', 'BIL']","[206.33, 58.43, 110.89, 91.42]","[201.94, 58.73, 109.54, 91.39]","[-1.02, -12.15, 0.03, -0.02]",[10119],10119,['SPY'],[10119]
2016-05-31,"['SPY', 'EFA', 'AGG', 'BIL']","[209.84, 58.38, 110.7, 91.42]","[201.88, 58.09, 109.66, 91.39]","[-0.62, -12.39, 0.48, 0.0]",[10291],10291,['SPY'],[10291]
2016-06-30,"['SPY', 'EFA', 'AGG', 'BIL']","[209.48, 55.82, 112.62, 91.4]","[203.06, 57.67, 110.03, 91.39]","[1.76, -12.08, 3.53, -0.02]",[10273],10273,['SPY'],[10273]
2016-07-29,"['SPY', 'EFA', 'AGG', 'BIL']","[217.12, 58.04, 113.02, 91.44]","[205.61, 57.74, 110.38, 91.39]","[3.14, -10.4, 3.21, 0.02]",[10647],10647,['SPY'],[10647]
2016-08-31,"['SPY', 'EFA', 'AGG', 'BIL']","[217.38, 58.35, 112.57, 91.44]","[206.55, 57.47, 110.69, 91.4]","[9.97, -2.7, 3.35, 0.02]",[10659],10659,['SPY'],[10659]
2016-09-30,"['SPY', 'EFA', 'AGG', 'BIL']","[216.3, 59.13, 112.42, 91.46]","[207.31, 57.31, 111.05, 91.41]","[12.87, 3.16, 2.59, 0.09]",[10606],10606,['SPY'],[10606]
2016-10-31,"['SPY', 'EFA', 'AGG', 'BIL']","[212.55, 57.82, 111.3, 91.48]","[208.18, 57.22, 111.38, 91.42]","[2.22, -5.38, 1.69, 0.13]",[10422],10422,['SPY'],[10422]
2016-11-30,"['SPY', 'EFA', 'AGG', 'BIL']","[220.38, 56.79, 108.24, 91.44]","[210.85, 57.36, 111.27, 91.43]","[5.6, -6.36, -0.52, 0.07]",[10805],10805,['SPY'],[10805]
2016-12-30,"['SPY', 'EFA', 'AGG', 'BIL']","[223.53, 57.73, 108.06, 91.4]","[213.84, 57.77, 111.06, 91.43]","[9.64, -1.69, 0.05, 0.04]",[10959],10959,['SPY'],[10959]
2017-01-31,"['SPY', 'EFA', 'AGG', 'BIL']","[227.53, 59.63, 108.29, 91.44]","[216.04, 58.01, 110.81, 91.43]","[17.45, 7.48, -0.97, 0.07]",[11155],11155,['SPY'],[11155]
2017-02-28,"['SPY', 'EFA', 'AGG', 'BIL']","[236.47, 60.34, 108.77, 91.46]","[219.06, 58.2, 110.6, 91.44]","[22.17, 12.51, -1.2, 0.09]",[11593],11593,['SPY'],[11593]
2017-03-31,"['SPY', 'EFA', 'AGG', 'BIL']","[235.74, 62.29, 108.49, 91.42]","[221.65, 58.59, 110.38, 91.44]","[14.7, 8.97, -2.11, 0.04]",[11557],11557,['SPY'],[11557]
2017-04-28,"['SPY', 'EFA', 'AGG', 'BIL']","[238.08, 63.8, 109.25, 91.46]","[224.51, 59.39, 110.04, 91.44]","[15.39, 9.19, -1.48, 0.04]",[11671],11671,['SPY'],[11671]
2017-05-31,"['SPY', 'EFA', 'AGG', 'BIL']","[241.44, 66.06, 109.76, 91.44]","[226.94, 60.19, 109.71, 91.44]","[15.06, 13.16, -0.85, 0.02]",[11835],11835,['SPY'],[11835]
2017-06-30,"['SPY', 'EFA', 'AGG', 'BIL']","[241.8, 65.2, 109.51, 91.48]","[229.38, 60.88, 109.41, 91.45]","[15.43, 16.8, -2.76, 0.09]",[11852],11852,['AGG'],[11852]
2017-07-31,"['SPY', 'EFA', 'AGG', 'BIL']","[246.77, 66.93, 109.65, 91.46]","[232.43, 61.66, 109.13, 91.45]","[13.66, 15.32, -2.98, 0.02]",[11867],11867,['AGG'],[11867]
2017-08-31,"['SPY', 'EFA', 'AGG', 'BIL']","[247.49, 66.9, 110.45, 91.5]","[235.92, 62.57, 109.05, 91.45]","[13.85, 14.65, -1.88, 0.07]",[11953],11953,['AGG'],[11953]
2017-09-29,"['SPY', 'EFA', 'AGG', 'BIL']","[251.23, 68.48, 109.59, 91.5]","[239.01, 63.74, 109.18, 91.46]","[16.15, 15.81, -2.52, 0.04]",[11859],11859,['SPY'],[11859]
2017-10-31,"['SPY', 'EFA', 'AGG', 'BIL']","[257.15, 69.63, 109.47, 91.5]","[242.37, 64.93, 109.32, 91.47]","[20.98, 20.43, -1.64, 0.02]",[12138],12138,['SPY'],[12138]
2017-11-30,"['SPY', 'EFA', 'AGG', 'BIL']","[265.01, 70.11, 109.08, 91.48]","[246.12, 65.97, 109.4, 91.47]","[20.25, 23.45, 0.78, 0.04]",[12509],12509,['AGG'],[12509]
2017-12-29,"['SPY', 'EFA', 'AGG', 'BIL']","[266.86, 70.31, 109.33, 91.4]","[249.16, 66.97, 109.46, 91.46]","[19.38, 21.79, 1.18, 0.0]",[12537],12537,['AGG'],[12537]
2018-01-31,"['SPY', 'EFA', 'AGG', 'BIL']","[281.9, 73.84, 108.1, 91.52]","[253.77, 68.13, 109.42, 91.47]","[23.9, 23.83, -0.18, 0.09]",[12395],12395,['SPY'],[12395]
2018-02-28,"['SPY', 'EFA', 'AGG', 'BIL']","[271.65, 70.27, 106.77, 91.51]","[257.13, 68.77, 109.17, 91.48]","[14.88, 16.46, -1.84, 0.05]",[11944],11944,['AGG'],[11944]
2018-03-29,"['SPY', 'EFA', 'AGG', 'BIL']","[263.15, 69.68, 107.25, 91.55]","[259.3, 69.13, 108.92, 91.49]","[11.63, 11.86, -1.14, 0.14]",[11997],11997,['AGG'],[11997]
2018-04-30,"['SPY', 'EFA', 'AGG', 'BIL']","[264.51, 70.74, 106.0, 91.54]","[261.57, 69.69, 108.57, 91.5]","[11.1, 10.88, -2.97, 0.09]",[11857],11857,['SPY'],[11857]
2018-05-31,"['SPY', 'EFA', 'AGG', 'BIL']","[270.94, 69.4, 106.46, 91.57]","[263.99, 69.94, 108.25, 91.51]","[12.22, 5.06, -3.01, 0.14]",[12145],12145,['SPY'],[12145]
2018-06-29,"['SPY', 'EFA', 'AGG', 'BIL']","[271.28, 66.97, 106.32, 91.58]","[266.37, 69.94, 107.84, 91.52]","[12.19, 2.71, -2.91, 0.11]",[12160],12160,['SPY'],[12160]
2018-07-31,"['SPY', 'EFA', 'AGG', 'BIL']","[281.33, 68.88, 106.06, 91.58]","[269.38, 69.98, 107.48, 91.52]","[14.0, 2.91, -3.27, 0.13]",[12610],12610,['SPY'],[12610]
2018-08-31,"['SPY', 'EFA', 'AGG', 'BIL']","[290.31, 67.34, 106.41, 91.59]","[272.69, 69.75, 107.18, 91.53]","[17.3, 0.66, -3.66, 0.1]",[13012],13012,['SPY'],[13012]
2018-09-28,"['SPY', 'EFA', 'AGG', 'BIL']","[290.72, 67.99, 105.52, 91.58]","[275.26, 69.54, 106.82, 91.54]","[15.72, -0.72, -3.71, 0.09]",[13030],13030,['SPY'],[13030]
2018-10-31,"['SPY', 'EFA', 'AGG', 'BIL']","[270.63, 62.46, 104.59, 91.59]","[275.64, 68.76, 106.35, 91.56]","[5.24, -10.3, -4.46, 0.1]",[12129],12129,['SPY'],[12129]
2018-11-30,"['SPY', 'EFA', 'AGG', 'BIL']","[275.65, 62.77, 104.88, 91.61]","[275.02, 67.65, 106.03, 91.57]","[4.01, -10.47, -3.85, 0.14]",[12353],12353,['SPY'],[12353]
2018-12-31,"['SPY', 'EFA', 'AGG', 'BIL']","[249.92, 58.78, 106.49, 91.46]","[272.84, 66.5, 106.0, 91.57]","[-6.35, -16.4, -2.6, 0.07]",[11199],11199,['SPY'],[11199]
2019-01-31,"['SPY', 'EFA', 'AGG', 'BIL']","[269.93, 62.68, 107.46, 91.62]","[273.52, 65.8, 106.02, 91.57]","[-4.25, -15.11, -0.59, 0.11]",[12095],12095,['SPY'],[12095]
2019-02-28,"['SPY', 'EFA', 'AGG', 'BIL']","[278.68, 64.27, 107.07, 91.61]","[274.94, 65.15, 106.13, 91.58]","[2.59, -8.54, 0.28, 0.11]",[12487],12487,['SPY'],[12487]
2019-03-29,"['SPY', 'EFA', 'AGG', 'BIL']","[282.48, 64.86, 109.07, 91.6]","[276.09, 64.7, 106.39, 91.58]","[7.35, -6.92, 1.7, 0.05]",[12657],12657,['SPY'],[12657]
