Date,Symbol,Result Close,MMA_10,Avg Profit Ratio,End Balance,Balance,Restart Asset,Restart Balance,Safe Asset Ratio
2015-12-31,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF']","[203.87, 111.86, 112.62, 49.88, 48.48, 32.19, 79.73, 101.46, 13.36, 80.58, 114.01, 120.58, 105.59]","[205.22, 108.76, 118.87, 53.09, 49.82, 36.85, 78.51, 108.69, 16.04, 86.8, 116.95, 122.91, 106.75]","[-0.81, 8.34, -5.85, -4.83, 7.83, -18.07, -1.57, -10.67, -27.59, -10.07, -4.52, -4.24, -0.38]",[],10000,['IEF'],[10000],1
2016-01-29,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF']","[193.72, 104.13, 102.96, 47.11, 46.0, 30.57, 76.99, 106.95, 12.78, 79.29, 114.15, 127.3, 109.11]","[203.95, 108.61, 116.73, 52.38, 49.41, 35.9, 77.78, 108.02, 15.61, 85.67, 116.19, 122.57, 106.83]","[-2.87, 3.0, -11.01, -10.57, 0.09, -21.66, -11.05, -13.37, -26.55, -12.12, -7.86, -7.94, -1.3]",[10333],10333,['IEF'],[10333],1
2016-02-29,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF']","[193.56, 102.5, 102.73, 45.59, 43.56, 30.32, 76.71, 118.64, 12.75, 80.08, 115.01, 130.98, 110.57]","[202.46, 108.1, 114.89, 51.29, 48.62, 34.64, 77.51, 108.53, 15.06, 84.58, 115.7, 123.07, 107.13]","[-8.12, -5.44, -16.19, -18.43, -11.82, -25.58, -7.99, 2.13, -29.83, -12.83, -5.57, 1.12, 2.72]",[10471],10471,['IEF'],[10471],1
2016-03-31,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF']","[205.52, 109.2, 110.63, 48.52, 45.64, 34.25, 83.8, 117.64, 13.29, 81.69, 118.82, 130.61, 110.34]","[201.89, 108.01, 113.56, 50.47, 47.96, 33.95, 77.98, 108.89, 14.61, 83.66, 115.75, 123.86, 107.47]","[-0.44, 3.41, -11.05, -10.51, -8.94, -14.65, -0.6, 3.5, -22.14, -9.84, -2.37, -0.06, 1.8]",[10449],10449,"['GLD', 'VNQ', 'TLT', 'LQD', 'SPY', 'QQQ', 'IEF']","[290, 290, 290, 290, 290, 290, 8707]",0.8333
2016-04-29,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF']","[206.33, 105.72, 112.48, 49.86, 45.68, 34.39, 81.83, 123.65, 14.58, 83.85, 120.33, 129.38, 110.0]","[201.94, 107.88, 112.32, 50.06, 47.41, 33.43, 78.69, 110.02, 14.27, 83.16, 116.22, 125.06, 107.97]","[-1.02, -1.77, -7.18, -11.78, -11.2, -19.8, 3.09, 8.97, -20.28, -7.85, 0.33, 2.72, 2.3]","[304, 283, 287, 293, 291, 280, 8680]",10418,"['GLD', 'VNQ', 'LQD', 'TLT', 'EEM', 'SPY', 'IEF']","[868, 868, 868, 868, 868, 868, 5209]",0.5
2016-05-31,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF']","[209.84, 110.34, 115.0, 49.61, 47.16, 33.12, 83.67, 116.06, 14.71, 83.61, 119.39, 130.16, 109.73]","[201.88, 107.72, 111.53, 49.48, 46.95, 33.03, 79.16, 111.13, 14.17, 82.73, 116.52, 125.82, 108.3]","[-0.62, 0.26, -7.18, -12.47, -9.66, -19.46, 5.72, 1.72, -16.94, -8.03, 0.95, 6.07, 2.63]","[814, 887, 861, 873, 835, 882, 5196]",10348,"['VNQ', 'GLD', 'SPY', 'DBC', 'TLT', 'IWM', 'IEF']","[1724, 1724, 1724, 1724, 1724, 1724, 0]",0
2016-06-30,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF']","[209.48, 107.54, 114.98, 46.66, 46.0, 34.36, 88.67, 126.47, 15.35, 84.7, 122.74, 138.9, 112.95]","[203.06, 108.04, 111.5, 48.99, 46.7, 33.08, 80.62, 112.89, 14.14, 82.57, 117.29, 127.57, 108.96]","[1.76, 0.44, -7.91, -13.56, -10.23, -13.28, 18.72, 12.55, -14.72, -4.62, 6.07, 18.25, 7.56]","[1827, 1878, 1721, 1799, 1839, 1723, 0]",10787,"['GLD', 'VNQ', 'TLT', 'DBC', 'LQD', 'EEM', 'IEF']","[898, 898, 898, 898, 898, 898, 5393]",0.5
2016-07-29,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF']","[217.12, 115.23, 121.07, 48.28, 48.24, 36.21, 92.45, 128.98, 14.28, 85.41, 123.99, 141.56, 113.07]","[205.61, 109.39, 112.69, 48.9, 46.96, 33.43, 82.31, 115.11, 14.05, 82.78, 118.08, 129.37, 109.48]","[3.14, 2.93, -1.54, -12.88, -6.73, -2.45, 17.03, 22.92, -9.22, -2.91, 6.57, 15.53, 6.23]","[915, 936, 915, 835, 907, 946, 5398]",10852,"['VNQ', 'GLD', 'TLT', 'EEM', 'IWM', 'SPY', 'IEF']","[1519, 1519, 1519, 1519, 1519, 1519, 1736]",0.16
2016-08-31,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF']","[217.38, 116.44, 123.23, 48.61, 49.12, 36.53, 88.97, 124.78, 14.39, 86.7, 123.89, 139.87, 111.77]","[206.55, 109.7, 113.48, 48.56, 46.94, 33.59, 83.22, 116.65, 13.97, 82.9, 118.82, 131.08, 109.95]","[9.97, 11.63, 6.97, -5.67, 1.32, 7.95, 20.18, 14.67, -8.29, 0.53, 7.67, 15.2, 5.09]","[1461, 1469, 1500, 1532, 1546, 1520, 1716]",10744,"['EEM', 'IWM', 'GLD', 'VNQ', 'TLT', 'QQQ', 'IEF']","[1790, 1790, 1790, 1790, 1790, 1790, 0]",0
2016-09-30,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF']","[216.3, 118.72, 124.21, 48.73, 50.16, 37.45, 86.74, 125.64, 15.01, 87.26, 123.18, 137.51, 111.88]","[207.31, 110.17, 113.99, 48.29, 47.0, 33.94, 83.96, 119.03, 14.05, 83.32, 119.55, 132.68, 110.5]","[12.87, 16.67, 13.75, -0.92, 9.71, 14.25, 14.83, 17.57, -0.92, 4.77, 6.11, 11.31, 3.72]","[1835, 1804, 1802, 1745, 1759, 1825, 0]",10770,"['EEM', 'IWM', 'QQQ', 'DBC', 'EWJ', 'GLD', 'IEF']","[1795, 1795, 1795, 1795, 1795, 1795, 0]",0
