Date,Symbol,Result Close,MMA_10,End Balance,Restart Balance,Balance,Can Rebalance
2014-12-31,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[106.0, 125.92, 105.99, 21.58, 113.58]","[101.78, 116.48, 104.05, 30.08, 119.81]","[0, 0, 0, 0, 0]","[3000.0, 4000.0, 1500.0, 750.0, 750.0]",10000,False
2015-01-30,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[103.1, 138.28, 110.55, 19.7, 123.45]","[102.35, 119.4, 104.93, 28.76, 119.79]","[2917.92, 4392.63, 1564.53, 684.66, 815.17]","[2917.92, 4392.63, 1564.53, 684.66, 815.17]",10374,False
2015-02-27,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[109.02, 129.53, 107.64, 20.87, 116.16]","[103.49, 121.24, 105.46, 27.51, 118.99]","[3085.47, 4114.68, 1523.35, 725.32, 767.03]","[3085.47, 4114.68, 1523.35, 725.32, 767.03]",10215,False
2015-03-31,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[107.25, 130.69, 108.39, 19.5, 113.66]","[104.26, 122.9, 105.9, 26.15, 118.31]","[3035.38, 4151.53, 1533.96, 677.71, 750.52]","[3035.38, 4151.53, 1533.96, 677.71, 750.52]",10149,False
2015-04-30,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[107.91, 125.95, 107.53, 21.63, 113.47]","[104.88, 124.14, 106.3, 24.92, 116.86]","[3054.06, 4000.96, 1521.79, 751.74, 749.27]","[3054.06, 4000.96, 1521.79, 751.74, 749.27]",10077,False
2015-05-29,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[109.31, 122.71, 106.92, 21.16, 114.1]","[105.83, 125.01, 106.67, 23.84, 115.93]","[3093.68, 3898.04, 1513.16, 735.41, 753.43]","[3093.68, 3898.04, 1513.16, 735.41, 753.43]",9993,False
2015-06-30,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[107.02, 117.46, 105.01, 21.11, 112.37]","[106.15, 124.85, 106.69, 22.8, 114.78]","[3028.87, 3731.27, 1486.13, 733.67, 742.01]","[3028.87, 3731.27, 1486.13, 733.67, 742.01]",9721,False
2015-07-31,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[108.84, 122.53, 106.44, 18.12, 104.93]","[106.91, 125.48, 106.97, 21.65, 113.65]","[3080.38, 3892.33, 1506.37, 629.75, 692.88]","[3080.38, 3892.33, 1506.37, 629.75, 692.88]",9801,False
2015-08-31,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[102.21, 121.42, 106.36, 18.17, 108.82]","[106.73, 125.7, 107.1, 20.69, 113.27]","[2892.74, 3857.07, 1505.24, 631.49, 718.57]","[2892.74, 3857.07, 1505.24, 631.49, 718.57]",9605,False
2015-09-30,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[98.72, 123.54, 107.87, 17.08, 106.86]","[105.94, 125.8, 107.27, 19.89, 112.74]","[2793.97, 3924.41, 1526.61, 593.61, 705.63]","[2793.97, 3924.41, 1526.61, 593.61, 705.63]",9544,False
2015-10-30,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[106.53, 122.78, 107.02, 17.07, 109.3]","[105.99, 125.49, 107.37, 19.44, 112.31]","[3015.01, 3900.27, 1514.58, 593.26, 721.74]","[3015.01, 3900.27, 1514.58, 593.26, 721.74]",9744,False
2015-11-30,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[107.17, 121.45, 106.4, 15.51, 101.92]","[106.4, 123.81, 106.96, 19.02, 110.16]","[3033.12, 3858.02, 1505.81, 539.04, 673.01]","[3033.12, 3858.02, 1505.81, 539.04, 673.01]",9609,False
2015-12-31,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[104.3, 120.58, 105.59, 14.23, 101.46]","[105.93, 122.91, 106.75, 18.36, 108.69]","[2951.89, 3830.38, 1494.35, 494.55, 669.97]","[2832.34, 3776.46, 1416.17, 708.09, 708.09]",9441,True
2016-01-29,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[98.33, 127.3, 109.11, 13.48, 106.95]","[105.03, 122.57, 106.83, 17.76, 108.02]","[2670.22, 3986.92, 1463.38, 670.77, 746.4]","[2670.22, 3986.92, 1463.38, 670.77, 746.4]",9537,False
2016-02-29,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[98.32, 130.98, 110.57, 13.2, 118.64]","[104.07, 123.07, 107.13, 16.91, 108.53]","[2669.95, 4102.17, 1482.96, 656.84, 827.98]","[2669.95, 4102.17, 1482.96, 656.84, 827.98]",9739,False
2016-03-31,"['VTI', 'TLT', 'IEF', 'GSG', 'GLD']","[104.82, 130.61, 110.34, 13.79, 117.64]","[103.63, 123.86, 107.47, 16.18, 108.89]","[2846.46, 4090.58, 1479.88, 686.2, 821.0]","[2846.46, 4090.58, 1479.88, 686.2, 821.0]",9924,False
