Date,Symbol,Result Close,MMA_10,Total Momentum Score,End Balance,Balance,Restart Asset,Restart Balance,Restart Type
2015-12-31,"['SPY', 'EFA', 'EEM', 'AGG', 'LQD', 'IEF', 'SHY']","[203.87, 58.72, 32.19, 108.01, 114.01, 105.59, 84.36]","[205.22, 62.34, 36.85, 109.55, 116.95, 106.75, 84.79]","[-0.05, -0.46, -1.27, -0.18, -0.35, -0.16, -0.07]",[],10000,['SHY'],[10000],
2016-01-29,"['SPY', 'EFA', 'EEM', 'AGG', 'LQD', 'IEF', 'SHY']","[193.72, 55.48, 30.57, 109.35, 114.15, 109.11, 84.91]","[203.95, 61.47, 35.9, 109.34, 116.19, 106.83, 84.79]","[-1.06, -1.41, -1.66, 0.12, -0.19, 0.52, 0.08]",[10065],10065,['IEF'],[10065],
2016-02-29,"['SPY', 'EFA', 'EEM', 'AGG', 'LQD', 'IEF', 'SHY']","[193.56, 53.63, 30.32, 110.09, 115.01, 110.57, 84.96]","[202.46, 60.18, 34.64, 109.27, 115.7, 107.13, 84.8]","[-0.42, -1.25, -1.0, 0.14, 0.0, 0.43, 0.03]",[10199],10199,['IEF'],[10199],
2016-03-31,"['SPY', 'EFA', 'EEM', 'AGG', 'LQD', 'IEF', 'SHY']","[205.52, 57.16, 34.25, 110.83, 118.82, 110.34, 85.03]","[201.89, 59.23, 33.95, 109.33, 115.75, 107.47, 84.82]","[0.91, 0.56, 1.76, 0.19, 0.6, 0.23, 0.04]",[10177],10177,['EEM'],[10177],
2016-04-29,"['SPY', 'EFA', 'EEM', 'AGG', 'LQD', 'IEF', 'SHY']","[206.33, 58.43, 34.39, 110.89, 120.33, 110.0, 85.01]","[201.94, 58.73, 33.43, 109.54, 116.22, 107.97, 84.83]","[0.28, 0.27, 0.32, 0.1, 0.44, 0.07, 0.0]",[10218],10218,['EEM'],[10218],
2016-05-31,"['SPY', 'EFA', 'EEM', 'AGG', 'LQD', 'IEF', 'SHY']","[209.84, 58.38, 33.12, 110.7, 119.39, 109.73, 84.86]","[201.88, 58.09, 33.03, 109.66, 116.52, 108.3, 84.83]","[0.54, 0.15, -0.31, 0.03, 0.13, 0.03, -0.01]",[9840],9840,['LQD'],[9840],
2016-06-30,"['SPY', 'EFA', 'EEM', 'AGG', 'LQD', 'IEF', 'SHY']","[209.48, 55.82, 34.36, 112.62, 122.74, 112.95, 85.32]","[203.06, 57.67, 33.08, 110.03, 117.29, 108.96, 84.88]","[0.14, -0.84, 0.46, 0.4, 0.68, 0.66, 0.11]",[10116],10116,['LQD'],[10116],
2016-07-29,"['SPY', 'EFA', 'EEM', 'AGG', 'LQD', 'IEF', 'SHY']","[217.12, 58.04, 36.21, 113.02, 123.99, 113.07, 85.23]","[205.61, 57.74, 33.43, 110.38, 118.08, 109.48, 84.91]","[0.92, 0.44, 1.21, 0.22, 0.48, 0.25, 0.01]",[10219],10219,['EEM'],[10219],
2016-08-31,"['SPY', 'EFA', 'EEM', 'AGG', 'LQD', 'IEF', 'SHY']","[217.38, 58.35, 36.53, 112.57, 123.89, 111.77, 84.98]","[206.55, 57.47, 33.59, 110.69, 118.82, 109.95, 84.92]","[0.5, 0.21, 1.01, 0.1, 0.37, 0.0, -0.03]",[10309],10309,['EEM'],[10309],
2016-09-30,"['SPY', 'EFA', 'EEM', 'AGG', 'LQD', 'IEF', 'SHY']","[216.3, 59.13, 37.45, 112.42, 123.18, 111.88, 85.04]","[207.31, 57.31, 33.94, 111.05, 119.55, 110.5, 84.97]","[0.3, 0.5, 0.99, 0.03, 0.07, 0.04, 0.0]",[10568],10568,['EEM'],[10568],
