Date,Symbol,Result Close,MMA_10,Total Momentum Score,End Balance,Balance,Restart Asset,Restart Balance,Restart Type,Safe Ratio
2015-12-31,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF', 'SHY']","[203.87, 111.86, 112.62, 49.88, 48.48, 32.19, 79.73, 101.46, 13.36, 80.58, 114.01, 120.58, 105.59, 84.36]","[205.22, 108.76, 118.87, 53.09, 49.82, 36.85, 78.51, 108.69, 16.04, 86.8, 116.95, 122.91, 106.75, 84.79]","[-0.05, 0.34, -0.78, -0.5, -0.04, -1.27, 0.38, -0.55, -1.97, -0.78, -0.35, -0.18, -0.16, -0.07]",[],10000,['SHY'],[10000],,1.0
2016-01-29,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF', 'SHY']","[193.72, 104.13, 102.96, 47.11, 46.0, 30.57, 76.99, 106.95, 12.78, 79.29, 114.15, 127.3, 109.11, 84.91]","[203.95, 108.61, 116.73, 52.38, 49.41, 35.9, 77.78, 108.02, 15.61, 85.67, 116.19, 122.57, 106.83, 84.79]","[-1.06, -1.26, -1.9, -1.46, -1.1, -1.66, -0.72, 0.47, -1.81, -0.8, -0.19, 0.82, 0.52, 0.08]",[10065],10065,['IEF'],[10065],,1.0
2016-02-29,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF', 'SHY']","[193.56, 102.5, 102.73, 45.59, 43.56, 30.32, 76.71, 118.64, 12.75, 80.08, 115.01, 130.98, 110.57, 84.96]","[202.46, 108.1, 114.89, 51.29, 48.62, 34.64, 77.51, 108.53, 15.06, 84.58, 115.7, 123.07, 107.13, 84.8]","[-0.42, -0.67, -0.96, -1.25, -1.44, -1.0, -0.19, 2.17, -1.11, -0.29, 0.0, 0.83, 0.43, 0.03]",[10199],10199,['IEF'],[10199],,1.0
2016-03-31,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF', 'SHY']","[205.52, 109.2, 110.63, 48.52, 45.64, 34.25, 83.8, 117.64, 13.29, 81.69, 118.82, 130.61, 110.34, 85.03]","[201.89, 108.01, 113.56, 50.47, 47.96, 33.95, 77.98, 108.89, 14.61, 83.66, 115.75, 123.86, 107.47, 84.82]","[0.91, 0.86, 0.77, 0.52, 0.25, 1.76, 1.52, 0.78, 0.02, 0.16, 0.6, 0.41, 0.23, 0.04]",[10177],10177,"['EEM', 'VNQ', 'SPY', 'QQQ', 'GLD']","[2035, 2035, 2035, 2035, 2035]",,0.0
2016-04-29,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF', 'SHY']","[206.33, 105.72, 112.48, 49.86, 45.68, 34.39, 81.83, 123.65, 14.58, 83.85, 120.33, 129.38, 110.0, 85.01]","[201.94, 107.88, 112.32, 50.06, 47.41, 33.43, 78.69, 110.02, 14.27, 83.16, 116.22, 125.06, 107.97, 84.83]","[0.28, -0.47, 0.45, 0.35, -0.28, 0.32, 0.05, 1.58, 1.44, 0.43, 0.44, 0.1, 0.07, 0.0]","[2043, 1987, 2043, 1970, 2138]",10181,"['GLD', 'DBC', 'IWM', 'LQD', 'HYG', 'LQD']","[1018, 1018, 1018, 1018, 1018, 5090]",,0.5
2016-05-31,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF', 'SHY']","[209.84, 110.34, 115.0, 49.61, 47.16, 33.12, 83.67, 116.06, 14.71, 83.61, 119.39, 130.16, 109.73, 84.86]","[201.88, 107.72, 111.53, 49.48, 46.95, 33.03, 79.16, 111.13, 14.17, 82.73, 116.52, 125.82, 108.3, 84.83]","[0.54, 0.77, 0.61, 0.1, 0.52, -0.31, 0.8, -0.53, 0.62, 0.08, 0.13, 0.24, 0.03, -0.01]","[955, 1027, 1040, 1010, 1015, 5050]",10097,"['VNQ', 'QQQ', 'DBC', 'IWM', 'SPY', 'LQD']","[1009, 1009, 1009, 1009, 1009, 5048]",,0.5
2016-06-30,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF', 'SHY']","[209.48, 107.54, 114.98, 46.66, 46.0, 34.36, 88.67, 126.47, 15.35, 84.7, 122.74, 138.9, 112.95, 85.32]","[203.06, 108.04, 111.5, 48.99, 46.7, 33.08, 80.62, 112.89, 14.14, 82.57, 117.29, 127.57, 108.96, 84.88]","[0.14, -0.44, 0.12, -1.13, -0.47, 0.46, 1.36, 2.0, 1.29, 0.36, 0.68, 1.54, 0.66, 0.11]","[1069, 983, 1052, 1008, 1007, 5189]",10308,"['GLD', 'TLT', 'VNQ', 'DBC', 'LQD', 'LQD']","[515, 515, 515, 515, 515, 7731]",,0.75
2016-07-29,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF', 'SHY']","[217.12, 115.23, 121.07, 48.28, 48.24, 36.21, 92.45, 128.98, 14.28, 85.41, 123.99, 141.56, 113.07, 85.23]","[205.61, 109.39, 112.69, 48.9, 46.96, 33.43, 82.31, 115.11, 14.05, 82.78, 118.08, 129.37, 109.48, 84.91]","[0.92, 1.46, 1.28, 0.21, 0.83, 1.21, 1.6, 1.05, -0.78, 0.29, 0.48, 0.99, 0.25, 0.01]","[525, 524, 536, 479, 520, 7809]",10393,"['VNQ', 'QQQ', 'IWM', 'EEM', 'GLD', 'LQD']","[1558, 1558, 1558, 1558, 1558, 2598]",,0.25
2016-08-31,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF', 'SHY']","[217.38, 116.44, 123.23, 48.61, 49.12, 36.53, 88.97, 124.78, 14.39, 86.7, 123.89, 139.87, 111.77, 84.98]","[206.55, 109.7, 113.48, 48.56, 46.94, 33.59, 83.22, 116.65, 13.97, 82.9, 118.82, 131.08, 109.95, 84.92]","[0.5, 0.74, 0.97, 0.07, 0.66, 1.01, 0.32, 0.16, 0.18, 0.51, 0.37, 0.45, 0.0, -0.03]","[1499, 1574, 1585, 1571, 1507, 2595]",10331,"['EEM', 'IWM', 'QQQ', 'EWJ', 'HYG']","[2066, 2066, 2066, 2066, 2066]",,0.0
2016-09-30,"['SPY', 'QQQ', 'IWM', 'VGK', 'EWJ', 'EEM', 'VNQ', 'GLD', 'DBC', 'HYG', 'LQD', 'TLT', 'IEF', 'SHY']","[216.3, 118.72, 124.21, 48.73, 50.16, 37.45, 86.74, 125.64, 15.01, 87.26, 123.18, 137.51, 111.88, 85.04]","[207.31, 110.17, 113.99, 48.29, 47.0, 33.94, 83.96, 119.03, 14.05, 83.32, 119.55, 132.68, 110.5, 84.97]","[0.3, 0.99, 0.81, 0.21, 0.91, 0.99, -0.17, 0.37, 0.68, 0.39, 0.07, -0.02, 0.04, 0.0]","[2118, 2082, 2106, 2109, 2079]",10494,"['QQQ', 'EEM', 'EWJ', 'IWM', 'DBC', 'LQD']","[1049, 1049, 1049, 1049, 1049, 5247]",,0.5
