,Date,Symbol,Adj Close,Close,Dividends,Result Close,Condition,MMA_10
0,2014-12-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[70.71, 84.83, 95.45, 113.58, 59.99, 53.02, 30.27]","[84.45, 105.99, 125.92, 113.58, 68.06, 62.25, 37.96]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[84.45, 105.99, 125.92, 113.58, 68.06, 62.25, 37.96]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.57, 104.05, 116.48, 119.81, 64.17, 59.3, 35.57]"
1,2015-01-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[71.16, 88.48, 104.82, 123.45, 59.57, 52.1, 30.1]","[84.98, 110.55, 138.28, 123.45, 67.59, 61.17, 37.67]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[84.98, 110.55, 138.28, 123.45, 67.59, 61.17, 37.67]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.62, 104.93, 119.4, 119.79, 64.9, 59.78, 35.93]"
2,2015-02-27,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[70.95, 86.29, 98.39, 116.16, 62.81, 55.24, 30.54]","[84.7, 107.64, 129.53, 116.16, 71.26, 64.85, 38.14]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[84.7, 107.64, 129.53, 116.16, 71.26, 64.85, 38.14]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.64, 105.46, 121.24, 118.99, 66.05, 60.59, 36.29]"
3,2015-03-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[71.13, 87.03, 99.46, 113.66, 62.15, 54.37, 30.44]","[84.88, 108.39, 130.69, 113.66, 70.3, 63.61, 37.93]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[84.88, 108.39, 130.69, 113.66, 70.3, 63.61, 37.93]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.66, 105.9, 122.9, 118.31, 66.86, 61.15, 36.59]"
4,2015-04-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[71.15, 86.48, 96.05, 113.47, 61.5, 54.46, 29.81]","[84.87, 107.53, 125.95, 113.47, 69.57, 63.72, 37.08]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[84.87, 107.53, 125.95, 113.47, 69.57, 63.72, 37.08]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.69, 106.3, 124.14, 116.86, 67.49, 61.7, 36.74]"
5,2015-05-29,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[71.18, 86.12, 93.78, 114.1, 63.57, 55.29, 30.09]","[84.87, 106.92, 122.71, 114.1, 71.91, 64.69, 37.35]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[84.87, 106.92, 122.71, 114.1, 71.91, 64.69, 37.35]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.73, 106.67, 125.01, 115.93, 68.43, 62.4, 37.06]"
6,2015-06-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[71.2, 84.71, 89.96, 112.37, 63.35, 54.27, 29.58]","[84.86, 105.01, 117.46, 112.37, 71.44, 63.2, 36.64]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[84.86, 105.01, 117.46, 112.37, 71.44, 63.2, 36.64]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.76, 106.69, 124.85, 114.78, 69.02, 62.69, 37.19]"
7,2015-07-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[71.23, 86.0, 94.05, 104.93, 65.76, 55.83, 30.85]","[84.86, 106.44, 122.53, 104.93, 74.15, 65.02, 38.14]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[84.86, 106.44, 122.53, 104.93, 74.15, 65.02, 38.14]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.79, 106.97, 125.48, 113.65, 69.95, 63.23, 37.51]"
8,2015-08-31,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[71.2, 86.07, 93.4, 108.82, 61.81, 52.81, 29.3]","[84.78, 106.36, 121.42, 108.82, 69.7, 61.5, 36.16]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[84.78, 106.36, 121.42, 108.82, 69.7, 61.5, 36.16]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.8, 107.1, 125.7, 113.27, 70.28, 63.26, 37.47]"
9,2015-09-30,"['SHY', 'IEF', 'TLT', 'GLD', 'MTUM', 'QUAL', 'SPLV']","[71.41, 87.43, 95.24, 106.86, 60.64, 52.13, 29.2]","[84.99, 107.87, 123.54, 106.86, 68.21, 60.45, 35.96]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[84.99, 107.87, 123.54, 106.86, 68.21, 60.45, 35.96]","['Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends', 'Close + Dividends']","[84.82, 107.27, 125.8, 112.74, 70.22, 63.05, 37.3]"
