2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
CIG,VIR,EDN,NXPL,UMC,RDY,UAVS,VMAR
CEPU,SKLZ,TGS,XFOR,SNES,ABEV,IFRX,ERIC
LOMA,CEPU,DVLT,CHT,BLDP,CTRM,QSI,ARTW
TGS,SONY,TK,EDN,EDN,TNXP,SLN,MTN
CPAC,OPRA,AMWL,AEVA,CVAC,IZEA,OM,AZZ
SKLZ,WLKP,GEVO,CLLS,WHWK,SNOA,NUKK,PPIH
TKC,METC,STRR,CODX,MGNX,IPDN,CHT,DAL
UGP,GGB,LOMA,GMAB,DVLT,ERIC,CSCI,ZDGE
ESEA,GPRK,CHT,SNES,TNXP,AMWL,AUTL,PLAB
KEP,BIO,SKLZ,EVGN,CRON,SONY,MGNX,JILL
IZEA,MTDR,WHWK,DVLT,SNOA,PERI,YCBD,DDS
PAGS,ITRN,CODX,STNE,IZEA,LOMA,CODX,VIST
KT,GENC,VERB,RVP,CSCI,GHC,NVAX,DOOO
GSM,CENX,TEO,TK,PAVM,OPFI,RVP,THO
CCU,HVT,INM,RKDA,STNE,STRR,VNDA,BBW
AFYA,CCEC,TCOM,GEVO,AMWL,FLWS,CLLS,TOL
SKM,,STNE,VERB,QSI,CNVS,TNXP,UAL
HHS,,RKDA,QSI,API,TRVG,MED,GBX
FPAY,,FTFT,SKLZ,OMEX,ACB,CETX,CATO
CMCL,,SGRP,WHWK,CHT,AYTU,PAVM,IIIN
