2022,2023,2024
ABBV,ALC,AHCO
ACHC,ALKS,ALC
AMS,AM,AM
APLE,APPF,AMD
AR,AXTA,APEI
ARLP,BLKB,ATR
BLDR,BNL,AVY
BRY,CAAP,AWX
CAAP,CHX,AXTA
CDW,CNK,BKR
CF,CRNT,BR
CIVI,CTAS,BUD
CMBT,DAIO,CCCS
CME,DAY,CCK
CMT,DORM,CCLD
CNQ,EHC,CHEF
CNR,EPC,CNMD
COKE,ESOA,DASH
CTRA,EXTR,DLX
CVX,FICO,EFX
DINO,GWW,FDP
ENPH,HSTM,FEIM
EQNR,ICLR,FIS
FWRD,IESC,FLO
GEF,IMAX,FSM
HCC,INGR,FSV
HP,INVX,GIFI
HSII,ITGR,GRC
HSON,JBSS,HALO
HUBB,JELD,HMY
ICLR,KGC,HSTM
INSE,KHC,INOD
JBGS,LANC,IPAR
KEX,LECO,ITGR
KEYS,LMB,JAZZ
LAND,MATW,LRN
LCII,MCO,MGNI
MAN,MCS,MHK
MGY,MITK,MMS
MOS,MLM,MORN
MUR,MORN,NBIX
NGVC,MTW,NEM
NICE,NEU,NGS
NOVT,NPKI,NVMI
NVR,ODC,NXST
OVV,OIS,OMC
PATK,OPCH,OR
PERI,OTIS,OSW
PLAB,PANW,OTEX
PTEN,PCRX,OUT
RHI,PCTY,PFE
RNGR,PEG,PG
RYI,PEN,PODD
SAIA,PFGC,RSG
SCHL,RMR,RSI
SHEL,RNGR,SLB
SHOO,RYN,SPNS
SLB,SLB,SPXC
STRL,SPNS,SSNC
SUP,STRA,TAP
TBI,SYY,TGNA
TECH,TIMB,TIMB
TFII,TNK,TRAK
TGNA,TRAK,TSM
TH,TS,TT
UAN,TT,TTEK
ULH,TTI,UTHR
VLO,VIV,WAB
XOM,VMC,WINA
ACA,XYZ,ADP
ADM,ZTS,AGS
AIV,AAON,AMED
AMKR,ACCS,AMPH
AMPH,ADBE,AMZN
AMPY,ADM,ARTW
APA,ADNT,ASC
ARCB,ADP,ASM
ATKR,AER,ASYS
AVB,AGCO,AU
AVD,AGS,AVNT
AVNS,AIT,AVO
BBSI,ALK,AWI
BCO,AMZN,AZEK
BLD,ANIP,B
BSM,AOS,BALL
BWA,APG,BCO
CBZ,APTV,BCPC
CCCS,AVGO,BRFS
CCJ,AWI,BWIN
CCLD,AWK,CAKE
CCRD,B,CAMT
CHT,BALL,CARS
CLH,BBCP,CCRD
CMPO,BBU,CGAU
COOT,BG,CHH
COP,BLMN,CLX
COST,BOOM,CMCSA
CPA,BRBR,CMG
CPRT,BSX,CMPR
CRK,CALM,COST
CTSH,CCEP,CPK
CVE,CCRN,CRAI
CVI,CIG,CRNT
CX,CMBT,CWK
DAL,CME,CXDO
DEI,CMG,DAY
DIOD,CMT,DCI
DIS,CNMD,DIS
DOX,CNR,DLHC
DVN,COLL,DORM
EEX,COST,EAT
EOG,COTY,ECL
EP,CPA,EFXT
EPSN,CPB,EHC
EQT,CROX,EIX
ESP,CVGI,EME
ETD,CWCO,ESCA
EXPE,CXT,ESOA
FDP,DAL,EVTC
FICO,DDOG,EXEL
FWONA,DGII,EZPW
FWONK,ECL,FDS
GLPI,EME,FFIV
GSL,ENPH,FICO
GTE,EPAC,FTI
GTN,EPM,GDRX
HEES,FAST,GHC
HES,FDS,GILT
HHH,FFIV,GLDD
HSTM,FLR,GNK
HUBG,FMS,GNRC
HURN,FN,GOGL
IART,FORTY,GTLS
ICL,FSS,GTN
IEP,FSTR,GVA
IIIN,FTI,HAS
IMO,FTS,HBM
INSW,GHC,HES
IR,GILT,HLX
IRT,GO,HOLX
KFRC,GRC,HRB
KNTK,GSL,HUBB
KNX,HEES,IBEX
LBRT,HPE,ICLR
LKQ,HSY,IDR
LRN,IBEX,IDT
LSCC,ICUI,IGT
LSTR,IDR,IMXI
LXU,IDT,INFU
MBUU,INFU,INGR
MCRI,INSW,INSG
MGPI,INTU,IPG
MLI,IR,JYNT
MO,IT,KEN
MOH,ITRI,KEP
MP,JBTM,KEX
MPX,JCI,KGC
MRK,KELYA,KGEI
MTN,KELYB,KMI
MYE,KEX,KRNT
NAT,KLXE,LAUR
NC,KMB,LCII
NJR,KOF,LLY
NOA,KOP,LPX
NOG,LAND,LXP
NOW,LIND,LYV
NVGS,LNN,MAPS
NXPI,LRN,MCRI
NXST,LSCC,MDLZ
OC,LWAY,MDRR
OLN,LYTS,MEC
ON,MAPS,MEDP
OTTR,MAYS,META
PAG,MDLZ,MKC
PARR,MKC,MKSI
