2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
CIG,SONY,EDN,EDN,KEP,KEP,KEP,ARTW
KT,CTRM,KEP,KEP,EDN,SONY,TGS,ERIC
TGS,OPRA,PHI,SONY,SONY,CLW,TEO,MTN
ESEA,GPRK,ASGN,PHI,PHI,TSM,LOMA,DAL
UGP,BIO,SMC,CIG,CIG,PRSU,PHI,GBX
LDWY,MTDR,CHT,CNDT,SBS,TTI,ASGN,UAL
AFYA,METC,SHEN,CHT,TSM,MTW,COMM,THO
GSM,CCEC,GGB,TSM,CHT,ABEV,UMC,TOL
ELLO,HVT,CIG,ESEA,SUZ,CPS,TSM,KBH
MGIC,ITRN,COKE,AMS,ELP,COKE,RAIL,HOV
NAT,MAT,THC,COKE,IIIV,GHC,EBS,VLGEA
SIMO,WLKP,BALL,COMM,IAG,VIV,BRFS,TTC
ORLA,FCFS,SGU,ESOA,BATL,ELP,ERIC,CUK
AVD,MSFT,CMBT,PSIX,AWX,KNOP,SGU,SNX
EAF,BRBR,TCOM,BRFS,GGB,CHCI,GSL,OMC
SUZ,USAC,CNDT,STNE,CNDT,GSL,AFYA,MU
SQNS,CNVS,PSIX,GGB,FSTR,ESEA,MVST,AMAT
ACNT,,WILC,EQX,STNE,RAIL,CCO,CCL
TSQ,,GSL,TIMB,UGP,WU,TIMB,IDT
,,PAM,AWX,BRFS,BRFS,ABEV,NVS
