,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
0,,SKLZ,ZEO,FOSL,TRVG,SBDS,YCBD,PRTS,DXLG
1,,,SKLZ,BFRI,SMSI,FOSL,FOSL,UONEK,BRID
2,,,CENN,ZVIA,BODI,LIVE,DLTH,VRA,MOV
3,,,MOGO,PRTS,PRTS,AMWL,VRA,GCO,NCNO
4,,,VRME,JOB,UONEK,BIRD,GOCO,GORV,SMTC
5,,,SGRP,UONEK,CATO,LCUT,SMSI,JOB,GEF
6,,,IZEA,BIRD,SBDS,JOB,VERB,YCBD,
7,,,DGLY,ZEO,UONE,RGP,APDN,EDUC,
8,,,PLAG,UONE,SPWH,VNCE,CETX,SPWH,
9,,,CMCL,GOCO,AWX,VRA,MOGO,TLF,
10,,,DWSN,AMWL,CNVS,BGSF,LCUT,MED,
11,,,ESEA,ISPC,MOGO,FET,AMWL,CHGG,
12,,,AGAE,BODI,FOSL,UONEK,UONE,QIPT,
13,,,FPAY,MOGO,SANG,CHGG,RMAX,TBI,
14,,,ICCC,CCLD,ISPC,HFFG,IPW,LCUT,
15,,,EDRY,WHWK,AMWL,MIND,LIVE,TLYS,
16,,,HHS,SCKT,CCLD,TBI,COSM,DXLG,
17,,,CLRO,PETS,BIRD,CATO,CVR,VNCE,
18,,,CRGO,SWAG,WHWK,EDUC,CSTE,HOFT,
19,,,CELU,GNLN,PETS,MED,HSON,ONEW,
20,,,LDWY,IDAI,MYPS,UONE,PRTS,GNLN,
21,,,KORE,FET,DHX,GPRO,DHX,BKYI,
22,,,SSTI,MVST,EDUC,RCKY,CENN,CATO,
23,,,CMBM,DOUG,WPRT,VERO,VNCE,DBI,
24,,,DFLI,NAOV,CENN,KTCC,MYPS,NXPL,
25,,,,SINT,SPRU,GCO,SANG,DCGO,
26,,,,VFF,MIND,NTWK,MED,UEIC,
27,,,,VEEE,SKLZ,VFF,NXPL,FOSL,
28,,,,SMSI,TLF,MX,TRUE,ZUMZ,
29,,,,RMAX,BSET,MASS,BGLC,UONE,
30,,,,LDWY,VERB,CTRN,UEIC,DLTH,
31,,,,KTCC,SCKT,AYTU,AYTU,RMAX,
32,,,,SLE,RPID,RMAX,SEER,CSTE,
33,,,,NCSM,CSCI,SCKT,FSP,GRWG,
34,,,,BGFV,SEER,MYPS,WPRT,HSON,
35,,,,BNGO,FET,CVGI,BGSF,EKSO,
36,,,,DHX,VNCE,BZFD,ARTW,WVVI,
37,,,,CODX,CHGG,FARM,TLF,SEER,
38,,,,JRSH,MSN,APDN,VFF,SPRU,
39,,,,HSON,CPIX,TRVG,VERO,DIT,
40,,,,WVVI,DLTH,SOL,DIT,HHS,
41,,,,TRVG,TDUP,DOUG,DLPN,AWX,
42,,,,AP,ARKR,DHX,UPLD,ARKR,
43,,,,PSNL,SNOA,TUSK,CVGI,VMAR,
44,,,,SND,FSP,TLYS,GPRO,MYPS,
45,,,,CPIX,CTEV,SANG,ORGN,DLHC,
46,,,,UPLD,VFF,ONL,GRWG,BOOM,
47,,,,LVLU,ZVIA,PXS,TBI,WPRT,
48,,,,MPAA,OTRK,RPID,BRID,BSET,
49,,,,FSI,WILC,BOOM,SLDP,DTST,
50,,,,TLF,SND,NAII,FARM,FRD,
51,,,,BOXL,MED,ATNI,CCLD,FSP,
52,,,,API,OCC,DIT,FORR,SCKT,
53,,,,SEER,NCSM,EKSO,NTWK,CETX,
54,,,,IZEA,ALTO,SPWH,AWX,BODI,
55,,,,MESA,GNLN,DBI,SOWG,BRLT,
56,,,,ATER,GRWG,SKIL,SES,ARTW,
57,,,,GEVO,CLRO,MPAA,SCKT,LIVE,
58,,,,UFI,VRME,ASYS,SRI,NOTV,
59,,,,TACT,NOTV,QIPT,ARKR,EDRY,
60,,,,ORGN,RFL,UFI,SWAG,SRI,
61,,,,LPSN,CODX,BSET,TUSK,PXS,
62,,,,MAGN,OM,AXTI,BSET,BIRD,
63,,,,XWEL,HFFG,OTRK,AIMD,WKSP,
64,,,,INGN,SKIL,BYON,BTBD,NHTC,
65,,,,TBRG,SLE,TACT,SPRU,GTIM,
66,,,,DAIO,IZEA,ARKR,BDL,OABI,
67,,,,GRWG,TBRG,GRWG,FTHM,CRWS,
68,,,,VERO,QSI,GOCO,RCKY,BRID,
69,,,,TOI,FRD,IZEA,NAII,VRME,
70,,,,HFFG,BGSF,ACB,TTEC,PPSI,
71,,,,OTRK,OPTT,IPA,CRWS,FTHM,
72,,,,SPRU,BNED,KVHI,STKS,CVR,
73,,,,ARKR,VRA,HHS,WVVI,DTI,
74,,,,CENN,SWAG,AOUT,SND,OSUR,
75,,,,IMPP,KVHI,DIBS,GGR,GPRO,
76,,,,FTHM,KTCC,ORGN,IZEA,DIBS,
77,,,,BDL,EXFY,VNDA,NOTV,QRHC,
78,,,,LTRX,MASS,RFL,BZFD,TRUE,
79,,,,ACCS,CLAR,MSN,BKYI,BRY,
80,,,,DIBS,NTWK,ANIK,SGC,TUSK,
81,,,,UAVS,FARM,STKS,PLL,RCKY,
82,,,,CSTE,MAGN,AMS,PBYI,MOGO,
83,,,,ALTO,AP,REI,UPXI,STKS,
84,,,,UEIC,JRSH,INGN,BODI,CVGI,
85,,,,MX,WKSP,SNOA,CLAR,CTRN,
86,,,,MTEX,HOFT,NCSM,TOON,DHX,
87,,,,MDRR,GOCO,SGA,FTEK,SGC,
88,,,,CRWS,MX,OPRX,MX,BDL,
89,,,,LODE,CVGI,DLTH,ACCS,AKA,
90,,,,OCC,UEIC,AKA,AMPY,SHIP,
91,,,,TKNO,MPAA,JRSH,VRME,VIRC,
92,,,,HYPR,UFI,DXLG,AGAE,HFFG,
93,,,,QSI,CVR,HOFT,CLRO,SGA,
94,,,,HOFT,HITI,UPLD,FLNT,SMRT,
95,,,,SSKN,PLL,SND,GTE,AMPY,
96,,,,EDRY,EVC,PBYI,CREX,NOTE,
97,,,,BGSF,RELI,NHTC,QIPT,MHH,
98,,,,VRME,LCUT,ESCA,PXS,MX,
99,,,,FRD,SNES,AP,DTI,LVLU,
100,,,,PRPL,IPDN,GASS,DOUG,VFF,
101,,,,FTEK,PED,CVEO,MTEX,SGRP,
102,,,,COSM,GTIM,CCLD,CNVS,BLIN,
103,,,,TDUP,GTE,III,LTRX,INGN,
104,,,,STRT,OPRX,WHWK,XFOR,FORR,
105,,,,BFLY,XOS,TTEC,MGNX,AXTI,
