,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
0,LVRO,NAT,CRTO,DOUG,CRTO,ALCO,DCBO,NVDA
1,VFS,SQNS,AGL,SCS,SNCY,MAMA,CWT,DY
2,SLI,CENX,TTI,UIS,ODC,POCI,XYZ,BURL
3,SKLZ,TCX,ICCC,INFU,NHTC,PLTR,IAG,COO
4,ASTL,INFA,ELF,AGL,MCK,LCII,HNI,TOL
5,SPHR,ICCC,ACU,PUMP,NVCR,BRAG,CNMD,LOW
6,CMBM,OPRA,BJRI,COTY,RAMP,PFE,IDR,BJ
7,CEPU,TKC,TTD,EVI,VITL,DJT,FOUR,AMAT
8,RILY,IZEA,NOV,CDE,CALM,LINK,CLGN,ULTA
9,TRIB,USAC,PFGC,LNTH,NTCT,IQST,FTI,HRL
10,,BRBR,EIX,BBU,IDCC,GLDD,RYAAY,NTAP
11,,CRGO,PSIX,RIG,AGYS,TSSI,NBIX,MDT
12,,KORE,SKY,SSKN,TTD,NGS,MLM,DKS
13,,CIG,FTDR,NOW,RYN,PRTS,ROAD,HPQ
14,,NVT,LWAY,MITK,Z,ANF,TTD,S
15,,TXG,YETI,RYN,ZG,TGS,SOTK,HD
16,,CBOE,RDVT,SLSN,PODD,MRK,EGO,SJM
17,,UGP,NE,ETR,INDV,PCTY,BGFV,DE
18,,DLO,AGYS,IZEA,LPG,MMS,QVCGA,GEF
19,,IDXX,GTLS,NEXT,BLDE,OLLI,PSIX,DG
20,,PLAG,GAIA,ESP,CIEN,CTLP,PLOW,MDB
21,,ALSN,WTTR,NCNO,MELI,VITL,WLFC,DXLG
22,,ARCO,AGI,ELP,CAKE,BURL,BLBD,OKTA
23,,CSIQ,JJSF,SMCI,SPXC,POWL,NTRP,MOV
24,,ITRN,BOOM,VMD,LMB,UPXI,ELF,NCNO
25,,SMID,LNG,DV,MGNI,HIMX,PLTR,CRWD
26,,SKM,COCO,ARMK,GBX,LULU,COOP,BRID
27,,SLI,YELP,SGBX,QRHC,COCO,GHC,WDAY
28,,AFYA,FF,FE,REVG,TBI,INTU,SMTC
29,,FCFS,INVE,RNGR,VLGEA,TTGT,ATS,
30,,RILY,WLFC,GIFI,QNST,SFM,IQST,
31,,MESA,USFD,XXII,LCUT,LPX,SMID,
32,,PAGS,POWL,CODX,OPRA,AJG,FSV,
33,,LPL,CDXS,GLDG,BG,PPC,GORO,
34,,LOMA,HAE,GAMB,MDLZ,PTC,LLY,
35,,AREC,TKC,EXPE,REAX,AFYA,STRL,
