,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1
0,SIM,CTRM,PKX,PKX,PKX,SIM,SIM
1,PAGS,,KSPI,KSPI,KSPI,RDY,WHWK
2,AGAE,,RDY,RDY,WIT,PAGS,PAGS
3,LDWY,,SBET,WIT,SIM,IMPP,IMPP
4,RIME,,SIM,SIM,RDY,LSEA,WILC
5,SGRP,,WILC,WILC,AEI,BZH,BZH
6,,,CTRM,CTRM,TORO,CRMT,TLF
7,,,SXTP,MIND,MIND,MIND,SGMA
8,,,NCSM,OPFI,WILC,TORO,CRON
9,,,GMAB,PAGS,PAGS,ACB,SIMO
10,,,PAGS,RKDA,INVE,NCSM,LGIH
11,,,SGRP,IMPP,OPFI,,
12,,,IMPP,SOL,IMPP,,
13,,,STRT,LSEA,NCSM,,
14,,,ORMP,STRT,CRON,,
15,,,GLPG,SKLZ,GMAB,,
16,,,TK,BZH,,,
17,,,SGMA,DSP,,,
18,,,RELL,,,,
