2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
KEP,RNW,KEP,KEP,KEP,KEP,KEP,FCEL
KT,CTRM,LPL,PKX,PKX,TEO,LPL,KSS
LPL,CPBI,KT,KT,KT,CRESY,SKM,CATO
SKM,MRIN,PKX,TEO,TEO,LOMA,TEO,SPWH
CCU,SPHR,SKM,EDN,CRESY,CMCT,CRESY,EDUC
TGS,LVRO,TEO,LOMA,SKM,TV,LOMA,ERIC
LOMA,SKLZ,CRESY,CCU,EDN,RNW,TGS,DLTH
CIG,PHIN,EDN,TGS,LOMA,RDY,DGLY,VRA
ZENV,ASTL,CCU,HMC,TGS,CTRM,CMCT,DXLG
SIM,TORO,LOMA,DVLT,CCU,EDBL,LGMK,GCO
AQB,CLCO,TGS,TAK,ONCO,BNED,ASGN,FL
HEPS,GENC,UAVS,TM,CMCT,SIM,VMAR,DBI
MESA,BVN,KSPI,CMCT,DVLT,GTN,PHI,HELE
SID,KGS,RNW,KSPI,MSPR,HYFM,HYFM,VMAR
PAGS,PETS,CMCT,RNW,TV,IPDN,UMC,VNCE
BRFS,MBC,FFAI,MSPR,KSPI,STRR,IQST,TLYS
UGP,METCB,MSPR,WIT,RNW,PAGS,NAOV,JCTC
CPAC,RVSN,RDY,RDY,WIT,SSP,SIM,BRID
SUZ,FTRE,ASGN,PHI,RDY,ELPC,VSTA,MOV
MYNZ,HSHP,FTFT,QXO,AQB,TORO,BLNE,TITN
