,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
0,SKM,CNVS,HEPS,HEPS,HEPS,HEPS,YCBD,BWMX,DXLG
1,CIG,HVT,BWMX,BWMX,BWMX,BWMX,HEPS,HSON,MOV
2,LOMA,CEPU,ATER,ZVIA,TRVG,FOSL,CETX,PRTS,BRID
3,KT,PETS,KT,ATER,PRTS,GCO,BWMX,NUS,DKS
4,HEPS,SKLZ,FOSL,TRVG,BODI,TRVG,FOSL,MED,DG
5,IDAI,OPRA,SKM,KARO,FOSL,NUS,DLTH,FOSL,BJ
6,CCU,LVRO,COKE,PRTS,NUS,SBDS,NUS,GCO,ULTA
7,CEPU,SONY,BODI,FOSL,SBS,GOCO,MED,CATO,MDB
8,UGP,MAT,ZVIA,BFRI,CVAC,VNCE,CHGG,YCBD,NVDA
9,TKC,METC,CCLD,GCO,SKM,MED,SKM,JOB,COO
10,RIME,FCFS,PRTS,ZEO,GCO,YCBD,HSON,SBDS,TOL
11,SKLZ,GPRK,AKA,BODI,ZVIA,AHCO,PDS,TLF,MDT
12,SGRP,ITRN,PDS,DOUG,DLTH,FLWS,KSS,DBI,HD
13,ESEA,SPHR,TRVG,NUS,VNCE,BNED,CCLD,QIPT,BURL
14,ZENV,GGB,LUXE,UNFI,UNFI,FARM,PRTS,AKA,DY
15,DLPN,GENC,ZEO,CCLD,MYPS,SCHL,SWAG,DXLG,LOW
16,FPAY,MTDR,TLF,CATO,MED,BGSF,TLF,CHGG,S
17,CPAC,RNW,NUS,KT,MIND,PDS,JOB,TBI,GEF
18,PAGS,CTRM,RDY,VNCE,PDS,TBI,GOCO,VNCE,OKTA
19,DWSN,BRBR,NCSM,MIND,CCLD,VLGEA,BGSF,MYPS,AMAT
20,SIM,BCRX,APEI,RDY,CATO,MIND,IPW,CETX,WDAY
21,AFYA,APPN,GAIA,TLF,UPXI,GIII,VRA,USNA,NTAP
22,BRFS,BIO,FRD,SBDS,TLF,IPDN,MYPS,PDS,HRL
23,VRME,IDXX,ISPC,DLTH,TBI,BSET,TIXT,ANGI,NCNO
24,MOGO,TXG,GOCO,ANGI,FARM,LCUT,KT,SWAG,SJM
25,GSM,HPP,TEO,MED,VRA,ORGO,USNA,DLTH,SMTC
26,TGS,DFLI,SGRP,BLIN,DHX,DHX,SPTN,ACHC,DE
27,SID,CRGO,CCU,SPTN,NCSM,ANGI,TBI,DIT,CRWD
28,HHS,QMCO,CETX,VLGEA,TIXT,MYPS,BKYI,CAL,HPQ
29,KORE,RILY,HSON,HSON,PRPO,SPTN,NTWK,OFIX,
30,KEP,NVT,RMAX,ISPC,LUXE,USNA,DHX,TEO,
31,IZEA,INFA,SLQT,PDS,SWAG,DLTH,M,KSS,
32,AVD,MSFT,OFIX,WOOF,RDY,UNFI,CCU,BSET,
33,LVRO,AMSC,SWAG,OFIX,BGFV,ERIC,AYTU,TCMD,
34,SIMO,HE,DOUG,SFIX,KT,IPW,QIPT,M,
35,LPL,ECVT,DTI,SWAG,DOUG,VRA,ZUMZ,IMKTA,
36,CMCL,ARAY,BGFV,AKA,SUNE,CCLD,ANGI,SGC,
37,SSTI,VIR,SANG,ZDGE,SPTN,OPRX,BSET,ZDGE,
38,MGIC,LUMN,IMKTA,DHX,HITI,RGP,VNCE,HHS,
39,SUZ,ASTL,NAOV,BSET,APEI,HVT,VERO,HVT,
40,UAVS,BVN,VIV,MYPS,ERIC,BODI,VLGEA,ERIC,
41,HIMX,CBOE,NTWK,TBI,KSS,QIPT,SANG,RDY,
42,ADSK,IMG,TBI,FPAY,BSET,MOV,HVT,BKYI,
43,ASTL,TRIB,ASGN,RMAX,BGSF,NCSM,ERIC,MYGN,
44,EDRY,AVDX,DHX,BIRD,CNVS,RDY,GIII,BRLT,
45,CSIQ,WLKP,TBRG,LUXE,USNA,SPWH,RMAX,HOUS,
46,CMBM,CMBM,MTEX,IMKTA,ZIM,AOUT,IMKTA,VLGEA,
47,ZEO,CENX,DIT,TEO,MTEX,DOUG,ZEUS,UNFI,
48,MYNZ,GP,SCKT,VVOS,TDUP,DIT,DIT,TDOC,
49,AGAE,USAC,EBS,HOUS,PETS,CRMT,TRUE,TRVG,
50,TRMB,SLI,ANGI,DIT,FPAY,IMKTA,FTHM,BODI,
51,ALSN,CCEC,ORGO,INGN,OFIX,RCKY,DOUG,LE,
52,SMID,VFS,MYPS,ERIC,SPWH,VERO,ODP,INGN,
53,ORLA,,VRME,NXPL,IMKTA,CTRN,NCSM,SGRP,
54,MESA,,WMK,JOB,ORGO,KSS,DLPN,OXM,
55,SPHR,,FLNT,VIV,EYE,WMK,PRPO,RMAX,
56,GRFS,,DWSN,ORGO,TDOC,APEI,BGFV,WOOF,
57,AQB,,PHI,QIPT,HOUS,DBI,LIVE,DNUT,
58,DLO,,BOXL,CTRN,RMAX,OFIX,MOV,SBH,
59,ARCO,,INGN,CRMT,ANGI,EYE,RCKY,FTHM,
60,SQNS,,VTOL,MTEX,GPRO,NTWK,KELYA,JOUT,
61,ICCC,,ANGO,TIXT,SYTA,TDOC,SGC,SMSI,
62,XBP,,XGN,APEI,WOOF,ZDGE,KELYB,TACT,
63,RILY,,CRMT,FTHM,SANG,DXLG,DTI,MHH,
64,ACNT,,SNCR,ZEUS,SNOA,HHS,RGP,UEIC,
65,REE,,HFFG,PETS,M,CHGG,FARM,KELYA,
66,MVST,,BGSF,TACT,LCUT,GPRO,GAIA,ARKR,
67,NAT,,FTHM,KSS,NATR,PBYI,ACHC,GIII,
68,TRIB,,KELYB,MHH,AYTU,BYON,INGN,PVH,
69,LDWY,,KELYA,TCMD,SGC,ZEUS,WOOF,KELYB,
70,TSQ,,SGC,BGFV,ZEUS,CATO,BIRD,TRUE,
71,EVLV,,RCKY,SCKT,LVLU,AKA,TDOC,SPTN,
72,XELB,,SRTS,LVLU,CPHC,BFRI,PVH,FORR,
73,HYLN,,TIXT,RGP,CPIX,CNVS,AKA,ARTW,
74,BVN,,OCC,WMK,ISPC,KELYB,UNFI,BARK,
75,CLRO,,PRDO,HVT,MGNX,KELYA,JOUT,ORGO,
76,ELLO,,DCGO,ARKR,EBS,AYTU,NATR,MOV,
77,ZVRA,,UAVS,BOXL,GNLN,M,TRVG,BGFV,
78,ADN,,EZPW,TGS,SSKN,JOB,GORV,UONEK,
79,CELU,,ABEV,TDOC,INGN,VRME,EYE,HBIO,
80,NTRP,,RGP,TBRG,WMK,ARKR,AMWL,LCUT,
81,PLAG,,TDOC,CPIX,GIII,TEO,TACT,UHS,
82,SOND,,CLOV,HITI,CCU,RMAX,ZDGE,OCC,
83,AREC,,LCUT,DXLG,DXLG,ACB,LCUT,VRA,
84,TCX,,QIPT,UONEK,DTI,UHS,CRMT,GAIA,
85,DGLY,,FLWS,SSKN,FTHM,ABEV,SCHL,NATR,
86,MAXN,,USNA,SNOA,UEIC,PVH,PHI,VRME,
87,CENN,,JOB,CHGG,HVT,ACHC,RGNX,LIVE,
88,CLIR,,FPAY,USNA,UONEK,SANG,SLQT,SPWH,
89,SMC,,MHH,CCRN,JRSH,LIVE,MYGN,HITI,
90,SLI,,FARM,DCGO,CRMT,LUXE,VRME,DIBS,
91,SBET,,CPIX,UONE,PBYI,BIRD,SBH,PBYI,
92,EAF,,UEIC,GIII,NTWK,UONEK,EBS,HFFG,
93,LZM,,JOUT,LND,VRAR,GAIA,BDL,WMK,
94,PSNY,,SCHL,HFFG,RGP,HFFG,SMSI,RCKY,
95,VFS,,MED,GAIA,UPLD,SCKT,FLWS,DTI,
96,,,TGS,FLWS,TCMD,SBH,BRLT,ODP,
97,,,CCRN,SKIL,PVH,HOUS,TEO,ZUMZ,
98,,,RELL,JOUT,ZDGE,UONE,UEIC,LOVE,
99,,,BDL,HZO,PHI,WOOF,ABEV,VTOL,
100,,,WEYS,NEXN,UONE,EZPW,HOUS,GPRO,
101,,,HOUS,M,CCRN,BGFV,APEI,PHI,
102,,,GTE,VRME,TBRG,VTOL,NXPL,MAPS,
103,,,UHS,EZPW,KELYB,HBB,XTNT,SSTK,
104,,,UA,CSTL,GAIA,FORR,DNUT,CRTO,
