total,url,exchangeId,instrumentType,symbolTicker,symbolExchangeTicker,normalizedTicker,symbolEsignalTicker,instrumentName,micCode
6703,https://www.nyse.com/quote/XNYS:A,558,COMMON_STOCK,A,A,A,A,AGILENT TECHNOLOGIES INC,XNYS
6703,https://www.nyse.com/quote/XNYS:AA,558,COMMON_STOCK,AA,AA,AA,AA,ALCOA CORPORATION,XNYS
6703,https://www.nyse.com/quote/XNMS:AACB,564,COMMON_STOCK,AACB,AACB,AACB,AACB,ARTIUS II ACQUISITION INC,XNMS
6703,https://www.nyse.com/quote/XNMS:AACBU,564,UNIT,AACBU,AACBU,AACBU,AACBU,ARTIUS II ACQUISITION INC UNIT 1 COM & RT (27/11/2029),XNMS
6703,https://www.nyse.com/quote/XNCM:AACG,564,DEPOSITORY_RECEIPT,AACG,AACG,AACG,AACG,ATA CREATIVITY GLOBAL SPON ADS EACH REP 2 ORD SHS,XNCM
6703,https://www.nyse.com/quote/XNMS:AACIU,564,UNIT,AACIU,AACIU,AACIU,AACIU,ARMADA ACQUISITION CORP II UNIT 1 ORD CL A & 1/2 WT (21/05/2030),XNMS
6703,https://www.nyse.com/quote/XNYS:AACT,558,COMMON_STOCK,AACT,AACT,AACT,AACT,ARES ACQUISITION CORPORATION II,XNYS
6703,https://www.nyse.com/quote/XNYS:AACT.U,558,UNIT,AACT.UN,AACT.U,AACT.U,AACT.U,ARES ACQUISITION CORPORATION II UNIT 1 CL A & 1/2 WT,XNYS
6703,https://www.nyse.com/quote/XNGS:AAL,564,COMMON_STOCK,AAL,AAL,AAL,AAL,AMERICAN AIRLINES GROUP INC,XNGS
6703,https://www.nyse.com/quote/XNYS:AAM,558,COMMON_STOCK,AAM,AAM,AAM,AAM,AA MISSION ACQUISITION CORP.,XNYS
6703,https://www.nyse.com/quote/XNYS:AAM.U,558,UNIT,AAM.UN,AAM.U,AAM.U,AAM.U,AA MISSION ACQUISITION CORP. UNITS(1 ORD A & 1/2 WT),XNYS
6703,https://www.nyse.com/quote/XNMS:AAME,564,COMMON_STOCK,AAME,AAME,AAME,AAME,ATLANTIC AMERICAN CORP,XNMS
6703,https://www.nyse.com/quote/XNYS:AAMI,558,COMMON_STOCK,AAMI,AAMI,AAMI,AAMI,ACADIAN ASSET MANAGEMENT INC,XNYS
6703,https://www.nyse.com/quote/XNMS:AAOI,564,COMMON_STOCK,AAOI,AAOI,AAOI,AAOI,APPLIED OPTOELECTRONICS INC,XNMS
6703,https://www.nyse.com/quote/XNGS:AAON,564,COMMON_STOCK,AAON,AAON,AAON,AAON,AAON INC,XNGS
6703,https://www.nyse.com/quote/XNYS:AAP,558,COMMON_STOCK,AAP,AAP,AAP,AAP,ADVANCE AUTO PARTS INC,XNYS
6703,https://www.nyse.com/quote/XNMS:AAPG,564,DEPOSITORY_RECEIPT,AAPG,AAPG,AAPG,AAPG,ASCENTAGE PHARMA GROUP INTL SPON ADS EACH REP 4 ORD SHS,XNMS
6703,https://www.nyse.com/quote/XNGS:AAPL,564,COMMON_STOCK,AAPL,AAPL,AAPL,AAPL,APPLE INC,XNGS
6703,https://www.nyse.com/quote/XNGS:AARD,564,COMMON_STOCK,AARD,AARD,AARD,AARD,AARDVARK THERAPEUTICS INC,XNGS
6703,https://www.nyse.com/quote/XNYS:AAT,558,REIT,AAT,AAT,AAT,AAT,AMERICAN ASSETS TRUST INC,XNYS
6703,https://www.nyse.com/quote/XNYS:AB,558,LIMITED_PARTNERSHIP,AB,AB,AB,AB,ALLIANCEBERNSTEIN HOLDING LP,XNYS
6703,https://www.nyse.com/quote/XNCM:ABAT,564,COMMON_STOCK,ABAT,ABAT,ABAT,ABAT,AMERICAN BATTERY TECHNOLOGY CO,XNCM
6703,https://www.nyse.com/quote/XNYS:ABBV,558,COMMON_STOCK,ABBV,ABBV,ABBV,ABBV,ABBVIE INC,XNYS
6703,https://www.nyse.com/quote/XNYS:ABCB,558,COMMON_STOCK,ABCB,ABCB,ABCB,ABCB,AMERIS BANCORP,XNYS
6703,https://www.nyse.com/quote/XNGS:ABCL,564,COMMON_STOCK,ABCL,ABCL,ABCL,ABCL,ABCELLERA BIOLOGICS INC,XNGS
6703,https://www.nyse.com/quote/XNCM:ABEO,564,COMMON_STOCK,ABEO,ABEO,ABEO,ABEO,ABEONA THERAPEUTICS INC,XNCM
6703,https://www.nyse.com/quote/XNYS:ABEV,558,DEPOSITORY_RECEIPT,ABEV,ABEV,ABEV,ABEV,AMBEV SA SPON ADR EACH REP 1 ORD SHS,XNYS
6703,https://www.nyse.com/quote/XNYS:ABG,558,COMMON_STOCK,ABG,ABG,ABG,ABG,ASBURY AUTOMOTIVE GROUP INC,XNYS
6703,https://www.nyse.com/quote/XNCM:ABL,564,COMMON_STOCK,ABL,ABL,ABL,ABL,ABACUS GLOBAL MANAGEMENT INC,XNCM
6703,https://www.nyse.com/quote/XNMS:ABLLL,564,PREFERRED_STOCK,ABLLL,ABLLL,ABLLL,ABLLL,ABACUS GLOBAL MANAGEMENT INC 9.875% SENIOR NOTES 15/11/2028 USD25,XNMS
6703,https://www.nyse.com/quote/XNCM:ABLV,564,COMMON_STOCK,ABLV,ABLV,ABLV,ABLV,ABLE VIEW GLOBAL INC,XNCM
6703,https://www.nyse.com/quote/XNYS:ABM,558,COMMON_STOCK,ABM,ABM,ABM,ABM,ABM INDUSTRIES INC,XNYS
6703,https://www.nyse.com/quote/XNGS:ABNB,564,COMMON_STOCK,ABNB,ABNB,ABNB,ABNB,AIRBNB INC,XNGS
