total,url,normalizedTicker,instrumentName,symbolExchangeTicker,exchangeId,instrumentType,symbolTicker,symbolEsignalTicker,micCode
6776,https://www.nyse.com/quote/XNYS:A,A,AGILENT TECHNOLOGIES INC,A,,,,,
6776,https://www.nyse.com/quote/XNYS:AA,AA,ALCOA CORPORATION,AA,,,,,
6776,https://www.nyse.com/quote/XNMS:AACB,AACB,ARTIUS II ACQUISITION INC,AACB,,,,,
6776,https://www.nyse.com/quote/XNMS:AACBU,AACBU,ARTIUS II ACQUISITION INC UNIT 1 COM & RT (27/11/2029),AACBU,,,,,
6776,https://www.nyse.com/quote/XNCM:AACG,AACG,ATA CREATIVITY GLOBAL SPON ADS EACH REP 2 ORD SHS,AACG,,,,,
6776,https://www.nyse.com/quote/XNMS:AACI,AACI,ARMADA ACQUISITION CORP II,AACI,,,,,
6776,https://www.nyse.com/quote/XNMS:AACIU,AACIU,ARMADA ACQUISITION CORP II UNIT 1 ORD CL A & 1/2 WT (21/05/2030),AACIU,,,,,
6776,https://www.nyse.com/quote/XNYS:AACT,AACT,ARES ACQUISITION CORPORATION II,AACT,,,,,
6776,https://www.nyse.com/quote/XNYS:AACT.U,AACT.U,ARES ACQUISITION CORPORATION II UNIT 1 CL A & 1/2 WT,AACT.U,,,,,
6776,https://www.nyse.com/quote/XNGS:AAL,AAL,AMERICAN AIRLINES GROUP INC,AAL,,,,,
6776,https://www.nyse.com/quote/XNYS:AAM,AAM,AA MISSION ACQUISITION CORP.,AAM,,,,,
6776,https://www.nyse.com/quote/XNMS:AAME,AAME,ATLANTIC AMERICAN CORP,AAME,,,,,
6776,https://www.nyse.com/quote/XNYS:AAMI,AAMI,ACADIAN ASSET MANAGEMENT INC,AAMI,,,,,
6776,https://www.nyse.com/quote/XNYS:AAM.U,AAM.U,AA MISSION ACQUISITION CORP. UNITS(1 ORD A & 1/2 WT),AAM.U,,,,,
6776,https://www.nyse.com/quote/XNMS:AAOI,AAOI,APPLIED OPTOELECTRONICS INC,AAOI,,,,,
6776,https://www.nyse.com/quote/XNGS:AAON,AAON,AAON INC,AAON,,,,,
6776,https://www.nyse.com/quote/XNYS:AAP,AAP,ADVANCE AUTO PARTS INC,AAP,,,,,
6776,https://www.nyse.com/quote/XNMS:AAPG,AAPG,ASCENTAGE PHARMA GROUP INTL SPON ADS EACH REP 4 ORD SHS,AAPG,,,,,
6776,https://www.nyse.com/quote/XNGS:AAPL,AAPL,APPLE INC,AAPL,,,,,
6776,https://www.nyse.com/quote/XNGS:AARD,AARD,AARDVARK THERAPEUTICS INC,AARD,,,,,
6776,https://www.nyse.com/quote/XNYS:AAT,AAT,AMERICAN ASSETS TRUST INC,AAT,,,,,
6776,https://www.nyse.com/quote/XNYS:AAUC,AAUC,ALLIED GOLD CORP,AAUC,,,,,
6776,https://www.nyse.com/quote/XNYS:AB,AB,ALLIANCEBERNSTEIN HOLDING LP,AB,,,,,
6776,https://www.nyse.com/quote/XNCM:ABAT,ABAT,AMERICAN BATTERY TECHNOLOGY CO,ABAT,,,,,
6776,https://www.nyse.com/quote/XNYS:ABBV,ABBV,ABBVIE INC,ABBV,,,,,
6776,https://www.nyse.com/quote/XNYS:ABCB,ABCB,AMERIS BANCORP,ABCB,,,,,
6776,https://www.nyse.com/quote/XNGS:ABCL,ABCL,ABCELLERA BIOLOGICS INC,ABCL,,,,,
6776,https://www.nyse.com/quote/XNCM:ABEO,ABEO,ABEONA THERAPEUTICS INC,ABEO,,,,,
6776,https://www.nyse.com/quote/XNYS:ABEV,ABEV,AMBEV SA SPON ADR EACH REP 1 ORD SHS,ABEV,,,,,
6776,https://www.nyse.com/quote/XNYS:ABG,ABG,ASBURY AUTOMOTIVE GROUP INC,ABG,,,,,
6776,https://www.nyse.com/quote/XNCM:ABL,ABL,ABACUS GLOBAL MANAGEMENT INC,ABL,,,,,
6776,https://www.nyse.com/quote/XNMS:ABLLL,ABLLL,ABACUS GLOBAL MANAGEMENT INC 9.875% SENIOR NOTES 15/11/2028 USD25,ABLLL,,,,,
6776,https://www.nyse.com/quote/XNCM:ABLV,ABLV,ABLE VIEW GLOBAL INC,ABLV,,,,,
6776,https://www.nyse.com/quote/XNYS:ABM,ABM,ABM INDUSTRIES INC,ABM,,,,,
6776,https://www.nyse.com/quote/XNGS:ABNB,ABNB,AIRBNB INC,ABNB,,,,,
6776,https://www.nyse.com/quote/XNGS:ABOS,ABOS,ACUMEN PHARMACEUTICALS INC,ABOS,,,,,
6776,https://www.nyse.com/quote/XNMS:ABP,ABP,ABPRO HOLDINGS INC,ABP,,,,,
6776,https://www.nyse.com/quote/XNYS:ABR,ABR,ARBOR REALTY TRUST INC,ABR,,,,,
6776,https://www.nyse.com/quote/XNYS:ABRpD,ABRpD,ARBOR REALTY TRUST INC 6.375% SERIES D CUMULATIVE RED PFD STK,ABRpD,,,,,
6776,https://www.nyse.com/quote/XNYS:ABRpE,ABRpE,ARBOR REALTY TRUST INC SER E CUM RED PFD SHS,ABRpE,,,,,
6776,https://www.nyse.com/quote/XNYS:ABRpF,ABRpF,ARBOR REALTY TRUST INC 6.25% SER F FXD/FLTG RATE CUMULATIVE PFD,ABRpF,,,,,
6776,https://www.nyse.com/quote/XNGS:ABSI,ABSI,ABSCI CORP,ABSI,,,,,
6776,https://www.nyse.com/quote/XNYS:ABT,ABT,ABBOTT LABORATORIES,ABT,,,,,
6776,https://www.nyse.com/quote/XNCM:ABTS,ABTS,ABITS GROUP INC,ABTS,,,,,
6776,https://www.nyse.com/quote/XNGS:ABUS,ABUS,ARBUTUS BIOPHARMA CORP,ABUS,,,,,
6776,https://www.nyse.com/quote/XNCM:ABVC,ABVC,ABVC BIOPHARMA INC,ABVC,,,,,
6776,https://www.nyse.com/quote/XNMS:ABVE,ABVE,ABOVE FOOD INGREDIENTS INC,ABVE,,,,,
6776,https://www.nyse.com/quote/XNMS:ABVX,ABVX,ABIVAX SPON ADS EACH REP 1 ORD SHS,ABVX,,,,,
6776,https://www.nyse.com/quote/XNYS:AC,AC,ASSOCIATED CAP GROUP INC,AC,,,,,
6776,https://www.nyse.com/quote/XNYS:ACA,ACA,ARCOSA INC,ACA,,,,,
6776,https://www.nyse.com/quote/XNGS:ACAD,ACAD,ACADIA PHARMACEUTICALS INC,ACAD,,,,,
6776,https://www.nyse.com/quote/XNCM:ACB,ACB,AURORA CANNABIS INC,ACB,,,,,
6776,https://www.nyse.com/quote/XNYS:ACCO,ACCO,ACCO BRANDS CORPORATION,ACCO,,,,,
6776,https://www.nyse.com/quote/XASE:ACCS,ACCS,ACCESS NEWSWIRE INC,ACCS,,,,,
6776,https://www.nyse.com/quote/XNGS:ACDC,ACDC,PROFRAC HOLDING CORP,ACDC,,,,,
6776,https://www.nyse.com/quote/XNYS:ACEL,ACEL,ACCEL ENTERTAINMENT INC,ACEL,,,,,
6776,https://www.nyse.com/quote/XNMS:ACET,ACET,ADICET BIO INC,ACET,,,,,
6776,https://www.nyse.com/quote/XNCM:ACFN,ACFN,ACORN ENERGY INC,ACFN,,,,,
6776,https://www.nyse.com/quote/XNGS:ACGL,ACGL,ARCH CAPITAL GROUP,ACGL,,,,,
6776,https://www.nyse.com/quote/XNGS:ACGLN,ACGLN,ARCH CAPITAL GROUP DEP SHS EACH REP 1/1000TH NCUM PFD SER G,ACGLN,,,,,
6776,https://www.nyse.com/quote/XNGS:ACGLO,ACGLO,ARCH CAPITAL GROUP 5.45% NON CUM DEP REP 1/1000 PFD SER F,ACGLO,,,,,
6776,https://www.nyse.com/quote/XNGS:ACHC,ACHC,ACADIA HEALTHCARE,ACHC,,,,,
6776,https://www.nyse.com/quote/XNYS:ACHR,ACHR,ARCHER AVIATION INC,ACHR,,,,,
6776,https://www.nyse.com/quote/XNCM:ACHV,ACHV,ACHIEVE LIFE SCIENCE INC,ACHV,,,,,
6776,https://www.nyse.com/quote/XNYS:ACI,ACI,ALBERTSONS COMPANIES INC,ACI,,,,,
6776,https://www.nyse.com/quote/XNCM:ACIC,ACIC,AMERICAN COASTAL INSURANCE CORP,ACIC,,,,,
6776,https://www.nyse.com/quote/XNMS:ACIU,ACIU,AC IMMUNE SA,ACIU,,,,,
6776,https://www.nyse.com/quote/XNGS:ACIW,ACIW,ACI WORLDWIDE INC,ACIW,,,,,
6776,https://www.nyse.com/quote/XNGS:ACLS,ACLS,AXCELIS TECHNOLOGIES INC,ACLS,,,,,
6776,https://www.nyse.com/quote/XNGS:ACLX,ACLX,ARCELLX INC,ACLX,,,,,
6776,https://www.nyse.com/quote/XNYS:ACM,ACM,AECOM,ACM,,,,,
6776,https://www.nyse.com/quote/XNMS:ACMR,ACMR,ACM RESEARCH INC,ACMR,,,,,
6776,https://www.nyse.com/quote/XNYS:ACN,ACN,ACCENTURE PLC,ACN,,,,,
6776,https://www.nyse.com/quote/XNCM:ACNB,ACNB,ACNB CORP,ACNB,,,,,
6776,https://www.nyse.com/quote/XNMS:ACNT,ACNT,ASCENT INDUSTRIES CO,ACNT,,,,,
6776,https://www.nyse.com/quote/XNCM:ACOG,ACOG,ALPHA COGNITION INC,ACOG,,,,,
6776,https://www.nyse.com/quote/XNCM:ACON,ACON,ACLARION INC,ACON,,,,,
6776,https://www.nyse.com/quote/XNYS:ACP,ACP,ABRDN INCOME CREDIT STRATEGIES FUND,ACP,,,,,
6776,https://www.nyse.com/quote/XNYS:ACPpA,ACPpA,ABRDN INCOME CREDIT STRATEGIES FUND 5.250% CUM PERPETUAL PFD STOCK SER A,ACPpA,,,,,
6776,https://www.nyse.com/quote/XNYS:ACR,ACR,ACRES COMMERCIAL REALTY CORP,ACR,,,,,
6776,https://www.nyse.com/quote/XNYS:ACRE,ACRE,ARES COMMERCIAL REAL ESTATE,ACRE,,,,,
6776,https://www.nyse.com/quote/XNYS:ACRpC,ACRpC,ACRES COMMERCIAL REALTY CORP 8.625% CUM RED FXD TO FLOATING PRF SER C,ACRpC,,,,,
6776,https://www.nyse.com/quote/XNYS:ACRpD,ACRpD,ACRES COMMERCIAL REALTY CORP 7.875% CUM RED PREF SER D,ACRpD,,,,,
6776,https://www.nyse.com/quote/XNGS:ACRS,ACRS,ACLARIS THERAPEUTICS INC,ACRS,,,,,
6776,https://www.nyse.com/quote/XNMS:ACRV,ACRV,ACRIVON THERAPEUTICS INC,ACRV,,,,,
6776,https://www.nyse.com/quote/XNGS:ACT,ACT,ENACT HLDGS INC,ACT,,,,,
6776,https://www.nyse.com/quote/XNGS:ACTG,ACTG,ACACIA RESEARCH CORP,ACTG,,,,,
6776,https://www.nyse.com/quote/XNMS:ACTU,ACTU,ACTUATE THERAPEUTICS INC,ACTU,,,,,
6776,https://www.nyse.com/quote/XASE:ACU,ACU,ACME UNITED CORP,ACU,,,,,
6776,https://www.nyse.com/quote/XNYS:ACV,ACV,VIRTUS DIVERSIFIED INCOME & CONVERT,ACV,,,,,
6776,https://www.nyse.com/quote/XNYS:ACVA,ACVA,ACV AUCTIONS INC,ACVA,,,,,
6776,https://www.nyse.com/quote/XNCM:ACXP,ACXP,ACURX PHARMACEUTICALS INC,ACXP,,,,,
6776,https://www.nyse.com/quote/XNYS:AD,AD,ARRAY DIGITAL INFRASTRUCTURE I,AD,,,,,
6776,https://www.nyse.com/quote/XNMS:ADAG,ADAG,ADAGENE INC SPON ADS EACH REP 1.25 ORD SHS,ADAG,,,,,
6776,https://www.nyse.com/quote/XNCM:ADAP,ADAP,ADAPTIMMUNE THERAPEUTICS PLC SPON ADS EACH REP 6 ORD SHS,ADAP,,,,,
6776,https://www.nyse.com/quote/XNGS:ADBE,ADBE,ADOBE INC,ADBE,,,,,
6776,https://www.nyse.com/quote/XNYS:ADC,ADC,AGREE REALTY CORP,ADC,,,,,
6776,https://www.nyse.com/quote/XNYS:ADCpA,ADCpA,AGREE REALTY CORP DEP SHS EA REP 1/1000 CUM PFD STK SR A,ADCpA,,,,,
6776,https://www.nyse.com/quote/XNYS:ADCT,ADCT,ADC THERAPEUTICS SA,ADCT,,,,,
6776,https://www.nyse.com/quote/XNCM:ADD,ADD,COLOR STAR TECHNOLOGY CO LTD,ADD,,,,,
6776,https://www.nyse.com/quote/XNGS:ADEA,ADEA,ADEIA INC,ADEA,,,,,
6776,https://www.nyse.com/quote/XNCM:ADGM,ADGM,ADAGIO MEDICAL HOLDINGS INC,ADGM,,,,,
6776,https://www.nyse.com/quote/XNGS:ADI,ADI,ANALOG DEVICES INC,ADI,,,,,
6776,https://www.nyse.com/quote/XNCM:ADIL,ADIL,ADIAL PHARMACEUTICALS INC,ADIL,,,,,
6776,https://www.nyse.com/quote/XNYS:ADM,ADM,ARCHER-DANIELS-MIDLAND CO,ADM,,,,,
6776,https://www.nyse.com/quote/XNMS:ADMA,ADMA,ADMA BIOLOGICS INC,ADMA,,,,,
6776,https://www.nyse.com/quote/XNCM:ADN,ADN,ADVENT TECHNOLOGIES HLDGS INC,ADN,,,,,
6776,https://www.nyse.com/quote/XNYS:ADNT,ADNT,ADIENT PLC,ADNT,,,,,
6776,https://www.nyse.com/quote/XNGS:ADP,ADP,AUTOMATIC DATA PROCESSING INC,ADP,,,,,
6776,https://www.nyse.com/quote/XNGS:ADPT,ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,ADPT,,,,,
6776,https://www.nyse.com/quote/XNCM:ADSE,ADSE,ADS TEC ENERGY PLC,ADSE,,,,,
6776,https://www.nyse.com/quote/XNGS:ADSK,ADSK,AUTODESK INC,ADSK,,,,,
6776,https://www.nyse.com/quote/XNYS:ADT,ADT,ADT INC,ADT,,,,,
6776,https://www.nyse.com/quote/XNGS:ADTN,ADTN,ADTRAN HOLDINGS INC,ADTN,,,,,
6776,https://www.nyse.com/quote/XNCM:ADTX,ADTX,ADITXT INC,ADTX,,,,,
6776,https://www.nyse.com/quote/XNCM:ADUR,ADUR,ADURO CLEAN TECHNOLOGIES INC,ADUR,,,,,
6776,https://www.nyse.com/quote/XNGS:ADUS,ADUS,ADDUS HOMECARE CORP,ADUS,,,,,
6776,https://www.nyse.com/quote/XNGS:ADV,ADV,ADVANTAGE SOLUTIONS INC,ADV,,,,,
6776,https://www.nyse.com/quote/XNCM:ADVB,ADVB,ADVANCED BIOMED INC,ADVB,,,,,
6776,https://www.nyse.com/quote/XNCM:ADVM,ADVM,ADVERUM BIOTECHNOLOGIES INC,ADVM,,,,,
6776,https://www.nyse.com/quote/XNYS:ADX,ADX,ADAMS DIVERSIFIED EQUITY FUND INC,ADX,,,,,
6776,https://www.nyse.com/quote/XNCM:ADXN,ADXN,ADDEX THERAPEUTICS LIMITED SPON ADS EACH REP 120 ORD SHS (PST SPT),ADXN,,,,,
6776,https://www.nyse.com/quote/XNGS:AEBI,AEBI,AEBI SCHMIDT HOLDING AG,AEBI,,,,,
6776,https://www.nyse.com/quote/XNYS:AEE,AEE,AMEREN CORP,AEE,,,,,
6776,https://www.nyse.com/quote/XASE:AEF,AEF,ABRDN EMERGING MARKETS EX-CHINA FUND INC,AEF,,,,,
6776,https://www.nyse.com/quote/XNYS:AEFC,AEFC,AEGON FUNDING COMPANY LLC 5.1% SUB NOTES DUE 15/12/2049 USD25,AEFC,,,,,
6776,https://www.nyse.com/quote/XNYS:AEG,AEG,AEGON LIMITED AMER REGD CERT(1 SH EUR0.12),AEG,,,,,
6776,https://www.nyse.com/quote/XNCM:AEHL,AEHL,ANTELOPE ENTERPRISE HOLDINGS LTD,AEHL,,,,,
6776,https://www.nyse.com/quote/XNCM:AEHR,AEHR,AEHR TEST SYSTEMS,AEHR,,,,,
6776,https://www.nyse.com/quote/XNCM:AEI,AEI,ALSET INC,AEI,,,,,
6776,https://www.nyse.com/quote/XNGS:AEIS,AEIS,ADVANCED ENERGY INDUSTRIES,AEIS,,,,,
6776,https://www.nyse.com/quote/XNYS:AEM,AEM,AGNICO EAGLE MINES LTD,AEM,,,,,
6776,https://www.nyse.com/quote/XNCM:AEMD,AEMD,AETHLON MEDICAL INC,AEMD,,,,,
6776,https://www.nyse.com/quote/XNCM:AENT,AENT,ALLIANCE ENTERTAINMENT HOLDING CORP,AENT,,,,,
6776,https://www.nyse.com/quote/XNYS:AEO,AEO,AMERICAN EAGLE OUTFITTERS INC,AEO,,,,,
6776,https://www.nyse.com/quote/XASE:AEON,AEON,AEON BIOPHARMA INC,AEON,,,,,
6776,https://www.nyse.com/quote/XNGS:AEP,AEP,AMERICAN ELECTRIC POWER CO INC,AEP,,,,,
6776,https://www.nyse.com/quote/XNYS:AER,AER,AERCAP HOLDINGS N.V.,AER,,,,,
6776,https://www.nyse.com/quote/XNCM:AERT,AERT,AERIES TECHNOLOGY INC,AERT,,,,,
6776,https://www.nyse.com/quote/XNYS:AES,AES,AES CORP,AES,,,,,
6776,https://www.nyse.com/quote/XNYS:AESI,AESI,ATLAS ENERGY SOLUTIONS INC,AESI,,,,,
6776,https://www.nyse.com/quote/XNGS:AEVA,AEVA,AEVA TECHNOLOGIES INC,AEVA,,,,,
6776,https://www.nyse.com/quote/XNCM:AEYE,AEYE,AUDIOEYE INC,AEYE,,,,,
6776,https://www.nyse.com/quote/XNYS:AFB,AFB,ALLIANCEBERNSTEIN NATL MUNI INC FD,AFB,,,,,
6776,https://www.nyse.com/quote/XNCM:AFBI,AFBI,AFFINITY BANCSHARE,AFBI,,,,,
6776,https://www.nyse.com/quote/XNMS:AFCG,AFCG,ADVANCED FLOWER CAPITAL INC,AFCG,,,,,
6776,https://www.nyse.com/quote/XNYS:AFG,AFG,AMERICAN FINANCIAL GROUP INC OHIO,AFG,,,,,
6776,https://www.nyse.com/quote/XNYS:AFGB,AFGB,AMERICAN FINANCIAL GROUP INC OHIO 5.875% SUBORD DEB DUE 30/03/2059 USD25,AFGB,,,,,
6776,https://www.nyse.com/quote/XNYS:AFGC,AFGC,AMERICAN FINANCIAL GROUP INC OHIO 5.125% SUBORD DEB DUE 15/12/2059 USD25,AFGC,,,,,
6776,https://www.nyse.com/quote/XNYS:AFGD,AFGD,AMERICAN FINANCIAL GROUP INC OHIO 5.625% SUBORDINATED DEB DUE 01/06/2060,AFGD,,,,,
6776,https://www.nyse.com/quote/XNYS:AFGE,AFGE,AMERICAN FINANCIAL GROUP INC OHIO 4.500% SUBORD DEB DUE 15/09/2060,AFGE,,,,,
6776,https://www.nyse.com/quote/XNMS:AFJK,AFJK,AIMEI HEALTH TECHNOLOGY CO LTD,AFJK,,,,,
6776,https://www.nyse.com/quote/XNMS:AFJKU,AFJKU,AIMEI HEALTH TECHNOLOGY CO LTD UNIT 1 ORD SHS & 1 RT,AFJKU,,,,,
6776,https://www.nyse.com/quote/XNYS:AFL,AFL,AFLAC INC,AFL,,,,,
6776,https://www.nyse.com/quote/XNCM:AFRI,AFRI,FORAFRIC GLOBAL PLC,AFRI,,,,,
6776,https://www.nyse.com/quote/XNGS:AFRM,AFRM,AFFIRM HLDGS INC,AFRM,,,,,
6776,https://www.nyse.com/quote/XNGS:AFYA,AFYA,AFYA LIMITED,AFYA,,,,,
6776,https://www.nyse.com/quote/XNYS:AG,AG,FIRST MAJESTIC SILVER CORP,AG,,,,,
6776,https://www.nyse.com/quote/XNCM:AGAE,AGAE,ALLIED GAMING,AGAE,,,,,
6776,https://www.nyse.com/quote/XNYS:AGCO,AGCO,AGCO CORP,AGCO,,,,,
6776,https://www.nyse.com/quote/XNYS:AGD,AGD,ABRDN GLOBAL DYNAMIC DIVIDEND FUND,AGD,,,,,
6776,https://www.nyse.com/quote/XNCM:AGEN,AGEN,AGENUS INC,AGEN,,,,,
6776,https://www.nyse.com/quote/XNCM:AGFY,AGFY,AGRIFY CORPORATION,AGFY,,,,,
6776,https://www.nyse.com/quote/XNCM:AGH,AGH,AUREUS GREENWAY HOLDINGS INC,AGH,,,,,
6776,https://www.nyse.com/quote/XNYS:AGI,AGI,ALAMOS GOLD INC,AGI,,,,,
6776,https://www.nyse.com/quote/XNGS:AGIO,AGIO,AGIOS PHARMACEUTICALS INC,AGIO,,,,,
6776,https://www.nyse.com/quote/XNYS:AGL,AGL,AGILON HEALTH INC,AGL,,,,,
6776,https://www.nyse.com/quote/XNYS:AGM,AGM,FEDERAL AGRICULTURAL MORTGAGE CORP,AGM,,,,,
6776,https://www.nyse.com/quote/XNYS:AGM.A,AGM.A,FEDERAL AGRICULTURAL MORTGAGE CORP,AGM.A,,,,,
6776,https://www.nyse.com/quote/XNCM:AGMH,AGMH,AGM GROUP HOLDINGS INC,AGMH,,,,,
6776,https://www.nyse.com/quote/XNYS:AGMpD,AGMpD,FEDERAL AGRICULTURAL MORTGAGE CORP 5.7% NON CUMULATIVE PREFERRED STK SER D,AGMpD,,,,,
6776,https://www.nyse.com/quote/XNYS:AGMpE,AGMpE,FEDERAL AGRICULTURAL MORTGAGE CORP 5.7% NON CUMULATIVE PREFERRED STK SER E,AGMpE,,,,,
6776,https://www.nyse.com/quote/XNYS:AGMpF,AGMpF,FEDERAL AGRICULTURAL MORTGAGE CORP 5.250% NON CUM PREF STOCK SR F,AGMpF,,,,,
6776,https://www.nyse.com/quote/XNYS:AGMpG,AGMpG,FEDERAL AGRICULTURAL MORTGAGE CORP 4.875% NON CUMULATIVE PREF STOCK SR G,AGMpG,,,,,
6776,https://www.nyse.com/quote/XNGS:AGNC,AGNC,AGNC INVESTMENT CORP,AGNC,,,,,
