2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
CIG,CEPU,TEO,EDN,KEP,KEP,KEP,ARTW
KEP,SONY,DVLT,KT,EDN,LOMA,CRESY,ERIC
KT,CTRM,EDN,LOMA,KT,TEO,DGLY,MTN
LOMA,DFLI,LOMA,TGS,SKM,BNED,SKM,CATO
CEPU,OPRA,KT,PKX,CEPU,SONY,TGS,DAL
CCU,GGB,KEP,TEO,LOMA,RDY,TEO,AZZ
TGS,GPRK,SKM,HMC,PKX,SIM,LOMA,DOOO
SKM,BIO,TGS,KEP,TGS,GTN,UAVS,PPIH
SIM,MTDR,SBET,TM,CCU,SSP,CETX,JILL
ESEA,METC,CCU,CEPU,ATCH,CLW,PHI,VIST
UGP,CCEC,PKX,CCU,SONY,TSM,NUKK,GBX
PAGS,HE,CEPU,TAK,IDAI,PRSU,WHWK,UAL
LDWY,ECVT,PHI,SONY,TKC,PAGS,ASGN,OXM
CPAC,NVT,RDY,PHI,RNW,BZFD,COMM,THO
AFYA,HVT,TKC,RDY,PHI,HLF,WHLR,TOL
SPHR,CENX,UMC,WIT,PAVM,IHS,TLF,BBW
GSM,ITRN,AGFY,SIM,INVE,INSE,PAVM,PLAY
FPAY,MAT,ASGN,XFOR,RDY,VERI,NVAX,DDS
ASTL,WLKP,SMC,LPSN,WIT,ZIM,BAK,KBH
ARCO,GENC,BWMX,SOND,OMEX,TTI,UMC,HOV
