2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
CIG,VIR,ISPC,LGVN,EMPD,RDY,IFRX,TGS,TOL
CEPU,SKLZ,EDN,LIDR,UMC,ABEV,QSI,TRUG,DKS
REE,CEPU,DVLT,NAOV,SNES,SQNS,SLN,VMAR,HPQ
LOMA,SONY,NAOV,NXPL,BLDP,RPID,OM,CODX,LOW
TGS,DFLI,TGS,XFOR,EDN,CTRM,NUKK,SONY,MOV
CPAC,OPRA,LIDR,CHT,CVAC,RFL,CHT,NAOV,
SKLZ,LVRO,NEUE,EDN,WHWK,LIDR,CSCI,APDN,
TKC,WLKP,TK,RFL,AUUD,TNXP,AUTL,CHT,
UGP,METC,AMWL,KARO,VEEE,APDN,EDN,VEEE,
ESEA,GGB,GEVO,AEVA,MGNX,IZEA,MGNX,CYN,
KEP,GPRK,STRR,CLLS,TNXP,SNOA,YCBD,WHWK,
IZEA,BIO,LOMA,CODX,CRON,IPDN,APDN,CEPU,
PAGS,MTDR,CHT,LGMK,SNOA,ERIC,CODX,ABEO,
KT,ITRN,SKLZ,ADAP,NPWR,HEPS,NVAX,WILC,
ZEO,GENC,WHWK,VEEE,IZEA,AMWL,GNLN,STEM,
GSM,CENX,CODX,STNE,FGEN,NKTR,RVP,AEI,
CCU,HVT,VERB,RVP,LIDR,SONY,VNDA,MGNX,
ASTL,CCEC,TEO,TK,CSCI,DDI,LIDR,BLDP,
AFYA,,DSP,RKDA,RPID,PERI,CLLS,NPWR,
SKM,,LGMK,GEVO,PAVM,LOMA,TNXP,SEER,
