2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
SIM,CTRM,PKX,PKX,PKX,SIM,PKX,WIT
PAGS,,RDY,APDN,WIT,RDY,SIM,RDY
AGAE,,SBET,SOL,SIM,PAGS,WHWK,SOL
LDWY,,SIM,RDY,RDY,IMPP,PAGS,PAGS
RIME,,WILC,WIT,AEI,BZH,IMPP,WILC
SGRP,,CTRM,SIM,MIND,CRMT,WILC,LGIH
,,NCSM,WILC,WILC,MIND,BZH,STNE
,,GMAB,CTRM,PAGS,ACB,TLF,PRAA
,,PAGS,MIND,INVE,NCSM,CRON,CCS
,,SGRP,OPFI,OPFI,,LGIH,KVHI
,,IMPP,PAGS,IMPP,,GENC,IZEA
,,STRT,RKDA,NCSM,,,TUSK
,,ORMP,IMPP,CRON,,,MTH
,,GLPG,STRT,,,,
,,TK,SKLZ,,,,
,,RELL,BZH,,,,
,,,DSP,,,,
