2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
ABBV,ABBV,ALC,ALC,ALC,ALC,AHCO,AHCO
ACHC,ACHC,ALKS,ALKS,ALKS,ALKS,ALC,ALC
AMS,AMS,AM,AM,AM,AM,AM,AM
APLE,APLE,APPF,APPF,APPF,APPF,AMD,AMD
AR,AR,AXTA,AXTA,AXTA,AXTA,APEI,APEI
ARLP,ARLP,BLKB,BLKB,BLKB,BLKB,ATR,ATR
BLDR,BLDR,BNL,BNL,BNL,BNL,AVY,AVY
BRY,BRY,CAAP,CAAP,CAAP,CAAP,AWX,AWX
CAAP,CAAP,CNK,CNK,CNK,CNK,AXTA,AXTA
CDW,CDW,CRNT,CRNT,CRNT,CRNT,BKR,BKR
CF,CF,CTAS,CTAS,CTAS,CTAS,BR,BR
CIVI,CIVI,DAIO,DAIO,DAIO,DAIO,BUD,BUD
CMBT,CMBT,DAY,DAY,DAY,DAY,CCCS,CCCS
CME,CME,DORM,DORM,DORM,DORM,CCK,CCK
CMT,CMT,EHC,EHC,EHC,EHC,CCLD,CCLD
CNQ,CNQ,EPC,EPC,EPC,EPC,CHEF,CHEF
CNR,CNR,ESOA,ESOA,ESOA,ESOA,CNMD,CNMD
COKE,COKE,EXTR,EXTR,EXTR,EXTR,COO,COO
CTRA,CTRA,FICO,FICO,FICO,FICO,DASH,DASH
CVX,CVX,GWW,GWW,GWW,GWW,DLX,DLX
DINO,DINO,HSTM,HSTM,HSTM,HSTM,EFX,EFX
ENPH,ENPH,ICLR,ICLR,ICLR,ICLR,FDP,FDP
EQNR,EQNR,IESC,IESC,IESC,IESC,FEIM,FEIM
FWRD,FWRD,IMAX,IMAX,IMAX,IMAX,FIS,FIS
GEF,GEF,INGR,INGR,INGR,INGR,FLO,FLO
HCC,HCC,INVX,INVX,INVX,INVX,FSM,FSM
HP,HP,ITGR,ITGR,ITGR,ITGR,FSV,FSV
HRL,HRL,JBSS,JBSS,JBSS,JBSS,GIFI,GIFI
HSII,HSII,JELD,JELD,JELD,JELD,GRC,GRC
HSON,HSON,KGC,KGC,KGC,KGC,HALO,HALO
HUBB,HUBB,KHC,KHC,KHC,KHC,HMY,HMY
ICLR,ICLR,LECO,LECO,LECO,LECO,HSTM,HSTM
INSE,INSE,LMB,LMB,LMB,LMB,INOD,INOD
JBGS,JBGS,MATW,MATW,MATW,MATW,IPAR,IPAR
KEX,KEX,MCO,MCO,MCO,MCO,ITGR,ITGR
KEYS,KEYS,MCS,MCS,MCS,MCS,JAZZ,JAZZ
LAND,LAND,MITK,MITK,MITK,MITK,LRN,LRN
LCII,LCII,MLM,MLM,MLM,MLM,MGNI,MGNI
MAN,MAN,MORN,MORN,MORN,MORN,MHK,MHK
MGY,MGY,MTW,MTW,MTW,MTW,MMS,MMS
MOS,MOS,NEU,NEU,NEU,NEU,MORN,MORN
MUR,MUR,NPKI,NPKI,NPKI,NPKI,NBIX,NBIX
NGVC,NGVC,ODC,ODC,ODC,ODC,NEM,NEM
NICE,NICE,OIS,OIS,OIS,OIS,NGS,NGS
NOVT,NOVT,OPCH,OPCH,OPCH,OPCH,NVMI,NVMI
NVR,NVR,OTIS,OTIS,OTIS,OTIS,NXST,NXST
OVV,OVV,PANW,PANW,PANW,PANW,OMC,OMC
PATK,PATK,PCRX,PCRX,PCRX,PCRX,OR,OR
PERI,PERI,PCTY,PCTY,PCTY,PCTY,OSW,OSW
PLAB,PLAB,PEG,PEG,PEG,PEG,OTEX,OTEX
PTEN,PTEN,PEN,PEN,PEN,PEN,OUT,OUT
RHI,RHI,PFGC,PFGC,PFGC,PFGC,PAYX,PAYX
RNGR,RNGR,RMR,RMR,RMR,RMR,PFE,PFE
