2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
,SKLZ,ZEO,FOSL,TRVG,SBDS,YCBD,PRTS,DXLG
,,SKLZ,BFRI,SMSI,FOSL,FOSL,UONEK,BRID
,,CENN,ZVIA,BODI,LIVE,DLTH,VRA,MOV
,,MOGO,PRTS,PRTS,AMWL,VRA,GCO,NCNO
,,VRME,JOB,UONEK,BIRD,GOCO,GORV,GEF
,,SGRP,UONEK,CATO,LCUT,SMSI,JOB,SMTC
,,IZEA,BIRD,SBDS,JOB,VERB,YCBD,
,,DGLY,ZEO,UONE,RGP,APDN,EDUC,
,,PLAG,UONE,SPWH,VNCE,CETX,SPWH,
,,CMCL,GOCO,AWX,VRA,MOGO,TLF,
,,DWSN,AMWL,CNVS,BGSF,LCUT,MED,
,,AGAE,ISPC,SANW,FET,UONE,CHGG,
,,ESEA,BODI,MOGO,UONEK,AMWL,QIPT,
,,ICCC,MOGO,FOSL,HFFG,RMAX,TBI,
,,EDRY,CCLD,SANG,CHGG,IPW,LCUT,
,,FPAY,WHWK,ISPC,MIND,LIVE,TLYS,
,,HHS,SCKT,AMWL,TBI,COSM,DXLG,
,,CLRO,PETS,CCLD,CATO,CVR,VNCE,
,,CRGO,GNLN,BIRD,EDUC,CSTE,GNLN,
,,CELU,SWAG,WHWK,MED,HSON,HOFT,
,,LDWY,MVST,PETS,GPRO,PRTS,ONEW,
,,KORE,IDAI,MYPS,UONE,CENN,BKYI,
,,SSTI,FET,DHX,RCKY,DHX,CATO,
,,CMBM,DOUG,EDUC,VERO,VNCE,DBI,
,,DFLI,NAOV,WPRT,KTCC,MYPS,NXPL,
,,,SINT,CENN,GCO,SANG,DCGO,
,,,SANW,SPRU,NTWK,MED,UEIC,
,,,VFF,MIND,VFF,NXPL,FOSL,
,,,VEEE,SKLZ,MX,BGLC,ZUMZ,
,,,SMSI,TLF,MASS,TRUE,UONE,
,,,RMAX,BSET,CTRN,UEIC,DLTH,
,,,LDWY,VERB,AYTU,AYTU,RMAX,
,,,KTCC,SCKT,RMAX,SEER,CSTE,
,,,BGFV,RPID,SCKT,FSP,GRWG,
,,,SLE,CSCI,MYPS,WPRT,HSON,
,,,NCSM,SEER,CVGI,ARTW,EKSO,
,,,BNGO,FET,FARM,BGSF,WVVI,
,,,CODX,MSN,APDN,TLF,SEER,
,,,DHX,VNCE,BZFD,VFF,SPRU,
,,,JRSH,CHGG,TRVG,VERO,DIT,
,,,WVVI,CPIX,SOL,DLPN,HHS,
,,,HSON,DLTH,DOUG,UPLD,AWX,
,,,TRVG,TDUP,DHX,DIT,ARKR,
,,,AP,SNOA,TUSK,CVGI,VMAR,
