2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
SKM,CNVS,HEPS,HEPS,HEPS,HEPS,YCBD,BWMX,DXLG
CIG,HVT,BWMX,BWMX,BWMX,BWMX,HEPS,HSON,MOV
LOMA,CEPU,ATER,ZVIA,TRVG,FOSL,CETX,PRTS,BRID
KT,PETS,KT,ATER,PRTS,GCO,BWMX,NUS,DKS
HEPS,SKLZ,FOSL,TRVG,BODI,TRVG,FOSL,MED,DG
IDAI,OPRA,SKM,KARO,FOSL,NUS,DLTH,FOSL,BJ
CCU,SONY,COKE,PRTS,NUS,SBDS,NUS,GCO,ULTA
CEPU,LVRO,BODI,FOSL,SBS,GOCO,MED,CATO,MDB
UGP,MAT,ZVIA,BFRI,CVAC,VNCE,CHGG,YCBD,NVDA
TKC,ITRN,CCLD,GCO,SKM,MED,SKM,JOB,COO
RIME,METC,PRTS,ZEO,GCO,YCBD,HSON,SBDS,TOL
SKLZ,GPRK,AKA,BODI,ZVIA,AHCO,PDS,TLF,BURL
SGRP,FCFS,PDS,DOUG,DLTH,FLWS,KSS,DBI,HD
ZENV,SPHR,TRVG,NUS,VNCE,BNED,CCLD,QIPT,MDT
ESEA,GGB,LUXE,UNFI,UNFI,FARM,PRTS,AKA,S
FPAY,GENC,ZEO,CCLD,MYPS,SCHL,SWAG,DXLG,LOW
DLPN,RNW,TLF,CATO,MED,BGSF,TLF,CHGG,DY
CPAC,MTDR,LGMK,KT,MIND,PDS,JOB,TBI,GEF
DWSN,BRBR,NUS,VNCE,PDS,TBI,GOCO,VNCE,OKTA
SIM,CTRM,RDY,LGMK,CCLD,VLGEA,BGSF,MYPS,AMAT
PAGS,APPN,NCSM,MIND,CATO,MIND,IPW,CETX,WDAY
AFYA,BCRX,APEI,RDY,UPXI,GIII,VRA,USNA,HRL
BRFS,IDXX,GAIA,TLF,TLF,IPDN,MYPS,PDS,NTAP
MOGO,BIO,FRD,SBDS,TBI,LCUT,TIXT,ANGI,NCNO
VRME,TXG,ISPC,DLTH,LGMK,BSET,KT,SWAG,SMTC
GSM,DFLI,GOCO,ANGI,FARM,ORGO,USNA,DLTH,SJM
TGS,HPP,TEO,MED,VRA,DHX,SPTN,ACHC,DE
SID,CRGO,CCU,BLIN,DHX,ANGI,TBI,DIT,CRWD
HHS,QMCO,SGRP,SPTN,NCSM,MYPS,BKYI,CAL,HPQ
KORE,RILY,CETX,VLGEA,TIXT,SPTN,NTWK,OFIX,
KEP,NVT,HSON,HSON,PRPO,USNA,DHX,TEO,
IZEA,INFA,RMAX,ISPC,LUXE,DLTH,M,KSS,
AVD,MSFT,SLQT,PDS,SWAG,UNFI,CCU,BSET,
LVRO,HE,OFIX,WOOF,RDY,ERIC,AYTU,TCMD,
SIMO,AMSC,SWAG,OFIX,KT,IPW,QIPT,M,
CMCL,ARAY,DOUG,SFIX,BGFV,VRA,ZUMZ,IMKTA,
LPL,ECVT,DTI,SWAG,SUNE,CCLD,ANGI,SGC,
SSTI,VIR,BGFV,AKA,DOUG,OPRX,BSET,ZDGE,
MGIC,LUMN,SANG,ZDGE,SPTN,RGP,VNCE,HHS,
SUZ,ASTL,IMKTA,DHX,HITI,HVT,VERO,HVT,
UAVS,CBOE,NAOV,BSET,APEI,BODI,VLGEA,ERIC,
HIMX,BVN,VIV,MYPS,ERIC,QIPT,SANG,RDY,
ADSK,IMG,NTWK,TBI,KSS,MOV,HVT,BKYI,
EDRY,TRIB,TBI,FPAY,BSET,NCSM,ERIC,MYGN,
ASTL,AVDX,ASGN,RMAX,BGSF,RDY,GIII,BRLT,
CSIQ,WLKP,DHX,LUXE,USNA,SPWH,RMAX,HOUS,
CMBM,CMBM,TBRG,BIRD,CNVS,AOUT,IMKTA,VLGEA,
MYNZ,CENX,MTEX,TEO,ZIM,DOUG,ZEUS,UNFI,
ZEO,GP,DIT,IMKTA,MTEX,DIT,DIT,TDOC,
TRMB,SLI,SCKT,VVOS,TDUP,CRMT,TRUE,TRVG,
AGAE,USAC,EBS,HOUS,PETS,IMKTA,FTHM,BODI,
SMID,CCEC,ANGI,DIT,FPAY,RCKY,DOUG,LE,
ALSN,VFS,ORGO,INGN,OFIX,VERO,ODP,INGN,
ORLA,,MYPS,ERIC,SPWH,CTRN,NCSM,SGRP,
MESA,,VRME,NXPL,IMKTA,KSS,DLPN,OXM,
GRFS,,WMK,JOB,ORGO,WMK,PRPO,RMAX,
SPHR,,FLNT,VIV,EYE,APEI,BGFV,WOOF,
AQB,,DWSN,ORGO,TDOC,DBI,LIVE,DNUT,
DLO,,PHI,QIPT,HOUS,OFIX,MOV,SBH,
ARCO,,BOXL,CTRN,RMAX,EYE,RCKY,JOUT,
SQNS,,INGN,CRMT,ANGI,NTWK,KELYA,FTHM,
ICCC,,VTOL,MTEX,GPRO,TDOC,SGC,SMSI,
