Date,Symbol,Result Close,MMA_10,End Balance,Restart Balance,Balance,Can Rebalance
2014-12-31,['SPY'],[205.54],[196.89],[0],[10000.0],10000,False
2015-01-30,['SPY'],[199.45],[198.14],[9703.71],[9703.71],9703,False
2015-02-27,['SPY'],[210.66],[200.37],[10249.1],[10249.1],10249,False
2015-03-31,['SPY'],[206.43],[201.75],[10043.3],[10043.3],10043,False
2015-04-30,['SPY'],[208.46],[203.02],[10142.06],[10142.06],10142,False
2015-05-29,['SPY'],[211.14],[204.83],[10272.45],[10272.45],10272,False
2015-06-30,['SPY'],[205.85],[205.34],[10015.08],[10015.08],10015,False
2015-07-31,['SPY'],[210.5],[206.69],[10241.31],[10241.31],10241,False
2015-08-31,['SPY'],[197.67],[206.29],[9617.1],[9617.1],9617,False
2015-09-30,['SPY'],[191.63],[204.73],[9323.24],[9323.24],9323,False
2015-10-30,['SPY'],[207.93],[204.97],[10116.27],[10116.27],10116,False
2015-11-30,['SPY'],[208.69],[205.9],[10153.25],[10153.25],10153,False
2015-12-31,['SPY'],[203.87],[205.22],[9918.75],[9918.75],9918,True
2016-01-29,['SPY'],[193.72],[203.95],[9424.93],[9424.93],9424,False
2016-02-29,['SPY'],[193.56],[202.46],[9417.15],[9417.15],9417,False
2016-03-31,['SPY'],[205.52],[201.89],[9999.03],[9999.03],9999,False
2016-04-29,['SPY'],[206.33],[201.94],[10038.44],[10038.44],10038,False
2016-05-31,['SPY'],[209.84],[201.88],[10209.21],[10209.21],10209,False
2016-06-30,['SPY'],[209.48],[203.06],[10191.7],[10191.7],10191,False
2016-07-29,['SPY'],[217.12],[205.61],[10563.4],[10563.4],10563,False
2016-08-31,['SPY'],[217.38],[206.55],[10576.05],[10576.05],10576,False
2016-09-30,['SPY'],[216.3],[207.31],[10523.51],[10523.51],10523,False
2016-10-31,['SPY'],[212.55],[208.18],[10341.06],[10341.06],10341,False
2016-11-30,['SPY'],[220.38],[210.85],[10722.01],[10722.01],10722,False
2016-12-30,['SPY'],[223.53],[213.84],[10875.26],[10875.26],10875,True
2017-01-31,['SPY'],[227.53],[216.04],[11069.87],[11069.87],11069,False
2017-02-28,['SPY'],[236.47],[219.06],[11504.82],[11504.82],11504,False
2017-03-31,['SPY'],[235.74],[221.65],[11469.3],[11469.3],11469,False
2017-04-28,['SPY'],[238.08],[224.51],[11583.15],[11583.15],11583,False
2017-05-31,['SPY'],[241.44],[226.94],[11746.62],[11746.62],11746,False
2017-06-30,['SPY'],[241.8],[229.38],[11764.13],[11764.13],11764,False
2017-07-31,['SPY'],[246.77],[232.43],[12005.93],[12005.93],12005,False
2017-08-31,['SPY'],[247.49],[235.92],[12040.96],[12040.96],12040,False
2017-09-29,['SPY'],[251.23],[239.01],[12222.92],[12222.92],12222,False
2017-10-31,['SPY'],[257.15],[242.37],[12510.94],[12510.94],12510,False
2017-11-30,['SPY'],[265.01],[246.12],[12893.35],[12893.35],12893,False
2017-12-29,['SPY'],[266.86],[249.16],[12983.36],[12983.36],12983,True
2018-01-31,['SPY'],[281.9],[253.77],[13715.09],[13715.09],13715,False
2018-02-28,['SPY'],[271.65],[257.13],[13216.4],[13216.4],13216,False
2018-03-29,['SPY'],[263.15],[259.3],[12802.86],[12802.86],12802,False
2018-04-30,['SPY'],[264.51],[261.57],[12869.03],[12869.03],12869,False
2018-05-31,['SPY'],[270.94],[263.99],[13181.86],[13181.86],13181,False
2018-06-29,['SPY'],[271.28],[266.37],[13198.4],[13198.4],13198,False
2018-07-31,['SPY'],[281.33],[269.38],[13687.36],[13687.36],13687,False
2018-08-31,['SPY'],[290.31],[272.69],[14124.26],[14124.26],14124,False
2018-09-28,['SPY'],[290.72],[275.26],[14144.21],[14144.21],14144,False
2018-10-31,['SPY'],[270.63],[275.64],[13166.78],[13166.78],13166,False
2018-11-30,['SPY'],[275.65],[275.02],[13411.01],[13411.01],13411,False
2018-12-31,['SPY'],[249.92],[272.84],[12159.19],[12159.19],12159,True
2019-01-31,['SPY'],[269.93],[273.52],[13132.72],[13132.72],13132,False
2019-02-28,['SPY'],[278.68],[274.94],[13558.43],[13558.43],13558,False
2019-03-29,['SPY'],[282.48],[276.09],[13743.31],[13743.31],13743,False
2019-04-30,['SPY'],[294.02],[278.37],[14304.76],[14304.76],14304,False
2019-05-31,['SPY'],[275.27],[277.76],[13392.53],[13392.53],13392,False
2019-06-28,['SPY'],[293.0],[278.03],[14255.14],[14255.14],14255,False
2019-07-31,['SPY'],[297.43],[278.7],[14470.67],[14470.67],14470,False
2019-08-30,['SPY'],[292.45],[280.88],[14228.38],[14228.38],14228,False
2019-09-30,['SPY'],[296.77],[282.99],[14438.56],[14438.56],14438,False
2019-10-31,['SPY'],[303.33],[288.34],[14757.72],[14757.72],14757,False
2019-11-29,['SPY'],[314.31],[292.77],[15291.92],[15291.92],15291,False
2019-12-31,['SPY'],[321.86],[297.09],[15659.25],[15659.25],15659,True
2020-01-31,['SPY'],[321.73],[301.02],[15652.93],[15652.93],15652,False
2020-02-28,['SPY'],[296.26],[301.24],[14413.75],[14413.75],14413,False
2020-03-31,['SPY'],[257.75],[299.49],[12540.15],[12540.15],12540,False
2020-04-30,['SPY'],[290.48],[299.24],[14132.54],[14132.54],14132,False
2020-05-29,['SPY'],[304.32],[299.93],[14805.89],[14805.89],14805,False
2020-06-30,['SPY'],[308.36],[301.52],[15002.45],[15002.45],15002,False
2020-07-31,['SPY'],[326.52],[304.49],[15885.98],[15885.98],15885,False
2020-08-31,['SPY'],[349.31],[309.09],[16994.77],[16994.77],16994,False
2020-09-30,['SPY'],[334.89],[311.15],[16293.2],[16293.2],16293,False
2020-10-30,['SPY'],[326.54],[311.62],[15886.95],[15886.95],15886,False
2020-11-30,['SPY'],[362.06],[315.65],[17615.08],[17615.08],17615,False
2020-12-31,['SPY'],[373.88],[323.41],[18190.15],[18190.15],18190,True
2021-01-29,['SPY'],[370.07],[334.64],[18004.78],[18004.78],18004,False
2021-02-26,['SPY'],[380.36],[343.63],[18505.41],[18505.41],18505,False
2021-03-31,['SPY'],[396.33],[352.83],[19282.39],[19282.39],19282,False
2021-04-30,['SPY'],[417.3],[363.73],[20302.63],[20302.63],20302,False
2021-05-28,['SPY'],[420.04],[373.08],[20435.94],[20435.94],20435,False
2021-06-30,['SPY'],[428.06],[380.95],[20826.13],[20826.13],20826,False
2021-07-30,['SPY'],[438.51],[391.31],[21334.55],[21334.55],21334,False
2021-08-31,['SPY'],[451.56],[403.82],[21969.46],[21969.46],21969,False
2021-09-30,['SPY'],[429.14],[410.52],[20878.67],[20878.67],20878,False
2021-10-29,['SPY'],[459.25],[419.06],[22343.59],[22343.59],22343,False
2021-11-30,['SPY'],[455.56],[427.61],[22164.06],[22164.06],22164,False
2021-12-31,['SPY'],[474.96],[437.07],[23107.92],[23107.92],23107,True
2022-01-31,['SPY'],[449.91],[442.43],[21889.18],[21889.18],21889,False
2022-02-28,['SPY'],[436.63],[444.36],[21243.08],[21243.08],21243,False
2022-03-31,['SPY'],[451.64],[447.52],[21973.35],[21973.35],21973,False
2022-04-29,['SPY'],[412.0],[445.92],[20044.77],[20044.77],20044,False
2022-05-31,['SPY'],[412.93],[443.36],[20090.02],[20090.02],20090,False
2022-06-30,['SPY'],[377.25],[435.93],[18354.1],[18354.1],18354,False
2022-07-29,['SPY'],[411.99],[434.21],[20044.28],[20044.28],20044,False
2022-08-31,['SPY'],[395.18],[427.8],[19226.43],[19226.43],19226,False
2022-09-30,['SPY'],[357.18],[417.97],[17377.64],[17377.64],17377,False
2022-10-31,['SPY'],[386.21],[409.09],[18790.02],[18790.02],18790,False
2022-11-30,['SPY'],[407.68],[404.87],[19834.59],[19834.59],19834,False
2022-12-30,['SPY'],[382.43],[399.45],[18606.12],[18606.12],18606,True
2023-01-31,['SPY'],[406.48],[394.93],[19776.21],[19776.21],19776,False
2023-02-28,['SPY'],[396.26],[393.36],[19278.98],[19278.98],19278,False
2023-03-31,['SPY'],[409.39],[393.0],[19917.79],[19917.79],19917,False
2023-04-28,['SPY'],[415.93],[396.87],[20235.98],[20235.98],20235,False
2023-05-31,['SPY'],[417.85],[397.46],[20329.39],[20329.39],20329,False
2023-06-30,['SPY'],[443.28],[402.27],[21566.62],[21566.62],21566,False
2023-07-31,['SPY'],[457.79],[412.33],[22272.57],[22272.57],22272,False
2023-08-31,['SPY'],[450.35],[418.74],[21910.6],[21910.6],21910,False
2023-09-29,['SPY'],[427.48],[420.72],[20797.92],[20797.92],20797,False
2023-10-31,['SPY'],[418.2],[424.3],[20346.43],[20346.43],20346,False
2023-11-30,['SPY'],[456.4],[429.29],[22204.95],[22204.95],22204,False
2023-12-29,['SPY'],[475.31],[437.2],[23124.97],[23124.97],23124,True
2024-01-31,['SPY'],[482.88],[444.55],[23493.27],[23493.27],23493,False
2024-02-29,['SPY'],[508.08],[453.76],[24719.31],[24719.31],24719,False
2024-03-28,['SPY'],[523.07],[464.28],[25448.61],[25448.61],25448,False
2024-04-30,['SPY'],[501.98],[470.15],[24422.53],[24422.53],24422,False
2024-05-31,['SPY'],[527.37],[477.11],[25657.81],[25657.81],25657,False
2024-06-28,['SPY'],[544.22],[486.5],[26477.6],[26477.6],26477,False
2024-07-31,['SPY'],[550.81],[498.83],[26798.22],[26798.22],26798,False
2024-08-30,['SPY'],[563.68],[513.38],[27424.38],[27424.38],27424,False
2024-09-30,['SPY'],[573.76],[525.12],[27914.8],[27914.8],27914,False
2024-10-31,['SPY'],[568.64],[534.45],[27665.7],[27665.7],27665,False
2024-11-29,['SPY'],[602.55],[546.42],[29315.5],[29315.5],29315,False
2024-12-31,['SPY'],[586.08],[554.22],[28514.2],[28514.2],28514,True
2025-01-31,['SPY'],[601.82],[562.09],[29279.99],[29279.99],29279,False
2025-02-28,['SPY'],[594.18],[571.31],[28908.29],[28908.29],28908,False
2025-03-31,['SPY'],[559.39],[574.51],[27215.67],[27215.67],27215,False
2025-04-30,['SPY'],[554.54],[575.55],[26979.71],[26979.71],26979,False
2025-05-30,['SPY'],[589.39],[579.4],[28675.25],[28675.25],28675,False
2025-06-30,['SPY'],[617.85],[584.82],[30059.9],[30059.9],30059,False
2025-07-31,['SPY'],[632.08],[590.65],[30752.22],[30752.22],30752,False
