2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
SPHR,BRBR,VRSN,DPZ,CL,MEDP,WMT,LOW
,IDXX,NBIX,MSM,SYY,ZTS,NVR,BJ
,ITRN,LOPE,MO,NATH,INTU,HALO,DKS
,OPRA,CHE,CTAS,SAM,IDXX,ULTA,COO
,USAC,CTAS,USFD,MAS,MA,THC,NVDA
,AFYA,HRB,PEP,USFD,COST,HRB,HRL
,KORE,MTCH,YUM,NHTC,TGT,JAZZ,BURL
,ALSN,ADP,STZ,MCHX,NVR,MRK,ULTA
,LUMN,CMCSA,PHI,PD,BJ,GMAB,DY
,CIG,USFD,INFU,CTAS,CMG,CHE,TOL
,CBOE,MDLZ,CHT,MSM,V,ZTS,
,TKC,AIT,PAYX,EBF,TT,WMK,
,PAGS,GDDY,SAP,ARCO,ECL,PHI,
,,CME,MCHX,YUM,PHI,PEP,
,,MCD,CHE,CHE,SYY,VRSK,
,,DT,MDLZ,WSM,MO,LOPE,
,,OTIS,WAB,SKX,CMCSA,MORN,
,,LEA,TMUS,HALO,PAYX,DCBO,
,,PGNY,SYY,MSCI,FTEK,SGU,
,,AOS,ZTS,LRN,MORN,DKS,
,,YELP,SAM,YELP,HCA,NICE,
,,ECL,FAST,ALLE,AMZN,COST,
,,HSY,VRSN,LOPE,NXST,MEDP,
,,BSY,BRBR,CVEO,GWW,INTU,
,,CIG,V,INGR,DCI,DCI,
,,ROL,ADP,MX,MAT,WDFC,
,,CVEO,NATH,MTCH,APPF,MCO,
,,HSTM,TT,BRBR,FSV,FMS,
,,CHD,YELP,TNC,META,AFYA,
,,PHI,MTCH,VRSN,GRMN,OTIS,
,,VIV,VREX,IPAR,ZWS,UNP,
,,WST,HESM,FICO,WING,HSTM,
,,BRBR,AOS,GPOR,BSX,FLO,
,,IPAR,BSX,LEA,BDX,MO,
,,SPB,PRTS,UTMD,TYL,HRL,
,,SSTK,TPB,ATR,ROL,ROL,
,,GPC,ULTA,MORN,JAZZ,ABT,
,,AIP,CPIX,DCI,ZBRA,COKE,
,,FICO,NSIT,INCY,PRTS,FICO,
,,LAUR,HAE,TPR,CHE,AMZN,
,,TDC,CMCSA,INMD,PEGA,AVY,
,,NTGR,OTIS,ROL,ZD,PBA,
,,EXTR,ATR,FNKO,WTS,WMG,
,,PFGC,TIMB,NBIX,KMB,PFGC,
,,FORD,CMG,ANIK,PHAR,BSX,
,,EHC,GWW,AGCO,BKR,TGT,
,,JBTM,ESTC,KRT,MRK,CROX,
,,EPC,NVS,RVTY,JBL,CHH,
,,CL,ZWS,PGNY,USAC,MMLP,
,,ZBH,MA,LAUR,LIVN,PKG,
,,WNC,CVEO,SCHL,SHOP,EXEL,
,,PAYX,ANIK,GWW,MANH,ROST,
,,MCHX,ROL,RSG,SGU,CMG,
,,WEYS,WFCF,SSTK,MCO,SFM,
,,MYPS,BRAG,FARM,CLX,AMRX,
,,NXPI,GO,SPTN,MLM,BDX,
,,NTCT,IRTC,BATRA,UNP,EXPE,
,,EXEL,ECL,THRM,ANF,LH,
,,DIN,PTEN,PEP,FLO,BBWI,
,,SPNS,EBF,CME,WDFC,WTS,
,,MRC,HSTM,GRMN,EXEL,IDXX,
,,UTMD,JBSS,CMG,AFYA,VMD,
,,META,AWX,HSTM,WES,ET,
,,MANH,MCD,BG,JBGS,PSMT,
,,FOSL,PII,BMRN,ET,TDOC,
,,RSG,IDXX,BATRK,WMK,META,
,,MITK,MRC,GPC,TZOO,WM,
,,CHT,AKAM,JCI,VMD,INGR,
,,TT,IMXI,IRMD,LNW,V,
,,ZWS,VIV,FOSL,PZZA,DDOG,
,,TNC,WK,STRA,SPG,QLYS,
,,SKX,KRT,MRC,NBIX,IRDM,
,,ETD,CL,CASY,PSMT,ATEN,
,,BMRN,ZBH,WEYS,CASY,CHEF,
,,GWW,SPT,ALV,ESCA,URBN,
,,INFU,RAMP,META,TU,TZOO,
,,PAGP,YETI,NGVC,CAKE,LIVN,
,,CMG,AGCO,ITRN,CHH,TDC,
,,BMY,CNI,BR,LH,IT,
,,VVV,CVI,IDXX,RSG,NVDA,
,,AGYS,USAC,NOW,HBIO,PODD,
,,IRMD,PCTY,FFIV,IRDM,MKC,
,,AM,DE,EPAC,GHC,BRAG,
,,GHC,MYPS,FAST,PKG,GRMN,
,,RDVT,KHC,LCUT,FDS,ZD,
,,MA,WTS,AOS,KMI,NEU,
,,ALC,UI,ALG,ZDGE,VLGEA,
,,TRI,TRVG,SSD,EXAS,STRA,
,,ICFI,BSY,BSY,TDC,XRAY,
,,ITRN,INTU,SAH,SFM,MANH,
,,PAA,TTI,NTGR,CHT,GOLF,
,,MORN,GPC,TT,WAB,ECL,
,,WM,GPOR,PFGC,CPIX,INFU,
,,INGN,SAH,JBSS,FET,TGNA,
,,TREX,LAUR,NVEC,LRN,WES,
,,SPOT,PFGC,SYK,HSTM,SAH,
,,HESM,UTMD,TTEK,MYPS,EVRG,
,,AIN,NVEC,INFU,DGX,EVC,
,,AGCO,NXPI,MYPS,TTD,COO,
,,SPSC,FDS,OTIS,PFGC,GFF,
,,SYK,KNTK,MDLZ,VERX,LOGI,
,,WTS,DCI,HUBB,LULU,WING,
,,QLYS,LYTS,NTAP,LCUT,LOW,
,,LINC,CNH,INTU,NSSC,SPG,
,,CNI,CASY,ON,EVRG,CTVA,
,,ALLT,BMRN,V,NEU,TGS,
,,IRTC,ITRN,SLVM,WMG,AVNS,
,,IT,ETD,SBH,CTSH,ZDGE,
,,CARS,AWI,NXPI,APD,SENEA,
,,CMBT,CHD,NVS,BRBR,KGC,
,,AKAM,EPD,WTS,DENN,UPWK,
,,SYY,ICFI,LYTS,PPL,A,
,,V,IRMD,BWMX,PLAB,GKOS,
,,KORE,EHC,DPZ,OLLI,BJ,
,,TGLS,JBTM,SPOT,TRMB,TYL,
,,GO,INGN,VIV,LOGI,AMPH,
,,JBSS,MCO,EXPE,BCPC,DAKT,
,,FFIV,MAS,REVG,LILA,CORT,
,,TRGP,META,ZBH,DAKT,BRBR,
,,TRMD,AIP,PZZA,LILAK,SCCO,
,,HUBS,DG,IQV,IQV,ATR,
,,PZZA,KORE,VLGEA,NVDA,PHM,
,,KE,INMD,AIN,SLB,DOUG,
,,ATR,EPM,VVV,MMS,ADTN,
,,INGR,PNW,CNR,ALKS,EPAM,
,,SPXC,TOMZ,TR,OTIS,AWI,
,,RACE,EXTR,TOL,AIRS,SBAC,
,,EPD,WEX,OSK,EPAC,EW,
,,USAC,WVVI,TPB,FCFS,WBA,
,,CVS,PGNY,MCD,APLE,DXPE,
,,BNL,GRMN,DHT,CIG,LCUT,
,,RMR,LEA,STM,SCCO,LZ,
,,BR,TNC,MCO,VRSK,PZZA,
,,LRN,LNN,BRO,ADP,PLAB,
,,SAP,NTAP,RMR,ARLO,NSC,
,,KTCC,HSY,CMT,LMB,LYV,
,,ZTS,BJ,ITGR,LOPE,FSV,
,,WVVI,FARM,MDU,GFF,LCII,
,,PCTY,TPR,HSY,FTI,HSY,
,,CROX,TRGP,FDS,IT,AIRS,
,,GPK,ALG,PTEN,IR,LLY,
,,YUM,NOV,RYN,FIZZ,QRHC,
,,PCAR,CARS,ETD,MSGS,MLM,
,,NGVC,SYK,YETI,AVNS,DENN,
,,TTEK,IR,CNI,B,KEX,
,,VMC,COST,NSSC,QLYS,PAYC,
,,SPT,HUBS,TGLS,PFSI,FTLF,
,,ALV,DLTR,AORT,XYL,GHC,
,,REYN,STM,MA,VNT,BKR,
,,SLVM,BNL,PCAR,MLI,MAYS,
,,APD,VRTX,GKOS,AMRX,SENEB,
,,SSD,NGVC,SPNS,NICE,ATGE,
,,MOD,GEN,PSIX,AOUT,TMO,
,,OPCH,STRA,ZTS,WU,COCO,
,,ADTN,MSCI,JELD,PVH,RCKY,
,,WFCF,VMD,HESM,RACE,XYZ,
,,ALG,EPC,HUBS,CL,ALCO,
,,MAS,NTWK,EHC,ESS,TAP,
,,IRDM,TRMD,EVLV,LLY,BBW,
,,YETI,OPRX,ANGO,IBEX,HCA,
,,WMS,MOH,CVS,ULTA,VMI,
,,CMPO,REYN,SPXC,SLVM,IDT,
,,INMD,FTEK,GMS,PODD,QVCGA,
,,ALIT,RPD,APT,PG,WKC,
,,NEU,SLVM,NEU,ALCO,HBIO,
,,BIP,EMR,KNTK,FICO,DLX,
,,SBH,SCOR,SKY,MKC,GRC,
,,AFYA,RSG,APD,BURL,HLT,
,,CCSI,TDC,BBW,CHEF,OMC,
,,IESC,SPXC,VMD,PCTY,AMPL,
,,XPEL,APOG,XPEL,INGR,BNL,
,,WFRD,SPSC,PSMT,VLGEA,BALL,
,,XYL,TXG,PAYX,DLX,IP,
,,DOUG,HALO,BCPC,HALO,COLL,
,,AMGN,TNDM,ZWS,OTTR,UNF,
,,BLMN,WMS,CPIX,TMO,ACVA,
,,AMCX,IPAR,TRI,SBAC,EHC,
,,DNOW,BMY,PII,DY,SONO,
,,NCSM,UVV,WST,EHC,RL,
,,HALO,DBI,ICLR,BR,SGC,
,,MCO,WING,VRT,MRVL,PRSU,
,,LAND,DNB,AXTA,IZEA,CYH,
,,ALLE,PODD,CARS,CAH,SMPL,
,,TXG,LBRT,WNC,PAYC,FCFS,
,,BCPC,TRI,UIS,UPWK,YETI,
,,EMR,PD,TDC,BBWI,SPSC,
,,LNG,ADTN,LINC,HOLX,USAC,
,,TPR,BBW,TNDM,BNL,FDS,
,,VC,WNS,EPD,HRB,PEGA,
,,SAM,APTV,TRVG,WFRD,HURN,
,,BLD,LINC,UNF,ABT,SXC,
,,SCOR,TREX,MOD,NKE,CAH,
,,OPRX,PEG,ALLT,WMS,ARTW,
,,DNB,NEU,OGN,NSC,CME,
,,STRA,B,CABO,INFU,DGX,
,,EXP,WINA,KE,NVST,MYPS,
,,PNW,EPAC,CVGW,EME,EPD,
,,WEN,CPRT,BBSI,ATR,CTSH,
,,BSX,VAL,IDT,PFE,MPLX,
,,NDLS,GRC,HPQ,BIIB,CAKE,
,,CBZ,INSW,WNS,MPLX,INSE,
,,IHRT,BTBD,QNST,RFIL,MRVL,
,,HP,PCRX,GRC,RL,SKX,
,,VMD,AIT,CCSI,TTI,TITN,
,,RDWR,CHEF,WM,CNMD,HELE,
,,MSCI,MCFT,LECO,LVS,CRNT,
,,ON,APT,STKL,SMPL,REVG,
,,AXTA,UGP,ENPH,FFIV,TTC,
,,AMPH,RDWR,CMCSA,HUBB,KBH,
,,EME,FTDR,VC,CPRT,SPNS,
,,ARLP,USLM,AGYS,CLMB,WILC,
,,LOCO,KE,RDWR,IDT,THRM,
,,NSIT,QLYS,MANH,MOH,OTEX,
,,IEP,LECO,LNN,TIMB,DT,
,,GOGO,NOW,EVI,UNF,LEGH,
,,RGLD,CROX,EXTR,DORM,CARR,
,,IFF,CIG,USAC,HSY,LVS,
,,FIX,ON,SPSC,VRNT,WAB,
,,VREX,MITK,DOCU,CARR,SGI,
,,TS,TR,DAKT,BRO,OMI,
,,PII,CMT,AIT,HLT,UTI,
,,GPOR,MORN,SONY,DCBO,MPWR,
,,MDU,EXEL,DNB,XRAY,NGVT,
,,CNH,INCY,APOG,PNRG,GVA,
,,DHT,MANH,ARLP,COLL,EWCZ,
,,AGRO,CME,WMS,TLS,NGVC,
,,SABR,ALV,GTM,LXP,LMB,
,,AWI,NBIX,SMPL,FOUR,STE,
,,HI,AAON,AMPH,REYN,SRI,
,,CCO,SPOT,STZ,CTAS,ICUI,
,,LOMA,GPK,CORT,LAUR,HBI,
,,WOW,HPE,TTD,PWR,EFX,
,,SON,EVI,IFF,COOP,EZPW,
,,UTHR,IESC,SCS,STE,WLK,
,,ACLS,PUMP,EFXT,ITRN,AM,
,,TMUS,CBZ,ALRM,INSE,FFIV,
,,IPG,GM,WEN,MLR,JBGS,
,,WING,RDVT,IHRT,MELI,OLLI,
,,SKY,AIN,CAAP,A,APLE,
,,AMPY,CVGW,PAGP,CORT,SSNC,
,,INSW,OMC,CVCO,SXC,RSG,
,,TIMB,PAGP,ESTC,DXPE,ROCK,
,,GM,ARLP,GO,HPP,MLR,
,,QRHC,MODV,RAMP,NTIC,GILT,
,,HUBB,MDU,PI,SAH,BCO,
,,FSS,FRD,NCSM,STRA,NXST,
,,RYN,SBAC,LW,EZPW,DLHC,
,,USLM,AGRO,PUMP,AMPH,GBX,
,,GRC,DHT,DT,WM,MEC,
,,TEX,DT,VRTX,MPWR,VRNT,
,,SLB,UNF,SPT,GRC,LEE,
,,KRT,BG,INNV,CHRW,MELI,
,,BRO,TTD,POWL,EXPE,STNG,
