2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
KEP,CEPU,KEP,EC,KEP,KEP,KEP,EC,GEF
KT,SONY,KT,KT,KT,TEO,KT,CEPU,TOL
LOMA,GGB,TEO,KEP,PKX,LOMA,SKM,MDU,DG
CEPU,HE,SKM,PKX,SKM,SONY,PKX,TGS,DXLG
CCU,GPRK,EDN,EDN,EDN,BNED,CRESY,HMC,DKS
SKM,RNW,PKX,TEO,CEPU,ASX,EDN,TM,HPQ
CIG,MTDR,CCU,LOMA,LOMA,RDY,TEO,TAK,HRL
SIM,CTRM,TGS,CEPU,CCU,GTN,TGS,RNW,LOW
UGP,HVT,PHI,TGS,TGS,BWMX,CCU,PHI,BJ
PAGS,ECVT,TKC,TM,SONY,SSP,WHLR,TKC,COO
CPAC,METC,ASGN,TAK,RNW,ERIC,SONY,SONY,MOV
RIME,CENX,RDY,PHI,TV,VNCE,PHI,WIT,DE
SID,OPRA,ASX,WIT,PHI,GGB,TKC,RDY,DY
AFYA,MAT,UMC,RNW,TKC,BRFS,ASX,BWMX,BRID
LPL,DFLI,MESA,TKC,WIT,SIM,UMC,UMC,HD
TGS,CCEC,CHT,RDY,RDY,MTW,BATL,UGP,AMAT
ASTL,RILY,CIG,ASX,ASX,VIV,CETX,BATL,MDT
ESEA,BIO,BWMX,UMC,UMC,TSM,CHT,PAGS,NTAP
HEPS,SPHR,BRFS,BWMX,SSP,ELP,PAGS,CHT,BURL
ZENV,LVRO,SIM,SIM,GGB,ABEV,BRFS,GGB,ULTA
TKC,ITRN,COKE,CHT,CHT,AP,GGB,BRFS,OKTA
CSIQ,WLKP,GGB,GGB,CIG,LCUT,CIG,SOL,SJM
BRFS,FCFS,VSTA,UGP,GTN,AYTU,ERIC,AMCX,NCNO
SUZ,GENC,GTN,AWX,SIM,ZIM,TSM,SUZ,WDAY
EDRY,LUMN,PAGS,CIG,UGP,GT,SUZ,ERIC,SMTC
CMCL,ASTL,ZIM,KARO,ERIC,STKS,STNE,KELYA,MDB
FPAY,CNVS,ELP,BRFS,CSAN,CSIQ,KSS,KELYB,S
SMC,NVT,AMCX,HOUS,BRFS,FLWS,VIV,ONEW,NVDA
ARCO,HPP,AMBI,VIV,MIND,LIVE,ELP,CATO,CRWD
HHS,BVN,VIV,ELP,SBS,GOCO,SIM,AWX,
IDAI,PETS,TIMB,LND,SUZ,NCSM,ZIM,AXL,
LDWY,SKLZ,IMPP,QVCGA,TSM,ANDE,AMCX,ELP,
GRFS,USAC,SBS,SDOT,ELP,AHCO,TIMB,BTE,
MGIC,INFA,AFYA,TIMB,WILC,TX,LDWY,BRY,
GSM,ARAY,HE,TSM,CPAC,CNXC,GDOT,REI,
AVD,TRIB,TPC,STRT,VIV,MERC,ZENV,LIVE,
SGRP,AMSC,ASTL,CPAC,AMCX,MIND,CPAC,AFYA,
HIMX,GP,TCOM,SBS,TIMB,SCHL,AFYA,GTIM,
ELLO,CMBM,YPF,FDP,ZIM,TRVG,OPAL,STNE,
LVRO,AVDX,CTRM,RYAM,ABEV,ACB,CCLD,VFF,
KORE,BRBR,BWLP,CATO,AFYA,RCKY,M,NUS,
BVN,IMG,TK,ABEV,OBE,BG,PDS,ARTW,
ALSN,CBOE,GM,AFYA,VTLE,SENEA,BTE,HLLY,
ACNT,MSFT,PDS,CCLD,GM,SENEB,GM,AMPY,
MESA,QMCO,WILC,GTIM,ONIT,UVV,IMPP,TX,
SMID,CRGO,BWEN,GTE,YPF,CCS,OBE,GM,
AGAE,APPN,CMRE,HZO,CVAC,PANL,ZUMZ,FRD,
SIMO,IDXX,SLQT,ZIM,KSS,VHI,STRT,PDS,
SPHR,TXG,SGRP,GM,ADNT,OIS,ALGT,CRGY,
NAT,VFS,BV,YPF,SENEB,MPAA,DXC,SWAG,
SSTI,VIR,TX,IMPP,BRY,HBB,CMRE,CIVI,
IZEA,BCRX,WLFC,FSI,SENEA,PDS,CIVI,ADNT,
ORLA,SLI,WKC,VHI,KTCC,ESEA,REI,JOUT,
TRMB,,BDL,SENEA,EFXT,SHIP,GIII,OBE,
MOGO,,TDS,WKC,EBS,VLGEA,BMBL,GFR,
AQB,,BH,GTN,BTE,NC,GFR,ARKO,
TSQ,,GTIM,SENEB,NUS,THS,VLGEA,PARR,
DLPN,,MTEX,ONEW,AWX,CIVI,ABEV,FDP,
DWSN,,KODK,GFR,CCLD,GSL,NBR,FET,
ICCC,,TAC,SPTN,PDS,ATNI,AXL,EPC,
EVLV,,GSL,OBE,HOUS,SBGI,CNC,DINO,
CMBM,,SUZ,ASIX,PETS,CCLD,ESEA,GBX,
SKLZ,,UGI,TG,JRSH,HOV,SCSC,HOG,
MVST,,EBR,RMAX,ODP,REI,SLQT,THO,
VRME,,SR,CMT,REI,NOV,KELYA,SMP,
SBET,,CLW,BDL,F,RMAX,STKS,IMKTA,
DLO,,GASS,ESEA,SXC,LEA,EFXT,LBRT,
MYNZ,,IMKTA,GLBS,FSTR,IMPP,KELYB,LEA,
ZEO,,PUMP,BTE,IMPP,TPH,BLMN,ZIM,
ADSK,,GPI,REI,DBI,BSET,BWLP,MOGO,
SQNS,,ESEA,OI,VET,CVS,GSL,BH,
RILY,,GDOT,IMKTA,GPRE,DFH,TTEC,SBH,
MAXN,,TIGO,ATNI,STRT,CMRE,LIVE,CENTA,
EAF,,DAC,F,BH,GOOS,CVE,SEB,
XBP,,FRD,SWIM,ORN,CNVS,PVH,DLX,
AREC,,BEPC,DOLE,NTGR,AVNW,BTU,GSL,
ADN,,SHIP,UAL,CIVI,TTE,PXS,ASLE,
UAVS,,NWN,AXL,RNGR,BBCP,MEOH,APA,
PLAG,,CGAU,PDS,MRC,SGA,VET,TAP,
CLRO,,ABEV,ANDE,AXL,DXC,ABG,MEOH,
HYLN,,OBE,WLFC,MGNX,SIRI,ARW,FLXS,
CELU,,PXS,TK,MCS,MEC,LAD,RNGR,
CENN,,SSP,ALK,ABG,GASS,ECPG,VTOL,
NTRP,,RCKY,WBA,TGNA,TGNA,CVS,HOV,
TCX,,DTI,SKLZ,SEM,RGS,SM,NOA,
DGLY,,DWSN,AMS,CVE,SNX,SAH,KOP,
REE,,SHEL,TWIN,AMPY,HPE,SBH,DAC,
CLIR,,CRWS,LEA,ASIX,ARW,ULBI,SHIP,
SOND,,E,CNC,TEAD,TNK,GLDD,CENT,
VFS,,ABG,PXS,UAL,PBYI,FDP,NTR,
PSNY,,SCSC,XRX,PBYI,ABG,DLX,SRPT,
TRIB,,BG,SMP,GSL,MD,NOA,SNX,
SLI,,REI,CTRM,ESEA,KEQU,F,SEM,
XELB,,SU,RNGR,FOR,EGY,HZO,CE,
ZVRA,,PBR,ALGT,FDP,SXC,DAC,BLMN,
LZM,,LUMN,VTLE,SU,PRAA,E,NOV,
,,CVE,CVS,GASS,DDI,GOOS,RMAX,
,,TGNA,PAM,OVV,OSK,HOG,SPB,
,,LAD,FF,SBGI,PSFE,PSKY,ESEA,
,,DDI,CMCL,OPFI,TSN,IMKTA,KBH,
,,DIT,TAP,BG,ASTE,ZEUS,XPRO,
,,KGEI,HLLY,TK,CMCL,KE,PBR,
,,FDP,HOV,ALK,GRFS,MOV,BWLP,
,,IAG,SHIP,CMT,SU,DDI,SENEA,
,,GLDD,DCGO,BTU,APA,NWN,ACHC,
,,GIFI,CENTA,DAC,IMO,EGY,BP,
,,MDU,CMRE,BZFD,HHH,ASIX,OVV,
,,DINO,BWA,MD,SM,APA,SENEB,
,,ENVA,HOG,GTE,RMR,UGP,ANDE,
,,ARW,SSP,GIFI,VTOL,LOVE,ALK,
,,F,MRC,PANL,GEF,UGI,WBD,
,,PANL,RYI,PARR,WMK,EQNR,SIRI,
,,EQNR,ESOA,FMS,CHRD,NE,EGY,
,,MRC,CVEO,BXC,DNOW,CMT,OEC,
,,CMT,SEM,GHC,GHC,GENC,BCE,
,,AVA,NWPX,PBR,HVT,CHRD,CNXC,
,,MDRR,AMPY,ICL,ACMR,TX,AHCO,
,,CEPU,FLXS,VTOL,VIRC,RCKY,TRMD,
,,ULH,ARKR,GIII,TBLA,APEI,MD,
,,TLF,GSL,AHCO,RNGR,DGLY,GAU,
,,NOK,KE,PPIH,CRI,PUMP,SON,
,,BKH,CVE,EQNR,DHX,EMA,UAL,
,,TGB,ENVA,KGEI,RLGT,GBX,MPAA,
,,AXL,ARKO,BBCP,CWK,TRMD,ANGI,
,,LOCO,AHCO,DCGO,SND,SXC,RMR,
,,TNK,TGNA,PVH,VC,TPC,CWH,
,,EPC,RUSHB,SHIP,ZEUS,SNCY,IMXI,
,,T,CNXC,CRNT,EFXT,PENN,APT,
,,IBEX,IAG,GPRK,SBH,BCE,TTI,
,,R,WHR,NOV,RCI,AYTU,MOS,
,,SNCY,ARW,INVX,MAN,SU,NOG,
,,ECPG,SU,SHEL,PPIH,RGS,SSTK,
,,BP,VLGEA,SGA,USIO,BWMX,DAL,
,,GTE,OPFI,REPX,KBH,AL,MHK,
,,ASC,ACB,KOP,OEC,TNK,ADM,
,,CVS,DAC,PAM,SNCY,SSTK,BSET,
