,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
0,SPHR,BRBR,VRSN,DPZ,CL,MEDP,WMT,LOW
1,,ITRN,NBIX,MSM,SYY,ZTS,NVR,BJ
2,,IDXX,LOPE,MO,NATH,INTU,HALO,COO
3,,OPRA,CHE,USFD,SAM,IDXX,ULTA,DKS
4,,USAC,CTAS,CTAS,MAS,MA,THC,NVDA
5,,AFYA,HRB,PEP,USFD,COST,HRB,HRL
6,,KORE,MTCH,YUM,NHTC,TGT,JAZZ,ULTA
7,,ALSN,ADP,STZ,MCHX,NVR,MRK,BURL
8,,LUMN,CMCSA,PHI,PD,BJ,GMAB,DY
9,,CIG,USFD,INFU,CTAS,CMG,CHE,TOL
10,,CBOE,MDLZ,CHT,MSM,V,ZTS,
11,,TKC,AIT,PAYX,ARCO,TT,WMK,
12,,PAGS,GDDY,SAP,EBF,ECL,PHI,
13,,,CME,MCHX,YUM,PHI,PEP,
14,,,MCD,CHE,CHE,SYY,VRSK,
15,,,DT,MDLZ,WSM,MO,LOPE,
16,,,OTIS,WAB,SKX,CMCSA,MORN,
17,,,LEA,TMUS,HALO,PAYX,DCBO,
18,,,PGNY,SYY,MSCI,FTEK,SGU,
19,,,AOS,ZTS,LRN,MORN,DKS,
20,,,YELP,SAM,YELP,HCA,NICE,
21,,,ECL,FAST,ALLE,AMZN,COST,
22,,,HSY,VRSN,CVEO,NXST,MEDP,
23,,,BSY,BRBR,LOPE,GWW,INTU,
24,,,CIG,V,MX,DCI,DCI,
25,,,ROL,NATH,INGR,MAT,WDFC,
26,,,CVEO,ADP,MTCH,APPF,MCO,
27,,,HSTM,TT,BRBR,FSV,FMS,
28,,,CHD,YELP,TNC,META,AFYA,
29,,,VIV,MTCH,VRSN,GRMN,OTIS,
30,,,PHI,VREX,IPAR,ZWS,HSTM,
31,,,WST,HESM,FICO,WING,UNP,
32,,,BRBR,AOS,GPOR,BSX,FLO,
33,,,IPAR,BSX,LEA,BDX,MO,
34,,,SPB,PRTS,UTMD,TYL,HRL,
35,,,GPC,TPB,ATR,ROL,ABT,
36,,,SSTK,ULTA,DCI,JAZZ,ROL,
37,,,AIP,CPIX,MORN,ZBRA,COKE,
38,,,FICO,NSIT,INCY,PRTS,FICO,
39,,,LAUR,ATR,TPR,CHE,AMZN,
40,,,TDC,CMCSA,INMD,PEGA,AVY,
41,,,NTGR,HAE,FNKO,ZD,PBA,
42,,,EXTR,OTIS,ROL,WTS,WMG,
43,,,PFGC,TIMB,NBIX,KMB,PFGC,
44,,,FORD,CMG,ANIK,PHAR,BSX,
45,,,EHC,GWW,KRT,BKR,CROX,
46,,,JBTM,ESTC,AGCO,MRK,TGT,
47,,,EPC,ZWS,RVTY,JBL,CHH,
48,,,CL,NVS,PGNY,USAC,MMLP,
49,,,ZBH,MA,LAUR,LIVN,PKG,
50,,,WNC,CVEO,SCHL,SHOP,EXEL,
51,,,PAYX,ANIK,GWW,MANH,ROST,
52,,,MYPS,ROL,RSG,SGU,CMG,
53,,,WEYS,WFCF,SSTK,MCO,SFM,
54,,,NXPI,BRAG,SPTN,CLX,AMRX,
55,,,MCHX,GO,FARM,MLM,EXPE,
56,,,NTCT,IRTC,BATRA,UNP,BDX,
57,,,EXEL,ECL,THRM,ANF,LH,
58,,,DIN,PTEN,GRMN,FLO,BBWI,
