2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
KEP,CEPU,KEP,KEP,KEP,KEP,KEP,EC,DXLG
KT,SONY,KT,EC,LPL,TEO,PKX,TEO,TOL
LPL,RNW,PKX,KT,PKX,CEPU,LPL,CEPU,GEF
CIG,GGB,SKM,PKX,KT,LOMA,KT,MDU,DG
SKM,HPP,TEO,LPL,SKM,CMCT,SKM,TGS,HRL
CEPU,SPHR,EDN,EDN,TEO,TV,EDN,SBDS,COO
CCU,HE,CCU,TEO,EDN,SONY,TEO,HMC,BJ
LOMA,LUMN,TGS,CEPU,CRESY,BNED,CRESY,TM,MDT
HEPS,GPRK,RNW,LOMA,CEPU,RNW,CCU,TAK,DKS
ZENV,BIO,HEPS,TGS,LOMA,PAM,TGS,SONY,OKTA
TKC,OPRA,TKC,TAK,CCU,RDY,CMCT,RNW,NCNO
SIM,RILY,CMCT,TM,TGS,HEPS,WHLR,TKC,DY
UGP,HVT,PHI,CMCT,CMCT,ASX,SONY,PHI,DE
SID,GENC,ASGN,RNW,TV,CTRM,TKC,RDY,BURL
BRFS,BVN,RDY,PHI,SONY,SIM,PHI,WIT,ULTA
PAGS,ECVT,UMC,WIT,RNW,GTN,UMC,SOL,AMAT
RIME,MTDR,ASX,TKC,PAM,SID,ASX,WHLR,WDAY
CPAC,CENX,VSTA,PAM,TKC,BWMX,PAM,UMC,SMTC
SUZ,METC,CHT,RDY,PHI,GGB,SIM,BWMX,MDB
AFYA,MAT,SIM,UMC,WIT,SSP,CHT,VSTA,HD
