,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
0,,CEPU,KT,CIG,PHI,ACI,KT,ERIC,DG
1,,,TGS,VIV,UMC,LCUT,KSS,PHI,GEF
2,,,SGRP,CHT,TIMB,VIV,GGB,ACI,HPQ
3,,,GGB,LEA,VIV,BG,CVE,UMC,LOW
4,,,WLKP,KT,PDS,TSM,CHT,KELYA,DKS
5,,,AFYA,UMC,AWX,SENEA,AFYA,KELYB,TOL
6,,,GPRK,FDP,CCLD,ARCO,SU,CENTA,BJ
7,,,GENC,MRC,KEP,SENEB,SUZ,CENT,COO
8,,,PAGS,WMK,UGP,TX,MOV,TAK,HRL
9,,,ITRN,EPC,CIG,SONY,ZUMZ,GGB,DY
10,,,SMC,CENTA,SHEL,CRI,HST,RMR,OKTA
11,,,MGIC,TIMB,SXC,HVT,TGT,EPC,WDAY
12,,,BRBR,GTIM,SONY,VLGEA,VLGEA,SPB,NVDA
13,,,USAC,CMCSA,INFU,GOCO,USNA,WMK,
14,,,ALSN,TGS,WILC,FET,DXC,CHT,
15,,,APPN,VALE,SAH,SGA,PVH,APT,
16,,,SSTI,RGP,GGB,COLM,GPI,BP,
17,,,IDXX,USFD,GM,CCS,TEO,SONY,
18,,,BIO,HZO,WLKP,CVS,TGS,SENEA,
19,,,CLRO,UGP,BTE,UVV,CHGG,DLX,
20,,,SIMO,CVS,THC,SBH,DLX,TAP,
21,,,,BWMX,CPAC,TPH,PRTS,ETD,
22,,,,STRT,DBI,TSN,VRA,FMS,
23,,,,RUSHB,BGFV,MX,SGU,SON,
24,,,,CENT,PRTS,SSP,SAH,LEA,
25,,,,FOSL,TSM,III,PLAB,SBH,
26,,,,CTVA,ASGN,MOS,CIVI,RUSHB,
27,,,,CIVI,LKQ,CCLD,TU,USNA,
28,,,,F,CVX,ANDE,GDOT,IMKTA,
29,,,,ETD,SU,WEYS,STRT,ZD,
30,,,,SMP,ZIM,ALV,ANF,FLO,
31,,,,ANDE,URBN,MEC,GLDD,LKQ,
32,,,,LKQ,PPIH,RCI,MUR,AMCX,
33,,,,HURN,EFXT,VC,TSM,RUSHA,
34,,,,RUSHA,GIFI,CNXC,PSMT,DVN,
35,,,,TDOC,SSP,NXST,EFXT,FDP,
36,,,,STNG,BGSF,RMR,ODP,SENEB,
37,,,,TKC,TKC,BGSF,UEIC,PLAY,
38,,,,NUS,PNRG,VTOL,CNQ,UGP,
39,,,,ESCA,FET,VFC,EPSN,TGNA,
40,,,,TAP,FSTR,HBB,KEP,VTOL,
41,,,,PFGC,PNW,TBCH,CHRD,USFD,
42,,,,PAG,OVV,ALKS,GNE,GBX,
43,,,,RCI,ESCA,WMK,SPOK,CMT,
44,,,,WNC,ANGI,EZPW,NVS,GPI,
45,,,,HHS,MGY,GILT,CBRL,TX,
46,,,,HSIC,MUSA,REVG,EQNR,SAM,
47,,,,BLDR,AMPY,DXC,SCSC,LCII,
48,,,,SBH,CEPU,GTN,IBEX,APA,
49,,,,BYD,EQNR,TOL,AER,HLLY,
50,,,,MGIC,IMXI,INMD,FLO,EML,
51,,,,ARW,NGS,HFFG,ESEA,SPTN,
52,,,,SWAG,NWPX,RMAX,CMRE,DNOW,
53,,,,DVN,JAZZ,HHH,DIN,ACHC,
54,,,,HVT,BG,CVEO,CVX,NOA,
55,,,,MMS,MYPS,CMCSA,NVGS,PLTK,
56,,,,VHI,SENEA,UONEK,BBWI,DDS,
57,,,,LILAK,CNXN,KEQU,BRY,WLKP,
58,,,,UPBD,CIVI,GAP,INSW,DAC,
59,,,,LILA,AEO,KE,SRI,MUSA,
60,,,,TWIN,YELP,NOV,KE,BYD,
61,,,,AMS,BXC,LRN,THC,UONEK,
62,,,,NTGR,IMO,RGP,ULBI,PFGC,
63,,,,OBE,LILAK,SBGI,MGY,AMPH,
64,,,,DIN,SGC,BYD,NFG,ASGN,
65,,,,ITRN,LILA,HPE,MDU,LCUT,
66,,,,CF,NXST,TDOC,MMS,INMD,
67,,,,VTOL,OPFI,GHC,PAG,STNG,
68,,,,WBD,GTN,UONE,NE,CCLD,
69,,,,WKC,FUN,PAG,ET,UONE,
70,,,,RES,GO,TBI,PAM,VMD,
71,,,,GNE,MAPS,YELP,SHEL,WILC,
72,,,,MUSA,BBCP,DHT,UAN,FET,
73,,,,MYPS,PRSU,HCA,PFGC,DRVN,
74,,,,TSN,LOW,WU,CALM,BBW,
75,,,,CMT,MDU,AL,MEOH,PAG,
76,,,,BWA,AGRO,PHM,HCA,IMXI,
77,,,,TBRG,CPIX,LOMA,ACEL,KFRC,
78,,,,LOCO,VTOL,ZEUS,MYRG,MLR,
79,,,,MGY,HVT,AMS,VRNT,TTI,
80,,,,MMLP,TRVG,RYN,CAH,NATR,
81,,,,NWPX,SENEB,NVR,FDP,AOS,
82,,,,MHK,EDN,LAUR,LCII,GMAB,
83,,,,PATK,DRH,BBCP,MBUU,DLTR,
84,,,,CXW,SANG,CXT,ULTA,KGC,
85,,,,TG,SBGI,AUDC,NEU,INSW,
86,,,,ZIM,WWW,AVNT,USFD,AMN,
87,,,,LCII,CABO,DOX,BMY,AXL,
88,,,,HP,MUR,ITRN,MOGO,EZPW,
89,,,,CNH,SBH,TACT,MOS,WOW,
90,,,,MCRI,ACNT,TAP,LAND,STRA,
91,,,,MEC,WU,CWK,EIX,APLE,
92,,,,OCC,ECVT,HURN,CTRA,MTCH,
93,,,,GNK,SPOK,MYPS,EOG,DG,
94,,,,WLFC,VAC,PANL,STRA,SSTK,
95,,,,OVV,FARM,TNK,NATR,BDX,
96,,,,ZD,ITRN,CL,IMO,DKS,
97,,,,XHR,HPE,ALG,PAHC,SSRM,
98,,,,HLLY,PRKS,TSQ,JBI,COKE,
99,,,,ICL,TBRG,MEOH,FCFS,CTVA,
100,,,,SLVM,MCRI,TPR,UTMD,XPRO,
101,,,,ZVIA,TSN,HOV,RCKY,LBRT,
102,,,,TTEC,CRNT,OTEX,CVS,DIN,
103,,,,ENVA,FMS,ETD,INGR,LH,
104,,,,KFRC,OSK,TGNA,HUBG,CF,
105,,,,TPH,SCSC,RL,PPL,RICK,
106,,,,ULBI,CVLG,LINC,FSM,RNGR,
107,,,,NGVC,NATR,OMI,APLE,JAZZ,
108,,,,EXEL,CXW,NTCT,PFE,HALO,
109,,,,CABO,UVV,NHTC,ZDGE,PHM,
110,,,,PPC,RNGR,PRGO,COP,WEN,
111,,,,LBRT,TGNA,MGIC,CLVT,GNTX,
112,,,,MERC,GILT,ADM,RNG,MYPS,
113,,,,EML,INMD,MNDO,DOX,MMLP,
114,,,,GPC,CARS,UEIC,FTK,GPC,
115,,,,ACEL,LYTS,VZ,GNTX,NVR,
116,,,,NEXA,SLVM,DNOW,ICL,GHC,
117,,,,LXU,DG,ACMR,DGII,SRI,
118,,,,NOV,LMNR,ENVA,XOM,URBN,
119,,,,SYY,KMI,PGNY,ARKO,NOV,
120,,,,AIT,MOH,NUE,PBA,TOL,
121,,,,MCS,AVO,AEO,JBL,EBF,
122,,,,PK,CNQ,AVO,BZH,NVS,
123,,,,APA,TMUS,MAS,AIT,SKIL,
124,,,,SCOR,GIII,WNS,MRK,BJRI,
125,,,,MUR,SCS,MCHX,OTTR,PII,
126,,,,ASGN,HESM,OPAD,SCL,IDT,
127,,,,YELP,RUSHB,VMD,CTSH,MSM,
128,,,,NVR,TU,ASLE,WOR,RRR,
129,,,,ECPG,BKR,PSIX,SJM,PKG,
130,,,,CRNT,CAR,HYFM,IDT,RHI,
131,,,,INSW,HLF,HPQ,SSRM,CNH,
132,,,,MLI,FCFS,GIS,NEM,DAL,
133,,,,CNXN,ARCO,TROX,MOH,CNQ,
134,,,,DNOW,KFRC,CPIX,WOW,SIRI,
135,,,,NTCT,CTRA,CRAI,RMCF,WCC,
136,,,,GPK,VMD,CAPL,MLI,ASTE,
137,,,,TEX,TS,INSE,ED,GRC,
138,,,,TU,GVA,HAIN,EHC,EWCZ,
139,,,,SEB,CNR,AES,HSIC,AER,
140,,,,NOA,INGN,FEIM,ZTS,III,
141,,,,ALV,MITK,GASS,GRC,BCC,
142,,,,HYFM,EPM,WWW,BRAG,OGN,
143,,,,MNRO,CMI,WMT,DIS,NICE,
144,,,,UA,CMBM,BBW,GTM,LNG,
145,,,,EHC,PAM,DLTR,AOS,REVG,
146,,,,LYB,ARCB,XPRO,KMI,MTN,
147,,,,APTV,RCI,NVRI,BURL,DTI,
148,,,,VC,EGHT,AN,AUPH,UTMD,
149,,,,XOM,MATX,PSMT,TDS,ALIT,
150,,,,RL,DXC,LEVI,IAC,CMC,
151,,,,CNQ,RUSHA,HLF,KRT,CRNT,
152,,,,MATX,VIRC,GPOR,OPFI,CVLG,
153,,,,UAA,BALL,INCY,KGC,WKC,
154,,,,FMS,XRAY,DENN,ITRN,HSII,
155,,,,VRSN,AL,KBH,NPKI,ARHS,
156,,,,PNW,GIS,HALO,LNN,AVY,
157,,,,CROX,PUMP,LOPE,NICE,INVX,
158,,,,PBA,ALK,EVC,SFM,ECPG,
159,,,,SATS,PPC,CHCI,CTLP,HYFM,
160,,,,DRH,ALTG,MDLZ,EXEL,UAL,
161,,,,CNTY,YPF,WERN,DTI,DXPE,
162,,,,PII,HHH,AXTA,DAVA,MHO,
163,,,,PHM,UTI,OI,LH,NGL,
164,,,,TRN,CNK,LNW,DORM,HRL,
165,,,,CSL,SSTI,GIFI,EPM,ARCB,
166,,,,NL,B,AA,IDXX,AMRX,
167,,,,MTCH,VNT,MTX,ARLP,BKR,
168,,,,SNDR,HELE,TS,GWW,GEF,
169,,,,ZBH,CMCT,WSM,NGS,BOXL,
170,,,,POOL,GNE,CHE,INTU,TE,
171,,,,DGX,CASY,CACC,OLLI,TDS,
172,,,,DXPE,YETI,JBSS,ATUS,WFRD,
173,,,,DAN,DPZ,CASY,NGVC,ENR,
174,,,,HESM,JBTM,ABT,TDC,PPIH,
175,,,,SON,PVH,FCFS,HAE,MCRI,
176,,,,SID,GFF,REYN,RFIL,WWW,
177,,,,IESC,SPB,NAII,HAIN,INTU,
178,,,,BCC,EPD,JBGS,HTLD,SNCR,
179,,,,OPCH,SLGN,MTCH,UTHR,SFIX,
180,,,,FEIM,KGC,KLXE,LULU,EVRG,
181,,,,ACHC,JBHT,PMTS,NVST,KEX,
182,,,,DEI,UPWK,REX,MATW,DENN,
183,,,,LCUT,DENN,HELE,ZWS,YETI,
184,,,,FBIN,ZBH,PK,RSKD,RRC,
185,,,,CVLG,STKS,CALM,EEX,OTTR,
186,,,,CSTE,INGR,LUV,LRN,TTC,
187,,,,WERN,DKS,COP,WTS,KRT,
188,,,,CNMD,SFIX,FRD,RYAM,UNF,
189,,,,CHTR,IAC,COKE,PATK,ROCK,
190,,,,LINC,MDLZ,NGL,STX,MHK,
191,,,,NPKI,ALKS,CHTR,TDOC,BALL,
192,,,,ONL,PPL,CROX,AA,LEGH,
193,,,,NEU,FTI,IPG,FSLY,MRTN,
194,,,,BC,TGT,MXC,BDX,NUE,
195,,,,LWAY,LULU,KN,PCH,HCA,
196,,,,DOX,PFE,WLDN,TT,TFII,
197,,,,EVTC,SID,STX,CNNE,DGX,
198,,,,IP,OC,OMC,PEG,ADTN,
199,,,,CME,CXT,AU,MCRI,TBRG,
200,,,,ORGO,LEN,GNRC,COR,TSN,
201,,,,CMPO,UNF,ICLR,QGEN,GTN,
202,,,,JBTM,MAT,EPD,ALCO,COLL,
203,,,,WLK,PM,ODC,GDRX,RPAY,
204,,,,RHI,BJ,ETSY,CMG,LYFT,
205,,,,CHE,ASH,PENN,PAYX,CCRN,
206,,,,VMI,ATGE,WDC,CAAP,CAKE,
207,,,,KORE,NEU,CNI,PHAR,CDP,
208,,,,CARS,PANL,MRTN,KMB,CVGI,
209,,,,HUBG,GEF,ZDGE,GSM,SMPL,
210,,,,GMAB,DXPE,RICK,CWCO,REYN,
211,,,,MRK,GRC,EHC,TSSI,WES,
212,,,,FTDR,UTMD,KVHI,WAB,TNC,
213,,,,ALKS,NVR,HESM,RPAY,LILA,
214,,,,CSX,USNA,NEM,AR,MOS,
215,,,,METC,CALM,GPN,CQP,CNMD,
216,,,,LYTS,VIST,FLS,RRC,LILAK,
217,,,,SLGN,WFRD,WES,KGEI,PCAR,
218,,,,REYN,ROST,CHRW,LXP,SD,
219,,,,CCK,JBSS,CHEF,IESC,UNP,
220,,,,JBHT,HTLD,ATUS,MPLX,QVCGA,
221,,,,TPR,CNMD,KLIC,LVS,COOP,
222,,,,KRO,SCKT,TG,ALG,INCY,
223,,,,KEN,KMB,BLIN,CNI,WY,
224,,,,PCRX,ELA,CF,BSY,SLB,
225,,,,SAM,MTCH,GFF,ETR,ONL,
226,,,,FLR,CTSH,HLLY,VRNS,BSM,
227,,,,CNK,HSTM,OUT,FWRD,KORE,
228,,,,WY,USEG,OMCL,TPIC,MMI,
229,,,,TTI,BBU,ATR,LMB,NRDS,
230,,,,CNI,NFG,CTRA,PPC,GDRX,
231,,,,IPG,OGN,BMRN,RAIL,LSTR,
232,,,,CTEV,MHK,EVTC,QLYS,STLD,
233,,,,CLH,VST,HSY,KEX,MLI,
234,,,,NC,FSM,NGVC,AOSL,MPAA,
235,,,,ZWS,MCHX,MKSI,SPNS,NEM,
