,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
0,KEP,CEPU,KEP,EC,KEP,KEP,KEP,EC,GEF
1,KT,SONY,KT,KT,KT,TEO,KT,CEPU,TOL
2,CEPU,GGB,TEO,KEP,PKX,LOMA,SKM,MDU,DG
3,LOMA,HE,SKM,PKX,SKM,SONY,PKX,TGS,DXLG
4,CCU,GPRK,EDN,EDN,EDN,BNED,CRESY,HMC,DKS
5,SKM,RNW,PKX,TEO,CEPU,ASX,EDN,TM,HPQ
6,CIG,CTRM,CCU,LOMA,LOMA,RDY,TEO,TAK,HRL
7,SIM,MTDR,TGS,CEPU,CCU,GTN,TGS,RNW,BJ
8,UGP,HVT,PHI,TGS,TGS,BWMX,CCU,PHI,LOW
9,PAGS,ECVT,TKC,TM,SONY,SSP,WHLR,TKC,COO
10,CPAC,METC,ASGN,TAK,RNW,ERIC,SONY,SONY,MOV
11,RIME,CENX,RDY,PHI,TV,VNCE,PHI,WIT,DE
12,SID,OPRA,ASX,WIT,PHI,GGB,TKC,RDY,DY
13,AFYA,MAT,UMC,TKC,TKC,BRFS,ASX,BWMX,BRID
14,LPL,DFLI,MESA,RNW,WIT,SIM,UMC,UMC,HD
15,TGS,CCEC,CHT,RDY,RDY,MTW,BATL,UGP,AMAT
16,ASTL,RILY,CIG,ASX,ASX,VIV,CETX,BATL,MDT
17,ESEA,BIO,BWMX,UMC,UMC,TSM,CHT,PAGS,NTAP
18,ZENV,SPHR,BRFS,BWMX,SSP,ELP,PAGS,CHT,BURL
19,HEPS,LVRO,SIM,SIM,GGB,ABEV,BRFS,GGB,ULTA
20,TKC,ITRN,COKE,CHT,CHT,AP,GGB,BRFS,OKTA
21,CSIQ,WLKP,GGB,GGB,CIG,LCUT,CIG,SOL,SJM
22,BRFS,GENC,VSTA,UGP,GTN,AYTU,ERIC,AMCX,NCNO
23,SUZ,FCFS,GTN,AWX,UGP,ZIM,TSM,SUZ,WDAY
24,EDRY,LUMN,PAGS,CIG,SIM,GT,SUZ,ERIC,SMTC
25,CMCL,ASTL,ZIM,KARO,ERIC,STKS,STNE,KELYA,MDB
26,FPAY,CNVS,ELP,BRFS,CSAN,CSIQ,KSS,KELYB,S
27,ARCO,NVT,AMCX,HOUS,BRFS,FLWS,VIV,ONEW,NVDA
28,SMC,HPP,AMBI,VIV,MIND,LIVE,ELP,CATO,CRWD
29,HHS,BVN,VIV,ELP,SBS,GOCO,SIM,AWX,
30,IDAI,PETS,TIMB,LND,SUZ,NCSM,ZIM,AXL,
31,LDWY,SKLZ,IMPP,QVCGA,TSM,ANDE,AMCX,ELP,
32,GRFS,USAC,SBS,SDOT,WILC,AHCO,TIMB,BTE,
33,MGIC,INFA,AFYA,TIMB,ELP,TX,LDWY,BRY,
34,GSM,TRIB,HE,TSM,CPAC,CNXC,GDOT,REI,
35,HIMX,ARAY,TPC,STRT,VIV,MERC,ZENV,LIVE,
36,AVD,AMSC,ASTL,CPAC,AMCX,MIND,CPAC,AFYA,
37,SGRP,GP,TCOM,SBS,TIMB,SCHL,AFYA,GTIM,
38,ELLO,CMBM,YPF,FDP,ZIM,TRVG,OPAL,STNE,
39,LVRO,AVDX,CTRM,RYAM,ABEV,ACB,CCLD,VFF,
40,KORE,BRBR,BWLP,CATO,AFYA,RCKY,M,NUS,
41,BVN,IMG,TK,ABEV,OBE,BG,PDS,ARTW,
42,ALSN,MSFT,GM,AFYA,VTLE,SENEA,BTE,HLLY,
43,ACNT,CBOE,PDS,CCLD,GM,SENEB,GM,AMPY,
44,MESA,QMCO,WILC,GTIM,ONIT,UVV,IMPP,TX,
45,SMID,CRGO,CMRE,GTE,YPF,CCS,OBE,GM,
46,AGAE,IDXX,BWEN,HZO,CVAC,PANL,ZUMZ,FRD,
47,SIMO,APPN,SLQT,ZIM,KSS,VHI,STRT,PDS,
48,SPHR,TXG,BV,GM,ADNT,OIS,ALGT,CRGY,
49,NAT,VFS,SGRP,YPF,SENEB,MPAA,DXC,SWAG,
50,SSTI,VIR,TX,FSI,BRY,HBB,CMRE,CIVI,
51,IZEA,BCRX,WLFC,IMPP,SENEA,PDS,CIVI,ADNT,
52,ORLA,SLI,WKC,VHI,KTCC,ESEA,REI,JOUT,
53,TRMB,,BDL,SENEA,EFXT,SHIP,GIII,OBE,
54,MOGO,,TDS,WKC,EBS,VLGEA,BMBL,GFR,
55,TSQ,,BH,GTN,BTE,NC,GFR,ARKO,
56,AQB,,GTIM,SENEB,NUS,THS,VLGEA,PARR,
57,DLPN,,MTEX,ONEW,AWX,CIVI,ABEV,FDP,
58,DWSN,,KODK,GFR,CCLD,GSL,NBR,FET,
59,ICCC,,TAC,OBE,PDS,ATNI,AXL,EPC,
60,EVLV,,GSL,SPTN,HOUS,SBGI,CNC,DINO,
61,CMBM,,SUZ,ASIX,PETS,CCLD,ESEA,GBX,
62,SKLZ,,UGI,TG,JRSH,HOV,SCSC,HOG,
63,MVST,,EBR,RMAX,ODP,NOV,SLQT,THO,
64,VRME,,SR,CMT,REI,REI,KELYA,SMP,
65,SBET,,CLW,BDL,F,RMAX,STKS,IMKTA,
66,DLO,,GASS,ESEA,SXC,LEA,EFXT,LBRT,
67,MYNZ,,IMKTA,GLBS,FSTR,IMPP,KELYB,LEA,
68,ZEO,,PUMP,REI,IMPP,TPH,BLMN,ZIM,
69,ADSK,,GPI,BTE,DBI,BSET,BWLP,MOGO,
70,RILY,,ESEA,OI,VET,CVS,GSL,BH,
71,SQNS,,GDOT,IMKTA,GPRE,DFH,TTEC,SBH,
72,MAXN,,TIGO,ATNI,STRT,CMRE,LIVE,CENTA,
73,EAF,,DAC,F,BH,GOOS,CVE,SEB,
74,XBP,,FRD,SWIM,ORN,CNVS,PVH,DLX,
75,AREC,,BEPC,DOLE,NTGR,AVNW,BTU,GSL,
76,ADN,,SHIP,UAL,CIVI,TTE,PXS,ASLE,
77,UAVS,,NWN,AXL,RNGR,BBCP,MEOH,APA,
78,PLAG,,CGAU,PDS,MRC,SGA,VET,TAP,
79,CLRO,,ABEV,ANDE,AXL,DXC,ABG,MEOH,
80,HYLN,,OBE,WLFC,MGNX,SIRI,ARW,FLXS,
81,CELU,,PXS,TK,MCS,MEC,ECPG,RNGR,
82,CENN,,SSP,ALK,ABG,GASS,LAD,VTOL,
83,NTRP,,RCKY,WBA,TGNA,TGNA,CVS,HOV,
84,TCX,,DTI,SKLZ,SEM,RGS,SM,NOA,
85,DGLY,,DWSN,AMS,CVE,SNX,SAH,KOP,
86,REE,,SHEL,TWIN,AMPY,HPE,SBH,DAC,
87,CLIR,,CRWS,CNC,ASIX,ARW,ULBI,SHIP,
88,SOND,,E,PXS,UAL,TNK,GLDD,CENT,
89,VFS,,ABG,LEA,TEAD,PBYI,FDP,NTR,
90,PSNY,,SCSC,XRX,PBYI,ABG,DLX,SRPT,
91,TRIB,,BG,SMP,GSL,MD,NOA,SNX,
92,SLI,,REI,CTRM,ESEA,KEQU,F,SEM,
93,XELB,,SU,RNGR,FOR,EGY,DAC,CE,
94,ZVRA,,PBR,ALGT,FDP,SXC,HZO,BLMN,
