,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3
0,KEP,CEPU,KEP,EC,KEP,KEP,KEP,EC,GEF
1,KT,SONY,KT,KEP,KT,TEO,KT,LPL,TOL
2,CEPU,GGB,EDN,KT,PKX,LOMA,PKX,CEPU,DG
3,LOMA,HE,SKM,PKX,SKM,SONY,SKM,MDU,DXLG
4,CCU,GPRK,TEO,EDN,EDN,BNED,CRESY,TGS,DKS
5,SKM,RNW,PKX,TEO,CEPU,ASX,EDN,HMC,HPQ
6,CIG,MTDR,CCU,LOMA,LOMA,RDY,TEO,TM,HRL
7,SIM,CTRM,TGS,CEPU,CCU,GTN,CCU,TAK,BJ
8,UGP,HVT,LOMA,TGS,TGS,BWMX,TGS,RNW,LOW
9,PAGS,METC,CEPU,HMC,SONY,SSP,LOMA,PHI,COO
10,CPAC,CENX,PHI,CCU,RNW,ERIC,WHLR,TKC,MOV
11,RIME,ECVT,TKC,TM,TV,GGB,SONY,SONY,DY
12,SID,OPRA,ASGN,TAK,PHI,SIM,PHI,RDY,DE
13,LPL,MAT,RDY,PHI,TKC,VNCE,TKC,WIT,BRID
14,AFYA,DFLI,ASX,SONY,WIT,ELP,ASX,BWMX,MDT
15,ASTL,ASTL,UMC,RNW,RDY,BRFS,UMC,UMC,HD
16,TGS,SPHR,MESA,TKC,ASX,VIV,BATL,UGP,NTAP
17,ZENV,BIO,CHT,WIT,UMC,MTW,CETX,GGB,AMAT
18,ESEA,CCEC,CIG,RDY,SSP,TSM,GGB,BATL,SJM
19,HEPS,RILY,BWMX,ASX,GGB,CSIQ,CHT,PAGS,BURL
20,CSIQ,LVRO,SIM,UMC,CHT,ABEV,PAGS,CHT,ULTA
21,TKC,WLKP,BRFS,BWMX,CIG,AP,CIG,BRFS,OKTA
22,BRFS,LUMN,GGB,CHT,SIM,ZIM,BRFS,SOL,NCNO
23,SUZ,ITRN,VSTA,SIM,UGP,LCUT,SIM,SUZ,WDAY
24,EDRY,FCFS,COKE,GGB,GTN,GT,TSM,AMCX,SMTC
25,SPHR,GENC,GTN,CIG,ERIC,AYTU,ERIC,ERIC,MDB
